preamble,stimulus,is_correct,subject,stimulus_prob
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (A) is the",best,0,anatomy,[-1.7303314208984375]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (B) is the",best,0,anatomy,[-1.7533454895019531]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (C) is the",best,0,anatomy,[-1.6765251159667969]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (D) is the",best,1,anatomy,[-1.7906951904296875]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (A) is the",best,0,anatomy,[-16.207000732421875]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (B) is the",best,0,anatomy,[-15.893394470214844]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (C) is the",best,1,anatomy,[-16.88909149169922]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (D) is the",best,0,anatomy,[-16.639877319335938]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Ureter (C) Urethra (D) Bladder. Of the answer choices above, answer (A) is the",best,0,anatomy,[-10.349685668945312]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Ureter (C) Urethra (D) Bladder. Of the answer choices above, answer (B) is the",best,0,anatomy,[-10.349685668945312]
