preamble,stimulus,is_correct,subject,stimulus_prob
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (A) is the",best,0,anatomy,[-2.2299957275390625]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (B) is the",best,0,anatomy,[-1.9525375366210938]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (C) is the",best,0,anatomy,[-1.9558181762695312]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation. (D) paralysis of the facial muscles.. Of the answer choices above, answer (D) is the",best,1,anatomy,[-2.0510501861572266]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (A) is the",best,0,anatomy,[-2.114919662475586]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (B) is the",best,0,anatomy,[-2.0295562744140625]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (C) is the",best,1,anatomy,[-2.065044403076172]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (D) is the",best,0,anatomy,[-2.0137996673583984]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Ureter (C) Urethra (D) Bladder. Of the answer choices above, answer (A) is the",best,0,anatomy,[-2.447437286376953]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Ureter (C) Urethra (D) Bladder. Of the answer choices above, answer (B) is the",best,0,anatomy,[-2.7908153533935547]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Ureter (C) Urethra (D) Bladder. Of the answer choices above, answer (C) is the",best,0,anatomy,[-2.5489883422851562]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Ureter (C) Urethra (D) Bladder. Of the answer choices above, answer (D) is the",best,1,anatomy,[-2.72412109375]
"Which of the following structures is derived from ectomesenchyme? (A) Motor neurons (B) Skeletal muscles (C) Sweat glands (D) Melanocytes. Of the answer choices above, answer (A) is the",best,0,anatomy,[-4.47137451171875]
"Which of the following structures is derived from ectomesenchyme? (A) Motor neurons (B) Skeletal muscles (C) Sweat glands (D) Melanocytes. Of the answer choices above, answer (B) is the",best,0,anatomy,[-4.293373107910156]
"Which of the following structures is derived from ectomesenchyme? (A) Motor neurons (B) Skeletal muscles (C) Sweat glands (D) Melanocytes. Of the answer choices above, answer (C) is the",best,0,anatomy,[-4.813642501831055]
"Which of the following structures is derived from ectomesenchyme? (A) Motor neurons (B) Skeletal muscles (C) Sweat glands (D) Melanocytes. Of the answer choices above, answer (D) is the",best,1,anatomy,[-5.087499618530273]
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney? (A) Afferent arteriole (B) Loop of Henle (C) Renal pelvis (D) Glomerulus. Of the answer choices above, answer (A) is the",best,0,anatomy,[-3.9951343536376953]
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney? (A) Afferent arteriole (B) Loop of Henle (C) Renal pelvis (D) Glomerulus. Of the answer choices above, answer (B) is the",best,0,anatomy,[-3.8405532836914062]
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney? (A) Afferent arteriole (B) Loop of Henle (C) Renal pelvis (D) Glomerulus. Of the answer choices above, answer (C) is the",best,0,anatomy,[-3.7340755462646484]
