preamble,stimulus,is_correct,subject,stimulus_prob
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 22 gauge. (C) 24 gauge. (D) 18 gauge.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.1622810363769531]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 22 gauge. (C) 24 gauge. (D) 18 gauge.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-1.229949951171875]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 22 gauge. (C) 24 gauge. (D) 18 gauge.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-1.244832992553711]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 22 gauge. (C) 24 gauge. (D) 18 gauge.. Of the answer choices above, answer (D) is the",best,1,clinical_knowledge,[-1.2537307739257812]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. (D) stamina.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.2075328826904297]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. (D) stamina.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-1.2072257995605469]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. (D) stamina.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-1.1739120483398438]
"The key attribute in successful marathon running is: (A) strength. (B) power. (C) stride length. (D) stamina.. Of the answer choices above, answer (D) is the",best,1,clinical_knowledge,[-1.1760406494140625]
"Which of the following is the commonest cause of dementia in the UK? (A) Cerebrovascular (stroke) disease. (B) Alzheimer's disease. (C) Lewy body dementia. (D) HIV infection.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.9076919555664062]
"Which of the following is the commonest cause of dementia in the UK? (A) Cerebrovascular (stroke) disease. (B) Alzheimer's disease. (C) Lewy body dementia. (D) HIV infection.. Of the answer choices above, answer (B) is the",best,1,clinical_knowledge,[-1.988840103149414]
"Which of the following is the commonest cause of dementia in the UK? (A) Cerebrovascular (stroke) disease. (B) Alzheimer's disease. (C) Lewy body dementia. (D) HIV infection.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-2.1063995361328125]
"Which of the following is the commonest cause of dementia in the UK? (A) Cerebrovascular (stroke) disease. (B) Alzheimer's disease. (C) Lewy body dementia. (D) HIV infection.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,[-2.5057296752929688]
"Which of the following is NOT a symptom of anaphylaxis? (A) Stridor. (B) Severe wheeze. (C) Bradycardia. (D) Rash.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.9496803283691406]
"Which of the following is NOT a symptom of anaphylaxis? (A) Stridor. (B) Severe wheeze. (C) Bradycardia. (D) Rash.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-2.059295654296875]
"Which of the following is NOT a symptom of anaphylaxis? (A) Stridor. (B) Severe wheeze. (C) Bradycardia. (D) Rash.. Of the answer choices above, answer (C) is the",best,1,clinical_knowledge,[-1.9327335357666016]
"Which of the following is NOT a symptom of anaphylaxis? (A) Stridor. (B) Severe wheeze. (C) Bradycardia. (D) Rash.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,[-1.8691120147705078]
"In what situation are closed pouches applied? (A) The patient has a semi-formed or liquid output. (B) In the immediate post-operative period. (C) The patient has a colostomy. (D) The patient has a urostomy.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.1583251953125]
"In what situation are closed pouches applied? (A) The patient has a semi-formed or liquid output. (B) In the immediate post-operative period. (C) The patient has a colostomy. (D) The patient has a urostomy.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-1.3178749084472656]
"In what situation are closed pouches applied? (A) The patient has a semi-formed or liquid output. (B) In the immediate post-operative period. (C) The patient has a colostomy. (D) The patient has a urostomy.. Of the answer choices above, answer (C) is the",best,1,clinical_knowledge,[-1.298879623413086]
"In what situation are closed pouches applied? (A) The patient has a semi-formed or liquid output. (B) In the immediate post-operative period. (C) The patient has a colostomy. (D) The patient has a urostomy.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,[-1.4226398468017578]
"With an increasing number of sprints the: (A) anaerobic contribution progressively increases. (B) relative contribution of aerobic metabolism increases. (C) pH of the muscle falls below 6.0. (D) blood glucose concentration falls below 3 mmol/L.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.438507080078125]
"With an increasing number of sprints the: (A) anaerobic contribution progressively increases. (B) relative contribution of aerobic metabolism increases. (C) pH of the muscle falls below 6.0. (D) blood glucose concentration falls below 3 mmol/L.. Of the answer choices above, answer (B) is the",best,1,clinical_knowledge,[-1.5086612701416016]
