preamble,stimulus,is_correct,subject,stimulus_prob
"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons (A) an average of 10 times, with an rms deviation of about 4 (B) an average of 10 times, with an rms deviation of about 1 (C) an average of 10 times, with an rms deviation of about 3 (D) an average of 10 times, with an rms deviation of about 0.1. Of the answer choices above, answer (A) is the",best,0,college_physics,[-0.9327640533447266]
"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons (A) an average of 10 times, with an rms deviation of about 4 (B) an average of 10 times, with an rms deviation of about 1 (C) an average of 10 times, with an rms deviation of about 3 (D) an average of 10 times, with an rms deviation of about 0.1. Of the answer choices above, answer (B) is the",best,0,college_physics,[-0.9749908447265625]
"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons (A) an average of 10 times, with an rms deviation of about 4 (B) an average of 10 times, with an rms deviation of about 1 (C) an average of 10 times, with an rms deviation of about 3 (D) an average of 10 times, with an rms deviation of about 0.1. Of the answer choices above, answer (C) is the",best,1,college_physics,[-0.8980445861816406]
"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons (A) an average of 10 times, with an rms deviation of about 4 (B) an average of 10 times, with an rms deviation of about 1 (C) an average of 10 times, with an rms deviation of about 3 (D) an average of 10 times, with an rms deviation of about 0.1. Of the answer choices above, answer (D) is the",best,0,college_physics,[-0.9930801391601562]
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is (A) 500 nm (B) 550 nm (C) 600 nm (D) 650 nm. Of the answer choices above, answer (A) is the",best,0,college_physics,[-2.1352787017822266]
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is (A) 500 nm (B) 550 nm (C) 600 nm (D) 650 nm. Of the answer choices above, answer (B) is the",best,0,college_physics,[-2.24798583984375]
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is (A) 500 nm (B) 550 nm (C) 600 nm (D) 650 nm. Of the answer choices above, answer (C) is the",best,1,college_physics,[-2.3215885162353516]
"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is (A) 500 nm (B) 550 nm (C) 600 nm (D) 650 nm. Of the answer choices above, answer (D) is the",best,0,college_physics,[-2.3383731842041016]
"Which of the following is true about any system that undergoes a reversible thermodynamic process? (A) There are no changes in the internal energy of the system. (B) The entropy of the system and its environment remains unchanged. (C) The temperature of the system remains constant during the process. (D) The entropy of the system and its environment must increase.. Of the answer choices above, answer (A) is the",best,0,college_physics,[-2.113046646118164]
"Which of the following is true about any system that undergoes a reversible thermodynamic process? (A) There are no changes in the internal energy of the system. (B) The entropy of the system and its environment remains unchanged. (C) The temperature of the system remains constant during the process. (D) The entropy of the system and its environment must increase.. Of the answer choices above, answer (B) is the",best,1,college_physics,[-2.0163192749023438]
"Which of the following is true about any system that undergoes a reversible thermodynamic process? (A) There are no changes in the internal energy of the system. (B) The entropy of the system and its environment remains unchanged. (C) The temperature of the system remains constant during the process. (D) The entropy of the system and its environment must increase.. Of the answer choices above, answer (C) is the",best,0,college_physics,[-2.0320701599121094]
"Which of the following is true about any system that undergoes a reversible thermodynamic process? (A) There are no changes in the internal energy of the system. (B) The entropy of the system and its environment remains unchanged. (C) The temperature of the system remains constant during the process. (D) The entropy of the system and its environment must increase.. Of the answer choices above, answer (D) is the",best,0,college_physics,[-2.256643295288086]
"The best type of laser with which to do spectroscopy over a range of visible wavelengths is (A) a helium-neon laser (B) an excimer laser (C) a ruby laser (D) a dye laser. Of the answer choices above, answer (A) is the",best,0,college_physics,[-0.8360576629638672]
"The best type of laser with which to do spectroscopy over a range of visible wavelengths is (A) a helium-neon laser (B) an excimer laser (C) a ruby laser (D) a dye laser. Of the answer choices above, answer (B) is the",best,0,college_physics,[-0.8893413543701172]
"The best type of laser with which to do spectroscopy over a range of visible wavelengths is (A) a helium-neon laser (B) an excimer laser (C) a ruby laser (D) a dye laser. Of the answer choices above, answer (C) is the",best,0,college_physics,[-0.9327259063720703]
"The best type of laser with which to do spectroscopy over a range of visible wavelengths is (A) a helium-neon laser (B) an excimer laser (C) a ruby laser (D) a dye laser. Of the answer choices above, answer (D) is the",best,1,college_physics,[-0.7911510467529297]
"Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following? (A) The Heisenberg uncertainty principle (B) The Pauli exclusion principle (C) The Bohr model of the atom (D) Nuclear hyperfine coupling. Of the answer choices above, answer (A) is the",best,0,college_physics,[-2.0600509643554688]
"Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following? (A) The Heisenberg uncertainty principle (B) The Pauli exclusion principle (C) The Bohr model of the atom (D) Nuclear hyperfine coupling. Of the answer choices above, answer (B) is the",best,1,college_physics,[-1.736276626586914]
"Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following? (A) The Heisenberg uncertainty principle (B) The Pauli exclusion principle (C) The Bohr model of the atom (D) Nuclear hyperfine coupling. Of the answer choices above, answer (C) is the",best,0,college_physics,[-1.8053703308105469]
"Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following? (A) The Heisenberg uncertainty principle (B) The Pauli exclusion principle (C) The Bohr model of the atom (D) Nuclear hyperfine coupling. Of the answer choices above, answer (D) is the",best,0,college_physics,[-1.7553176879882812]
"Which of the following gives the total spin quantum number of the electrons in the ground state of neutral nitrogen (Z = 7)? (A) 1/2 (B) 1 (C) 3/2 (D) 5/2. Of the answer choices above, answer (A) is the",best,0,college_physics,[-2.0148258209228516]
"Which of the following gives the total spin quantum number of the electrons in the ground state of neutral nitrogen (Z = 7)? (A) 1/2 (B) 1 (C) 3/2 (D) 5/2. Of the answer choices above, answer (B) is the",best,0,college_physics,[-2.020143508911133]
"Which of the following gives the total spin quantum number of the electrons in the ground state of neutral nitrogen (Z = 7)? (A) 1/2 (B) 1 (C) 3/2 (D) 5/2. Of the answer choices above, answer (C) is the",best,1,college_physics,[-1.9921512603759766]
"Which of the following gives the total spin quantum number of the electrons in the ground state of neutral nitrogen (Z = 7)? (A) 1/2 (B) 1 (C) 3/2 (D) 5/2. Of the answer choices above, answer (D) is the",best,0,college_physics,[-2.327281951904297]
