preamble,stimulus,is_correct,subject,stimulus_prob
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 40% (C) 20% (D) 80%. Of the answer choices above, answer (A) is the",best,0,global_facts,[-1.0403804779052734]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 40% (C) 20% (D) 80%. Of the answer choices above, answer (B) is the",best,1,global_facts,[-1.1726799011230469]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 40% (C) 20% (D) 80%. Of the answer choices above, answer (C) is the",best,0,global_facts,[-1.102304458618164]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 40% (C) 20% (D) 80%. Of the answer choices above, answer (D) is the",best,0,global_facts,[-1.4097785949707031]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $3k (C) About $8k (D) About $15k. Of the answer choices above, answer (A) is the",best,0,global_facts,[-1.6762542724609375]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $3k (C) About $8k (D) About $15k. Of the answer choices above, answer (B) is the",best,1,global_facts,[-1.4324226379394531]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $3k (C) About $8k (D) About $15k. Of the answer choices above, answer (C) is the",best,0,global_facts,[-1.312082290649414]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $3k (C) About $8k (D) About $15k. Of the answer choices above, answer (D) is the",best,0,global_facts,[-1.5603485107421875]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, answer (A) is the",best,0,global_facts,[-1.6578845977783203]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, answer (B) is the",best,1,global_facts,[-1.524068832397461]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, answer (C) is the",best,0,global_facts,[-1.6224861145019531]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, answer (D) is the",best,0,global_facts,[-1.6940803527832031]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, answer (A) is the",best,0,global_facts,[-1.5713176727294922]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, answer (B) is the",best,1,global_facts,[-1.9976825714111328]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, answer (C) is the",best,0,global_facts,[-1.926248550415039]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, answer (D) is the",best,0,global_facts,[-1.8592185974121094]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, answer (A) is the",best,0,global_facts,[-1.848724365234375]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, answer (B) is the",best,0,global_facts,[-1.8585395812988281]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, answer (C) is the",best,0,global_facts,[-1.6680488586425781]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, answer (D) is the",best,1,global_facts,[-1.9050769805908203]
