preamble,stimulus,is_correct,subject,stimulus_prob
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, answer (A) is the",best,0,high_school_computer_science,[-12.507039070129395]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, answer (B) is the",best,0,high_school_computer_science,[-12.480653762817383]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, answer (C) is the",best,1,high_school_computer_science,[-12.406523704528809]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, answer (D) is the",best,0,high_school_computer_science,[-12.476739883422852]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, answer (A) is the",best,0,high_school_computer_science,[-13.402103424072266]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, answer (B) is the",best,0,high_school_computer_science,[-13.422243118286133]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, answer (C) is the",best,1,high_school_computer_science,[-13.398099899291992]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, answer (D) is the",best,0,high_school_computer_science,[-13.384536743164062]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (C) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent. (D) The file is broken into packets for transmission. The packets must be reassembled upon receipt.. Of the answer choices above, answer (A) is the",best,0,high_school_computer_science,[-14.291818618774414]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (C) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent. (D) The file is broken into packets for transmission. The packets must be reassembled upon receipt.. Of the answer choices above, answer (B) is the",best,0,high_school_computer_science,[-14.291818618774414]
