preamble,stimulus,is_correct,subject,stimulus_prob
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Satisficing (C) Accepting (D) Compromising. Of the answer choices above, answer (A) is the",best,0,management,[-1.6223297119140625]
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Satisficing (C) Accepting (D) Compromising. Of the answer choices above, answer (B) is the",best,1,management,[-1.797231674194336]
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Satisficing (C) Accepting (D) Compromising. Of the answer choices above, answer (C) is the",best,0,management,[-1.7902450561523438]
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Satisficing (C) Accepting (D) Compromising. Of the answer choices above, answer (D) is the",best,0,management,[-1.8166923522949219]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Heuristics (D) Over-confidence bias. Of the answer choices above, answer (A) is the",best,0,management,[-1.8407249450683594]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Heuristics (D) Over-confidence bias. Of the answer choices above, answer (B) is the",best,0,management,[-1.9645767211914062]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Heuristics (D) Over-confidence bias. Of the answer choices above, answer (C) is the",best,1,management,[-1.9458198547363281]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Heuristics (D) Over-confidence bias. Of the answer choices above, answer (D) is the",best,0,management,[-1.9648475646972656]
"What is a normative perspective? (A) The way things are. (B) The way things are going to be. (C) The way things were. (D) The way things should be.. Of the answer choices above, answer (A) is the",best,0,management,[-1.8728485107421875]
"What is a normative perspective? (A) The way things are. (B) The way things are going to be. (C) The way things were. (D) The way things should be.. Of the answer choices above, answer (B) is the",best,0,management,[-1.985809326171875]
"What is a normative perspective? (A) The way things are. (B) The way things are going to be. (C) The way things were. (D) The way things should be.. Of the answer choices above, answer (C) is the",best,0,management,[-2.030975341796875]
"What is a normative perspective? (A) The way things are. (B) The way things are going to be. (C) The way things were. (D) The way things should be.. Of the answer choices above, answer (D) is the",best,1,management,[-2.2648468017578125]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The threat of substitute products (C) The level of rivalry (D) The power of customers. Of the answer choices above, answer (A) is the",best,0,management,[-2.3632736206054688]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The threat of substitute products (C) The level of rivalry (D) The power of customers. Of the answer choices above, answer (B) is the",best,0,management,[-2.395721435546875]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The threat of substitute products (C) The level of rivalry (D) The power of customers. Of the answer choices above, answer (C) is the",best,1,management,[-2.3030776977539062]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The threat of substitute products (C) The level of rivalry (D) The power of customers. Of the answer choices above, answer (D) is the",best,0,management,[-2.466796875]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Bill Clinton (D) Nelson Mandela. Of the answer choices above, answer (A) is the",best,0,management,[-2.9611024856567383]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Bill Clinton (D) Nelson Mandela. Of the answer choices above, answer (B) is the",best,0,management,[-2.9505481719970703]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Bill Clinton (D) Nelson Mandela. Of the answer choices above, answer (C) is the",best,1,management,[-2.8912792205810547]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Bill Clinton (D) Nelson Mandela. Of the answer choices above, answer (D) is the",best,0,management,[-2.925699234008789]
"What is a Gantt chart a type of? (A) Work flow design (B) Work schedule design (C) Work rate design (D) Work output design. Of the answer choices above, answer (A) is the",best,0,management,[-1.1730499267578125]
"What is a Gantt chart a type of? (A) Work flow design (B) Work schedule design (C) Work rate design (D) Work output design. Of the answer choices above, answer (B) is the",best,1,management,[-1.3136367797851562]
"What is a Gantt chart a type of? (A) Work flow design (B) Work schedule design (C) Work rate design (D) Work output design. Of the answer choices above, answer (C) is the",best,0,management,[-1.4071502685546875]
"What is a Gantt chart a type of? (A) Work flow design (B) Work schedule design (C) Work rate design (D) Work output design. Of the answer choices above, answer (D) is the",best,0,management,[-1.547943115234375]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers view physical and mental effort as a natural part of work. (C) Workers like to be directed. (D) Workers like to show initiative.. Of the answer choices above, answer (A) is the",best,0,management,[-1.9960193634033203]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers view physical and mental effort as a natural part of work. (C) Workers like to be directed. (D) Workers like to show initiative.. Of the answer choices above, answer (B) is the",best,0,management,[-2.0652427673339844]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers view physical and mental effort as a natural part of work. (C) Workers like to be directed. (D) Workers like to show initiative.. Of the answer choices above, answer (C) is the",best,1,management,[-2.069669723510742]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers view physical and mental effort as a natural part of work. (C) Workers like to be directed. (D) Workers like to show initiative.. Of the answer choices above, answer (D) is the",best,0,management,[-2.1277008056640625]
"What is the term for power derived from status or position in an organisation? (A) Referent (B) Expert (C) Legitimate (D) Reward. Of the answer choices above, answer (A) is the",best,0,management,[-1.96405029296875]
"What is the term for power derived from status or position in an organisation? (A) Referent (B) Expert (C) Legitimate (D) Reward. Of the answer choices above, answer (B) is the",best,0,management,[-2.0686302185058594]
"What is the term for power derived from status or position in an organisation? (A) Referent (B) Expert (C) Legitimate (D) Reward. Of the answer choices above, answer (C) is the",best,1,management,[-2.128385543823242]
"What is the term for power derived from status or position in an organisation? (A) Referent (B) Expert (C) Legitimate (D) Reward. Of the answer choices above, answer (D) is the",best,0,management,[-2.1732864379882812]
