preamble,stimulus,is_correct,subject,stimulus_prob
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Potatoes (D) Fruits and vegetables. Of the answer choices above, answer (A) is the",best,0,nutrition,[-2.8852100372314453]
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Potatoes (D) Fruits and vegetables. Of the answer choices above, answer (B) is the",best,0,nutrition,[-3.0957565307617188]
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Potatoes (D) Fruits and vegetables. Of the answer choices above, answer (C) is the",best,0,nutrition,[-2.9951648712158203]
"Which foods tend to be consumed in lower quantities in Wales and Scotland (as of 2020)?  (A) Meat (B) Confectionary (C) Potatoes (D) Fruits and vegetables. Of the answer choices above, answer (D) is the",best,1,nutrition,[-2.6372528076171875]
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If recovery of the disease is faster. (C) If the population in which the disease is measured increases. (D) If survival time with the disease increases.. Of the answer choices above, answer (A) is the",best,0,nutrition,[-1.2004871368408203]
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If recovery of the disease is faster. (C) If the population in which the disease is measured increases. (D) If survival time with the disease increases.. Of the answer choices above, answer (B) is the",best,0,nutrition,[-1.3029212951660156]
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If recovery of the disease is faster. (C) If the population in which the disease is measured increases. (D) If survival time with the disease increases.. Of the answer choices above, answer (C) is the",best,0,nutrition,[-1.3444652557373047]
"In which one of the following circumstances will the prevalence of a disease in the population increase, all else being constant?  (A) If the incidence rate of the disease falls. (B) If recovery of the disease is faster. (C) If the population in which the disease is measured increases. (D) If survival time with the disease increases.. Of the answer choices above, answer (D) is the",best,1,nutrition,[-1.4745311737060547]
"Which of the following statements is correct?  (A) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing. (B) ß-Carotene and lycopene can both act as provitamin A. (C) The flavonoid class comprises flavonoids and isoflavonoids. (D) Carotenoids and flavonoids both belong to the polyphenol class.. Of the answer choices above, answer (A) is the",best,0,nutrition,[-2.1192569732666016]
"Which of the following statements is correct?  (A) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing. (B) ß-Carotene and lycopene can both act as provitamin A. (C) The flavonoid class comprises flavonoids and isoflavonoids. (D) Carotenoids and flavonoids both belong to the polyphenol class.. Of the answer choices above, answer (B) is the",best,0,nutrition,[-1.997314453125]
"Which of the following statements is correct?  (A) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing. (B) ß-Carotene and lycopene can both act as provitamin A. (C) The flavonoid class comprises flavonoids and isoflavonoids. (D) Carotenoids and flavonoids both belong to the polyphenol class.. Of the answer choices above, answer (C) is the",best,1,nutrition,[-2.041351318359375]
"Which of the following statements is correct?  (A) The digestibility and bioavailability of isoflavones in soya food products are not changed by processing. (B) ß-Carotene and lycopene can both act as provitamin A. (C) The flavonoid class comprises flavonoids and isoflavonoids. (D) Carotenoids and flavonoids both belong to the polyphenol class.. Of the answer choices above, answer (D) is the",best,0,nutrition,[-2.1062259674072266]
"What are the main causes of the obesity epidemic?  (A) Decreased leisure time activity (B) Increased energy quantity/density and a more sedentary life-style (C) Changes in genetic profiles (D) None of the options given is correct. Of the answer choices above, answer (A) is the",best,0,nutrition,[-1.4443511962890625]
