preamble,stimulus,is_correct,subject,stimulus_prob
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) conspicuous consumption by elites. (D) the development of a common religion.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-9.508797645568848]
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) conspicuous consumption by elites. (D) the development of a common religion.. Of the answer choices above, answer (B) is the",best,0,prehistory,[-9.508797645568848]
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) conspicuous consumption by elites. (D) the development of a common religion.. Of the answer choices above, answer (C) is the",best,1,prehistory,[-9.508797645568848]
"Unlike most other early civilizations, Minoan culture shows little evidence of: (A) trade. (B) warfare. (C) conspicuous consumption by elites. (D) the development of a common religion.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-9.508797645568848]
"The greatest Egyptian pyramids at Giza were built: (A) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (B) in the construction frenzy of the 6th dynasty. (C) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (D) all of the above.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-1.9400653839111328]
"The greatest Egyptian pyramids at Giza were built: (A) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (B) in the construction frenzy of the 6th dynasty. (C) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (D) all of the above.. Of the answer choices above, answer (B) is the",best,0,prehistory,[-1.5886411666870117]
"The greatest Egyptian pyramids at Giza were built: (A) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (B) in the construction frenzy of the 6th dynasty. (C) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (D) all of the above.. Of the answer choices above, answer (C) is the",best,1,prehistory,[-1.5135469436645508]
"The greatest Egyptian pyramids at Giza were built: (A) by slaves who were coerced and worked under the threat of death, as described in the book of Exodus of the Old Testament. (B) in the construction frenzy of the 6th dynasty. (C) as burial monuments for the pharaoh Khufu, Khufu's son Khafre, and Khufu's grandson Menkaure. (D) all of the above.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-1.734415054321289]
"When anatomically modern humans first arrived in the Middle East, who did they encounter? (A) Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (B) Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (C) Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago (D) All of the above. Of the answer choices above, answer (A) is the",best,0,prehistory,[-18.048635482788086]
"When anatomically modern humans first arrived in the Middle East, who did they encounter? (A) Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (B) Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (C) Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago (D) All of the above. Of the answer choices above, answer (B) is the",best,1,prehistory,[-18.048635482788086]
"When anatomically modern humans first arrived in the Middle East, who did they encounter? (A) Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (B) Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (C) Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago (D) All of the above. Of the answer choices above, answer (C) is the",best,0,prehistory,[-18.048635482788086]
"When anatomically modern humans first arrived in the Middle East, who did they encounter? (A) Homo erectus, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (B) Neandertals, the evolutionary descendants of the premodern human inhabitants of Europe and Asia (C) Homo sapiens, who had evolved independently in Asia and arrived there by 200,000 years ago (D) All of the above. Of the answer choices above, answer (D) is the",best,0,prehistory,[-18.048635482788086]
"The “Lion Man” from Hohlenstein-Stadel cave is an example of: (A) long-distance trade of exotic raw materials. (B) parietal art. (C) mobiliary art. (D) a Venus figurine.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-13.90976333618164]
"The “Lion Man” from Hohlenstein-Stadel cave is an example of: (A) long-distance trade of exotic raw materials. (B) parietal art. (C) mobiliary art. (D) a Venus figurine.. Of the answer choices above, answer (B) is the",best,0,prehistory,[-13.90976333618164]
"The “Lion Man” from Hohlenstein-Stadel cave is an example of: (A) long-distance trade of exotic raw materials. (B) parietal art. (C) mobiliary art. (D) a Venus figurine.. Of the answer choices above, answer (C) is the",best,1,prehistory,[-13.90976333618164]
"The “Lion Man” from Hohlenstein-Stadel cave is an example of: (A) long-distance trade of exotic raw materials. (B) parietal art. (C) mobiliary art. (D) a Venus figurine.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-13.90976333618164]
"At its peak, the palace at Knossos is thought to have had over _________ rooms. (A) 100 (B) 1,000 (C) 500 (D) 5,000. Of the answer choices above, answer (A) is the",best,0,prehistory,[-23.814842224121094]
"At its peak, the palace at Knossos is thought to have had over _________ rooms. (A) 100 (B) 1,000 (C) 500 (D) 5,000. Of the answer choices above, answer (B) is the",best,1,prehistory,[-23.814842224121094]
"At its peak, the palace at Knossos is thought to have had over _________ rooms. (A) 100 (B) 1,000 (C) 500 (D) 5,000. Of the answer choices above, answer (C) is the",best,0,prehistory,[-23.814842224121094]
"At its peak, the palace at Knossos is thought to have had over _________ rooms. (A) 100 (B) 1,000 (C) 500 (D) 5,000. Of the answer choices above, answer (D) is the",best,0,prehistory,[-23.814842224121094]
"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT: (A) formal government (B) monumental earthworks (C) urban centers (D) a permanent military. Of the answer choices above, answer (A) is the",best,0,prehistory,[-16.685197830200195]
"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT: (A) formal government (B) monumental earthworks (C) urban centers (D) a permanent military. Of the answer choices above, answer (B) is the",best,1,prehistory,[-16.685197830200195]
"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT: (A) formal government (B) monumental earthworks (C) urban centers (D) a permanent military. Of the answer choices above, answer (C) is the",best,0,prehistory,[-16.685197830200195]
"The Hopewell were complex rank societies, but they were not a state. Hopewell culture lacked all of the following elements EXCEPT: (A) formal government (B) monumental earthworks (C) urban centers (D) a permanent military. Of the answer choices above, answer (D) is the",best,0,prehistory,[-16.685197830200195]
"Markings found on the mud-bricks of Huaca del Sol are probably: (A) instructions for the builders written there by the engineers. (B) intended to identify the local group that had produced them. (C) random scratches and not a meaningful script or written language. (D) simple arithmetic performed by carpenters on the building site.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-0.9333724975585938]
"Markings found on the mud-bricks of Huaca del Sol are probably: (A) instructions for the builders written there by the engineers. (B) intended to identify the local group that had produced them. (C) random scratches and not a meaningful script or written language. (D) simple arithmetic performed by carpenters on the building site.. Of the answer choices above, answer (B) is the",best,1,prehistory,[-0.9656925201416016]
"Markings found on the mud-bricks of Huaca del Sol are probably: (A) instructions for the builders written there by the engineers. (B) intended to identify the local group that had produced them. (C) random scratches and not a meaningful script or written language. (D) simple arithmetic performed by carpenters on the building site.. Of the answer choices above, answer (C) is the",best,0,prehistory,[-0.942805290222168]
"Markings found on the mud-bricks of Huaca del Sol are probably: (A) instructions for the builders written there by the engineers. (B) intended to identify the local group that had produced them. (C) random scratches and not a meaningful script or written language. (D) simple arithmetic performed by carpenters on the building site.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-1.0102577209472656]
"The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________. (A) legumes, sarsens (B) sarsens, lintels (C) lintels, stelae (D) trilithon, tholoi. Of the answer choices above, answer (A) is the",best,0,prehistory,[-21.428964614868164]
"The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________. (A) legumes, sarsens (B) sarsens, lintels (C) lintels, stelae (D) trilithon, tholoi. Of the answer choices above, answer (B) is the",best,1,prehistory,[-21.428964614868164]
"The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________. (A) legumes, sarsens (B) sarsens, lintels (C) lintels, stelae (D) trilithon, tholoi. Of the answer choices above, answer (C) is the",best,0,prehistory,[-21.428964614868164]
"The 30 upright stones at Stonehenge are called _______; the horizontal stones are _________. (A) legumes, sarsens (B) sarsens, lintels (C) lintels, stelae (D) trilithon, tholoi. Of the answer choices above, answer (D) is the",best,0,prehistory,[-21.428964614868164]
"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that: (A) the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk. (B) it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis. (C) it allowed for bipedalism and independence from the mother at an earlier age. (D) it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-0.9525642395019531]
"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that: (A) the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk. (B) it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis. (C) it allowed for bipedalism and independence from the mother at an earlier age. (D) it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.. Of the answer choices above, answer (B) is the",best,1,prehistory,[-1.0576915740966797]
"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that: (A) the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk. (B) it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis. (C) it allowed for bipedalism and independence from the mother at an earlier age. (D) it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.. Of the answer choices above, answer (C) is the",best,0,prehistory,[-0.9613256454467773]
"The secondarily altricial condition of modern human babies may have been an evolutionary solution, in that: (A) the brain size of hominids had not grown for more than a million years, making it difficult for babies to walk. (B) it allowed for subsequent growth of the brain, since bipedalism had resulted in a narrowed birth canal in the female pelvis. (C) it allowed for bipedalism and independence from the mother at an earlier age. (D) it allowed for growth of the brain to nearly adult size prior to birth, since bipedalism had resulted in a wider birth canal in the female pelvis.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-1.1223516464233398]
"Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from: (A) species focused on grasses to nuts and fruits. (B) meat to fruits and vegetables. (C) fruits and vegetables to fish. (D) nuts and fruits to species more focused on grasses.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-16.251445770263672]
"Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from: (A) species focused on grasses to nuts and fruits. (B) meat to fruits and vegetables. (C) fruits and vegetables to fish. (D) nuts and fruits to species more focused on grasses.. Of the answer choices above, answer (B) is the",best,0,prehistory,[-16.251445770263672]
"Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from: (A) species focused on grasses to nuts and fruits. (B) meat to fruits and vegetables. (C) fruits and vegetables to fish. (D) nuts and fruits to species more focused on grasses.. Of the answer choices above, answer (C) is the",best,0,prehistory,[-16.251445770263672]
"Research on C3 and C4 pathways indicates that changes in plant communities were associated with a transition in the diets of ancient hominids from: (A) species focused on grasses to nuts and fruits. (B) meat to fruits and vegetables. (C) fruits and vegetables to fish. (D) nuts and fruits to species more focused on grasses.. Of the answer choices above, answer (D) is the",best,1,prehistory,[-16.251445770263672]
"Which of the following is evidence of new uses for plants during the Middle Stone Age? (A) the use of seeds as a natural insecticide in Altamira cave in southwestern Europe (B) plant material lining the floor of Sibudu Cave in South Africa (C) plant materials such as flowers in Aurignacian burials in southern France (D) the use of wood in the Gravettian tradition to make spear-throwers and canoes. Of the answer choices above, answer (A) is the",best,0,prehistory,[-14.346048355102539]
"Which of the following is evidence of new uses for plants during the Middle Stone Age? (A) the use of seeds as a natural insecticide in Altamira cave in southwestern Europe (B) plant material lining the floor of Sibudu Cave in South Africa (C) plant materials such as flowers in Aurignacian burials in southern France (D) the use of wood in the Gravettian tradition to make spear-throwers and canoes. Of the answer choices above, answer (B) is the",best,1,prehistory,[-14.346048355102539]
"Which of the following is evidence of new uses for plants during the Middle Stone Age? (A) the use of seeds as a natural insecticide in Altamira cave in southwestern Europe (B) plant material lining the floor of Sibudu Cave in South Africa (C) plant materials such as flowers in Aurignacian burials in southern France (D) the use of wood in the Gravettian tradition to make spear-throwers and canoes. Of the answer choices above, answer (C) is the",best,0,prehistory,[-14.346048355102539]
"Which of the following is evidence of new uses for plants during the Middle Stone Age? (A) the use of seeds as a natural insecticide in Altamira cave in southwestern Europe (B) plant material lining the floor of Sibudu Cave in South Africa (C) plant materials such as flowers in Aurignacian burials in southern France (D) the use of wood in the Gravettian tradition to make spear-throwers and canoes. Of the answer choices above, answer (D) is the",best,0,prehistory,[-14.346048355102539]
"That modern Africans do not possess any Neandertal DNA indicates that: (A) Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa. (B) Gene flow between Neandertals and anatomically modern humans occurred after anatomically modern humans migrated out of Africa. (C) Neandertals who lived in Africa did not interbreed with anatomically modern humans, but must have followed them when they migrated out of Africa. (D) Interbreeding between anatomically modern humans and Neandertals never occurred.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-12.779264450073242]
"That modern Africans do not possess any Neandertal DNA indicates that: (A) Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa. (B) Gene flow between Neandertals and anatomically modern humans occurred after anatomically modern humans migrated out of Africa. (C) Neandertals who lived in Africa did not interbreed with anatomically modern humans, but must have followed them when they migrated out of Africa. (D) Interbreeding between anatomically modern humans and Neandertals never occurred.. Of the answer choices above, answer (B) is the",best,1,prehistory,[-12.779264450073242]
"That modern Africans do not possess any Neandertal DNA indicates that: (A) Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa. (B) Gene flow between Neandertals and anatomically modern humans occurred after anatomically modern humans migrated out of Africa. (C) Neandertals who lived in Africa did not interbreed with anatomically modern humans, but must have followed them when they migrated out of Africa. (D) Interbreeding between anatomically modern humans and Neandertals never occurred.. Of the answer choices above, answer (C) is the",best,0,prehistory,[-12.779264450073242]
"That modern Africans do not possess any Neandertal DNA indicates that: (A) Gene flow between Neandertals and anatomically modern humans must have occurred before Neandertals migrated out of Africa. (B) Gene flow between Neandertals and anatomically modern humans occurred after anatomically modern humans migrated out of Africa. (C) Neandertals who lived in Africa did not interbreed with anatomically modern humans, but must have followed them when they migrated out of Africa. (D) Interbreeding between anatomically modern humans and Neandertals never occurred.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-12.779264450073242]
"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______. (A) Beringia; Late Beringian Period (B) Sundaland; McKenzie Maximum (C) Beringia; Late Glacial Maximum (D) Wallacea; Late Laurentide Period. Of the answer choices above, answer (A) is the",best,0,prehistory,[-1.7623987197875977]
"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______. (A) Beringia; Late Beringian Period (B) Sundaland; McKenzie Maximum (C) Beringia; Late Glacial Maximum (D) Wallacea; Late Laurentide Period. Of the answer choices above, answer (B) is the",best,0,prehistory,[-2.2214736938476562]
"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______. (A) Beringia; Late Beringian Period (B) Sundaland; McKenzie Maximum (C) Beringia; Late Glacial Maximum (D) Wallacea; Late Laurentide Period. Of the answer choices above, answer (C) is the",best,1,prehistory,[-1.692068099975586]
"Toward the end of the Pleistocene, between 28,000 and 18,000 years ago, worldwide sea level was much lower than present day, resulting in the exposure of a landmass east of Siberia called __________. This period is called the _______. (A) Beringia; Late Beringian Period (B) Sundaland; McKenzie Maximum (C) Beringia; Late Glacial Maximum (D) Wallacea; Late Laurentide Period. Of the answer choices above, answer (D) is the",best,0,prehistory,[-2.095108985900879]
"Which archaeological method is best for identifying large-scale land modifications? (A) test pits (B) ground-penetrating radar (C) proton magnetometers (D) aerial photography. Of the answer choices above, answer (A) is the",best,0,prehistory,[-15.113180160522461]
"Which archaeological method is best for identifying large-scale land modifications? (A) test pits (B) ground-penetrating radar (C) proton magnetometers (D) aerial photography. Of the answer choices above, answer (B) is the",best,0,prehistory,[-15.186370849609375]
"Which archaeological method is best for identifying large-scale land modifications? (A) test pits (B) ground-penetrating radar (C) proton magnetometers (D) aerial photography. Of the answer choices above, answer (C) is the",best,0,prehistory,[-15.160982131958008]
"Which archaeological method is best for identifying large-scale land modifications? (A) test pits (B) ground-penetrating radar (C) proton magnetometers (D) aerial photography. Of the answer choices above, answer (D) is the",best,1,prehistory,[-15.187337875366211]
"What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific? (A) Clovis (B) Nenana Complex (C) Micronesian Pottery Tradition (D) Lapita. Of the answer choices above, answer (A) is the",best,0,prehistory,[-9.985268592834473]
"What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific? (A) Clovis (B) Nenana Complex (C) Micronesian Pottery Tradition (D) Lapita. Of the answer choices above, answer (B) is the",best,0,prehistory,[-9.985268592834473]
"What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific? (A) Clovis (B) Nenana Complex (C) Micronesian Pottery Tradition (D) Lapita. Of the answer choices above, answer (C) is the",best,0,prehistory,[-9.985268592834473]
"What designation for a pottery style was eventually applied to an entire cultural complex that moved across the Pacific? (A) Clovis (B) Nenana Complex (C) Micronesian Pottery Tradition (D) Lapita. Of the answer choices above, answer (D) is the",best,1,prehistory,[-9.985268592834473]
"What is one of the differences between simple foragers and complex foragers? (A) Complex foragers employ irrigation technology. (B) Complex foragers rely on a wider range of food sources. (C) Complex foragers are more highly mobile. (D) Complex foragers focus on a few highly productive resources.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-21.225452423095703]
"What is one of the differences between simple foragers and complex foragers? (A) Complex foragers employ irrigation technology. (B) Complex foragers rely on a wider range of food sources. (C) Complex foragers are more highly mobile. (D) Complex foragers focus on a few highly productive resources.. Of the answer choices above, answer (B) is the",best,0,prehistory,[-21.225452423095703]
"What is one of the differences between simple foragers and complex foragers? (A) Complex foragers employ irrigation technology. (B) Complex foragers rely on a wider range of food sources. (C) Complex foragers are more highly mobile. (D) Complex foragers focus on a few highly productive resources.. Of the answer choices above, answer (C) is the",best,0,prehistory,[-21.225452423095703]
"What is one of the differences between simple foragers and complex foragers? (A) Complex foragers employ irrigation technology. (B) Complex foragers rely on a wider range of food sources. (C) Complex foragers are more highly mobile. (D) Complex foragers focus on a few highly productive resources.. Of the answer choices above, answer (D) is the",best,1,prehistory,[-21.225452423095703]
"The significance of Frere's discovery was that what he found was located: (A) on the surface, above the remains of extinct animals. (B) in a region of Africa where no one thought humans had ever lived. (C) beneath the remains of extinct animals. (D) on top of the ruins of a Medieval castle.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-1.0065250396728516]
"The significance of Frere's discovery was that what he found was located: (A) on the surface, above the remains of extinct animals. (B) in a region of Africa where no one thought humans had ever lived. (C) beneath the remains of extinct animals. (D) on top of the ruins of a Medieval castle.. Of the answer choices above, answer (B) is the",best,0,prehistory,[-1.028829574584961]
"The significance of Frere's discovery was that what he found was located: (A) on the surface, above the remains of extinct animals. (B) in a region of Africa where no one thought humans had ever lived. (C) beneath the remains of extinct animals. (D) on top of the ruins of a Medieval castle.. Of the answer choices above, answer (C) is the",best,1,prehistory,[-0.9958314895629883]
"The significance of Frere's discovery was that what he found was located: (A) on the surface, above the remains of extinct animals. (B) in a region of Africa where no one thought humans had ever lived. (C) beneath the remains of extinct animals. (D) on top of the ruins of a Medieval castle.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-1.233438491821289]
"What is the earliest form of writing in the world and where did it develop? (A) hieroglyphics, in Egypt (B) clay-tablets, at Knossos (C) runes, at Stonehenge (D) cuneiform, in Mesopotamia. Of the answer choices above, answer (A) is the",best,0,prehistory,[-12.143987655639648]
"What is the earliest form of writing in the world and where did it develop? (A) hieroglyphics, in Egypt (B) clay-tablets, at Knossos (C) runes, at Stonehenge (D) cuneiform, in Mesopotamia. Of the answer choices above, answer (B) is the",best,0,prehistory,[-12.143987655639648]
"What is the earliest form of writing in the world and where did it develop? (A) hieroglyphics, in Egypt (B) clay-tablets, at Knossos (C) runes, at Stonehenge (D) cuneiform, in Mesopotamia. Of the answer choices above, answer (C) is the",best,0,prehistory,[-12.143987655639648]
"What is the earliest form of writing in the world and where did it develop? (A) hieroglyphics, in Egypt (B) clay-tablets, at Knossos (C) runes, at Stonehenge (D) cuneiform, in Mesopotamia. Of the answer choices above, answer (D) is the",best,1,prehistory,[-12.143987655639648]
"A pattern of social integration in which individuals are placed into a hierarchy of social levels is called: (A) urbanization. (B) a social system. (C) a necropolis. (D) social stratification.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-17.688528060913086]
"A pattern of social integration in which individuals are placed into a hierarchy of social levels is called: (A) urbanization. (B) a social system. (C) a necropolis. (D) social stratification.. Of the answer choices above, answer (B) is the",best,0,prehistory,[-17.688528060913086]
"A pattern of social integration in which individuals are placed into a hierarchy of social levels is called: (A) urbanization. (B) a social system. (C) a necropolis. (D) social stratification.. Of the answer choices above, answer (C) is the",best,0,prehistory,[-17.688528060913086]
"A pattern of social integration in which individuals are placed into a hierarchy of social levels is called: (A) urbanization. (B) a social system. (C) a necropolis. (D) social stratification.. Of the answer choices above, answer (D) is the",best,1,prehistory,[-17.688528060913086]
"The Minoan economy may have been especially vulnerable to natural catastrophe because it relied heavily on: (A) agriculture (B) metalworking (C) slave labor (D) maritime trade. Of the answer choices above, answer (A) is the",best,0,prehistory,[-12.577082633972168]
"The Minoan economy may have been especially vulnerable to natural catastrophe because it relied heavily on: (A) agriculture (B) metalworking (C) slave labor (D) maritime trade. Of the answer choices above, answer (B) is the",best,0,prehistory,[-12.577082633972168]
"The Minoan economy may have been especially vulnerable to natural catastrophe because it relied heavily on: (A) agriculture (B) metalworking (C) slave labor (D) maritime trade. Of the answer choices above, answer (C) is the",best,0,prehistory,[-12.577082633972168]
"The Minoan economy may have been especially vulnerable to natural catastrophe because it relied heavily on: (A) agriculture (B) metalworking (C) slave labor (D) maritime trade. Of the answer choices above, answer (D) is the",best,1,prehistory,[-12.577082633972168]
"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________. (A) Wari; AD 100 (B) Moche; AD 400 (C) Inca; AD 200 (D) Maya; AD 400. Of the answer choices above, answer (A) is the",best,0,prehistory,[-1.8928585052490234]
"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________. (A) Wari; AD 100 (B) Moche; AD 400 (C) Inca; AD 200 (D) Maya; AD 400. Of the answer choices above, answer (B) is the",best,1,prehistory,[-1.9615669250488281]
"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________. (A) Wari; AD 100 (B) Moche; AD 400 (C) Inca; AD 200 (D) Maya; AD 400. Of the answer choices above, answer (C) is the",best,0,prehistory,[-1.9852409362792969]
"The _______ developed one of the earliest kingdoms in South America, reaching its height at around _________. (A) Wari; AD 100 (B) Moche; AD 400 (C) Inca; AD 200 (D) Maya; AD 400. Of the answer choices above, answer (D) is the",best,0,prehistory,[-2.109377861022949]
"What is the name of the lithic technology seen in the Arctic and consisting of wedge-shaped cores, micro-blades, bifacial knives, and burins? (A) Clovis Complex (B) Folsom Complex (C) Nenana Complex (D) Denali Complex. Of the answer choices above, answer (A) is the",best,0,prehistory,[-1.5978431701660156]
"What is the name of the lithic technology seen in the Arctic and consisting of wedge-shaped cores, micro-blades, bifacial knives, and burins? (A) Clovis Complex (B) Folsom Complex (C) Nenana Complex (D) Denali Complex. Of the answer choices above, answer (B) is the",best,0,prehistory,[-1.5500965118408203]
"What is the name of the lithic technology seen in the Arctic and consisting of wedge-shaped cores, micro-blades, bifacial knives, and burins? (A) Clovis Complex (B) Folsom Complex (C) Nenana Complex (D) Denali Complex. Of the answer choices above, answer (C) is the",best,0,prehistory,[-1.667527198791504]
"What is the name of the lithic technology seen in the Arctic and consisting of wedge-shaped cores, micro-blades, bifacial knives, and burins? (A) Clovis Complex (B) Folsom Complex (C) Nenana Complex (D) Denali Complex. Of the answer choices above, answer (D) is the",best,1,prehistory,[-1.721231460571289]
"Which of the following is used to remove the soil enclosing site materials? (A) brushes (B) trowels (C) dental picks (D) all of the above. Of the answer choices above, answer (A) is the",best,0,prehistory,[-12.351760864257812]
"Which of the following is used to remove the soil enclosing site materials? (A) brushes (B) trowels (C) dental picks (D) all of the above. Of the answer choices above, answer (B) is the",best,0,prehistory,[-12.351760864257812]
"Which of the following is used to remove the soil enclosing site materials? (A) brushes (B) trowels (C) dental picks (D) all of the above. Of the answer choices above, answer (C) is the",best,0,prehistory,[-12.351760864257812]
"Which of the following is used to remove the soil enclosing site materials? (A) brushes (B) trowels (C) dental picks (D) all of the above. Of the answer choices above, answer (D) is the",best,1,prehistory,[-12.351760864257812]
"A continuous, projecting ridge of bone above and across the eye orbits is called the: (A) sagittal crest. (B) supraorbital torus. (C) maxilla. (D) occipital bone.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-22.179256439208984]
"A continuous, projecting ridge of bone above and across the eye orbits is called the: (A) sagittal crest. (B) supraorbital torus. (C) maxilla. (D) occipital bone.. Of the answer choices above, answer (B) is the",best,1,prehistory,[-22.179256439208984]
"A continuous, projecting ridge of bone above and across the eye orbits is called the: (A) sagittal crest. (B) supraorbital torus. (C) maxilla. (D) occipital bone.. Of the answer choices above, answer (C) is the",best,0,prehistory,[-22.179256439208984]
"A continuous, projecting ridge of bone above and across the eye orbits is called the: (A) sagittal crest. (B) supraorbital torus. (C) maxilla. (D) occipital bone.. Of the answer choices above, answer (D) is the",best,0,prehistory,[-22.179256439208984]
"Ancestral Puebloan culture in Chaco Canyon was comprised of: (A) more than 500 towns and villages with monumental architecture. (B) around 75 substantial settlements and more than 300 smaller communities. (C) between 30 and 40 farmsteads and three large pueblos. (D) one large city state with more than 300 outlying farmsteads.. Of the answer choices above, answer (A) is the",best,0,prehistory,[-1.0793657302856445]
