preamble,stimulus,is_correct,subject,stimulus_prob
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Promotional days/weeks (D) Media tour. Of the answer choices above, answer (A) is the",best,0,public_relations,[-1.6025009155273438]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Promotional days/weeks (D) Media tour. Of the answer choices above, answer (B) is the",best,0,public_relations,[-1.5343914031982422]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Promotional days/weeks (D) Media tour. Of the answer choices above, answer (C) is the",best,0,public_relations,[-1.5201873779296875]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media release (B) Press room (C) Promotional days/weeks (D) Media tour. Of the answer choices above, answer (D) is the",best,1,public_relations,[-1.5704822540283203]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (C) Issue a press release to the Albany, New York, market explaining how to treat the symptoms. (D) Stop all sales of the product throughout the nation and issue a recall for that product.. Of the answer choices above, answer (A) is the",best,0,public_relations,[-0.5409336090087891]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (C) Issue a press release to the Albany, New York, market explaining how to treat the symptoms. (D) Stop all sales of the product throughout the nation and issue a recall for that product.. Of the answer choices above, answer (B) is the",best,0,public_relations,[-0.5300750732421875]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (C) Issue a press release to the Albany, New York, market explaining how to treat the symptoms. (D) Stop all sales of the product throughout the nation and issue a recall for that product.. Of the answer choices above, answer (C) is the",best,0,public_relations,[-0.5700931549072266]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (C) Issue a press release to the Albany, New York, market explaining how to treat the symptoms. (D) Stop all sales of the product throughout the nation and issue a recall for that product.. Of the answer choices above, answer (D) is the",best,1,public_relations,[-0.5645198822021484]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) employee relations (C) public issues (D) consumer relations. Of the answer choices above, answer (A) is the",best,0,public_relations,[-1.0469932556152344]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) employee relations (C) public issues (D) consumer relations. Of the answer choices above, answer (B) is the",best,0,public_relations,[-1.097259521484375]
