preamble,stimulus,is_correct,subject,stimulus_prob
"Mass-society theory suggests that: (A) the content of the media is determined by market forces (B) the media manipulate 'the masses' as vulnerable, passive consumers (C) the subordinate classes are dominated by the ideology of the ruling class (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (A) is the",best,0,sociology,[-3.4375]
"Mass-society theory suggests that: (A) the content of the media is determined by market forces (B) the media manipulate 'the masses' as vulnerable, passive consumers (C) the subordinate classes are dominated by the ideology of the ruling class (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (B) is the",best,1,sociology,[-3.4375]
"Mass-society theory suggests that: (A) the content of the media is determined by market forces (B) the media manipulate 'the masses' as vulnerable, passive consumers (C) the subordinate classes are dominated by the ideology of the ruling class (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (C) is the",best,0,sociology,[-3.4375]
"Mass-society theory suggests that: (A) the content of the media is determined by market forces (B) the media manipulate 'the masses' as vulnerable, passive consumers (C) the subordinate classes are dominated by the ideology of the ruling class (D) audiences make selective interpretations of media messages. Of the answer choices above, answer (D) is the",best,0,sociology,[-3.3125]
"The ecological approach to urban sociology involved studying: (A) the forms of wildlife and natural habitats that could be found on the edges of the city (B) the way in which people organized collective protests about environmental issues (C) how men and women used the city's public spaces differently (D) how social groups colonized different areas of the city and competed for resources. Of the answer choices above, answer (A) is the",best,0,sociology,[-2.9375]
"The ecological approach to urban sociology involved studying: (A) the forms of wildlife and natural habitats that could be found on the edges of the city (B) the way in which people organized collective protests about environmental issues (C) how men and women used the city's public spaces differently (D) how social groups colonized different areas of the city and competed for resources. Of the answer choices above, answer (B) is the",best,0,sociology,[-3.0625]
"The ecological approach to urban sociology involved studying: (A) the forms of wildlife and natural habitats that could be found on the edges of the city (B) the way in which people organized collective protests about environmental issues (C) how men and women used the city's public spaces differently (D) how social groups colonized different areas of the city and competed for resources. Of the answer choices above, answer (C) is the",best,0,sociology,[-3.0]
"The ecological approach to urban sociology involved studying: (A) the forms of wildlife and natural habitats that could be found on the edges of the city (B) the way in which people organized collective protests about environmental issues (C) how men and women used the city's public spaces differently (D) how social groups colonized different areas of the city and competed for resources. Of the answer choices above, answer (D) is the",best,1,sociology,[-2.9375]
"Becker proclaimed that cannabis use was: (A) increasing throughout all sections of youth in the 1970s (B) learned gradually through the social processes of a deviant career (C) a dangerous pastime that young people should not be allowed to pursue (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (A) is the",best,0,sociology,[-2.8125]
"Becker proclaimed that cannabis use was: (A) increasing throughout all sections of youth in the 1970s (B) learned gradually through the social processes of a deviant career (C) a dangerous pastime that young people should not be allowed to pursue (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (B) is the",best,1,sociology,[-2.9375]
"Becker proclaimed that cannabis use was: (A) increasing throughout all sections of youth in the 1970s (B) learned gradually through the social processes of a deviant career (C) a dangerous pastime that young people should not be allowed to pursue (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (C) is the",best,0,sociology,[-2.9375]
"Becker proclaimed that cannabis use was: (A) increasing throughout all sections of youth in the 1970s (B) learned gradually through the social processes of a deviant career (C) a dangerous pastime that young people should not be allowed to pursue (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, answer (D) is the",best,0,sociology,[-2.8125]
"The middle classes that developed over the nineteenth century were: (A) an urban set, involved in civic bodies and voluntary associations (B) all of the above (C) too diverse to have a strong sense of class consciousness (D) often involved in 'white collar' work. Of the answer choices above, answer (A) is the",best,0,sociology,[-3.0625]
"The middle classes that developed over the nineteenth century were: (A) an urban set, involved in civic bodies and voluntary associations (B) all of the above (C) too diverse to have a strong sense of class consciousness (D) often involved in 'white collar' work. Of the answer choices above, answer (B) is the",best,1,sociology,[-3.125]
"The middle classes that developed over the nineteenth century were: (A) an urban set, involved in civic bodies and voluntary associations (B) all of the above (C) too diverse to have a strong sense of class consciousness (D) often involved in 'white collar' work. Of the answer choices above, answer (C) is the",best,0,sociology,[-3.125]
"The middle classes that developed over the nineteenth century were: (A) an urban set, involved in civic bodies and voluntary associations (B) all of the above (C) too diverse to have a strong sense of class consciousness (D) often involved in 'white collar' work. Of the answer choices above, answer (D) is the",best,0,sociology,[-3.125]
"Technological forms of surveillance have made it easier to: (A) access and exchange 'private' information about consumers (B) reduce prison overcrowding by the use of electronic tagging (C) all of the above (D) monitor employees' activities at work. Of the answer choices above, answer (A) is the",best,0,sociology,[-2.9375]
"Technological forms of surveillance have made it easier to: (A) access and exchange 'private' information about consumers (B) reduce prison overcrowding by the use of electronic tagging (C) all of the above (D) monitor employees' activities at work. Of the answer choices above, answer (B) is the",best,0,sociology,[-3.0]
"Technological forms of surveillance have made it easier to: (A) access and exchange 'private' information about consumers (B) reduce prison overcrowding by the use of electronic tagging (C) all of the above (D) monitor employees' activities at work. Of the answer choices above, answer (C) is the",best,1,sociology,[-2.9375]
"Technological forms of surveillance have made it easier to: (A) access and exchange 'private' information about consumers (B) reduce prison overcrowding by the use of electronic tagging (C) all of the above (D) monitor employees' activities at work. Of the answer choices above, answer (D) is the",best,0,sociology,[-2.875]
"The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as (A) organic solidarity (B) mechanical solidarity (C) gesellschaft (D) anomie. Of the answer choices above, answer (A) is the",best,0,sociology,[-2.625]
"The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as (A) organic solidarity (B) mechanical solidarity (C) gesellschaft (D) anomie. Of the answer choices above, answer (B) is the",best,1,sociology,[-2.75]
"The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as (A) organic solidarity (B) mechanical solidarity (C) gesellschaft (D) anomie. Of the answer choices above, answer (C) is the",best,0,sociology,[-2.6875]
"The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as (A) organic solidarity (B) mechanical solidarity (C) gesellschaft (D) anomie. Of the answer choices above, answer (D) is the",best,0,sociology,[-2.75]
