preamble,stimulus,is_correct,subject,stimulus_prob
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 10 permanent members with veto power, and 5 rotating members without veto power (C) 5 permanent members with veto power, 10 rotating members with no veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-1.8235149383544922]
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 10 permanent members with veto power, and 5 rotating members without veto power (C) 5 permanent members with veto power, 10 rotating members with no veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-1.7601804733276367]
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 10 permanent members with veto power, and 5 rotating members without veto power (C) 5 permanent members with veto power, 10 rotating members with no veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-1.7149877548217773]
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 10 permanent members with veto power, and 5 rotating members without veto power (C) 5 permanent members with veto power, 10 rotating members with no veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.062777519226074]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-15.230772018432617]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-15.230772018432617]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-15.230772018432617]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, answer (D) is the",best,1,us_foreign_policy,[-15.230772018432617]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers (D) China. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-8.475400924682617]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers (D) China. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-8.475400924682617]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers (D) China. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-8.475400924682617]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) Organized crime (C) Drug traffickers (D) China. Of the answer choices above, answer (D) is the",best,1,us_foreign_policy,[-8.475400924682617]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-18.09931182861328]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-18.1197452545166]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-18.13558578491211]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, answer (D) is the",best,1,us_foreign_policy,[-18.145578384399414]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-13.512596130371094]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-13.512596130371094]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-13.512596130371094]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-13.512596130371094]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism (D) Both b and c. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-16.610992431640625]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism (D) Both b and c. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-16.610992431640625]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism (D) Both b and c. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-16.610992431640625]
"What were the implications of the Cold War for American exceptionalism? (A) It ended the influence of American exceptionalism entirely (B) Exceptionalism was enhanced by America's status as the 'leader of the free world' (C) The extension of American power globally challenged core assumptions of exceptionalism (D) Both b and c. Of the answer choices above, answer (D) is the",best,1,us_foreign_policy,[-16.610992431640625]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-1.5781126022338867]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-1.5384798049926758]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-1.3577089309692383]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-1.3696880340576172]
"What was the 'New Populism'? (A) A strand of internationalist sentiment (B) An expression of American cultural superiority (C) Increased incorporation of public opinion in foreign policy making (D) A strand of neo-isolationist sentiment. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-13.664241790771484]
"What was the 'New Populism'? (A) A strand of internationalist sentiment (B) An expression of American cultural superiority (C) Increased incorporation of public opinion in foreign policy making (D) A strand of neo-isolationist sentiment. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-13.664241790771484]
"What was the 'New Populism'? (A) A strand of internationalist sentiment (B) An expression of American cultural superiority (C) Increased incorporation of public opinion in foreign policy making (D) A strand of neo-isolationist sentiment. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-13.664241790771484]
"What was the 'New Populism'? (A) A strand of internationalist sentiment (B) An expression of American cultural superiority (C) Increased incorporation of public opinion in foreign policy making (D) A strand of neo-isolationist sentiment. Of the answer choices above, answer (D) is the",best,1,us_foreign_policy,[-13.664241790771484]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) The United States became a creditor country and financial centre, with European war spending boosting the US economy (D) European countries paid the United States for assistance. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-1.2963781356811523]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) The United States became a creditor country and financial centre, with European war spending boosting the US economy (D) European countries paid the United States for assistance. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-1.2321062088012695]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) The United States became a creditor country and financial centre, with European war spending boosting the US economy (D) European countries paid the United States for assistance. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-0.912510871887207]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States seized German resources after the war (C) The United States became a creditor country and financial centre, with European war spending boosting the US economy (D) European countries paid the United States for assistance. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-1.1092605590820312]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. (D) Congress.. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-16.56983757019043]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. (D) Congress.. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-16.56983757019043]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. (D) Congress.. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-16.56983757019043]
"In American government, the power to declare war rests with (A) the president of the United States. (B) the secretary of defense. (C) the chairman of the Joint Chiefs of Staff. (D) Congress.. Of the answer choices above, answer (D) is the",best,1,us_foreign_policy,[-16.56983757019043]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization (D) None of the above. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-18.59834098815918]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization (D) None of the above. Of the answer choices above, answer (B) is the",best,1,us_foreign_policy,[-18.59834098815918]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization (D) None of the above. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-18.59834098815918]
"How did the Cold War context shape US perceptions of the Third World? (A) The US ignored the Third World (B) Local developments were viewed through a geopolitical lens (C) The US unreservedly supported decolonization (D) None of the above. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-18.59834098815918]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first war won by airpower alone (C) It was the first time NATO used military force (D) It was the first war to employ 'smart weapons'. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-11.637311935424805]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first war won by airpower alone (C) It was the first time NATO used military force (D) It was the first war to employ 'smart weapons'. Of the answer choices above, answer (B) is the",best,1,us_foreign_policy,[-11.637311935424805]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first war won by airpower alone (C) It was the first time NATO used military force (D) It was the first war to employ 'smart weapons'. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-11.637311935424805]
"What was unique about the NATO intervention in Kosovo? (A) It was the first time the US became involved in the Balkans (B) It was the first war won by airpower alone (C) It was the first time NATO used military force (D) It was the first war to employ 'smart weapons'. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-11.637311935424805]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power within a state's governmental system (C) The distribution of power in the international system (D) A state's political ideology. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-10.475317001342773]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power within a state's governmental system (C) The distribution of power in the international system (D) A state's political ideology. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-10.475317001342773]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power within a state's governmental system (C) The distribution of power in the international system (D) A state's political ideology. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-10.475317001342773]
"What, according to Systemic theories, is the primary determinant of a state's foreign policy? (A) The character of a state's leader (B) The distribution of power within a state's governmental system (C) The distribution of power in the international system (D) A state's political ideology. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-10.475317001342773]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) ALL of the above (D) Leaders will not always grant foreign monitors access to their nuclear programs. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-12.777478218078613]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) ALL of the above (D) Leaders will not always grant foreign monitors access to their nuclear programs. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-12.777478218078613]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) ALL of the above (D) Leaders will not always grant foreign monitors access to their nuclear programs. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-12.777478218078613]
"Why is there so much uncertainty over which states have nuclear weapons? (A) Leaders have incentives to lie (B) If leaders revealed their programs, they would be more likely to be attacked (C) ALL of the above (D) Leaders will not always grant foreign monitors access to their nuclear programs. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-12.777478218078613]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. (D) the chairman of the Joint Chiefs.. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-17.365280151367188]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. (D) the chairman of the Joint Chiefs.. Of the answer choices above, answer (B) is the",best,1,us_foreign_policy,[-17.365280151367188]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. (D) the chairman of the Joint Chiefs.. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-17.365280151367188]
"Within American politics, the power to accord official recognition to other countries belongs to (A) the Senate. (B) the president. (C) the Secretary of State. (D) the chairman of the Joint Chiefs.. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-17.365280151367188]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Prohibited the acquisition of new military bases (C) Required the United States and Russia to dismantle a significant number of their nuclear weapons (D) Prohibited short-range nuclear weapons. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-1.2528228759765625]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Prohibited the acquisition of new military bases (C) Required the United States and Russia to dismantle a significant number of their nuclear weapons (D) Prohibited short-range nuclear weapons. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-1.1843671798706055]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Prohibited the acquisition of new military bases (C) Required the United States and Russia to dismantle a significant number of their nuclear weapons (D) Prohibited short-range nuclear weapons. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-1.0961894989013672]
"What did the Moscow Treaty on Strategic Offensive Reductions do? (A) Required the United States and Russia to demobilize their armies (B) Prohibited the acquisition of new military bases (C) Required the United States and Russia to dismantle a significant number of their nuclear weapons (D) Prohibited short-range nuclear weapons. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-1.2261066436767578]
"What were the 'open-door notes'? (A) An American declaration that the US was always open to Chinese immigration (B) An American proclamation that China should be divided up between the US, Japan and the European empires (C) An American proclamation that China should be open to US trade and missionaries (D) An American declaration of support for Chinese economic protectionism. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-1.7273473739624023]
