preamble,stimulus,is_correct,subject,stimulus_prob
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 7 N (D) 12 N. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-7.308412551879883]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 7 N (D) 12 N. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.456850051879883]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 7 N (D) 12 N. Of the answer choices above, the best answer choice is (",C,1,conceptual_physics,[-8.183412551879883]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 7 N (D) 12 N. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.089662551879883]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) volume of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-7.021223068237305]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) volume of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.185285568237305]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) volume of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",C,1,conceptual_physics,[-6.911848068237305]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) volume of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-6.904035568237305]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) is absorbed (C) None of these (D) passes into the air above. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-7.663021087646484]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) is absorbed (C) None of these (D) passes into the air above. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.475521087646484]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) is absorbed (C) None of these (D) passes into the air above. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-7.155208587646484]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) totally internally reflects (B) is absorbed (C) None of these (D) passes into the air above. Of the answer choices above, the best answer choice is (",D,1,conceptual_physics,[-6.983333587646484]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) never. (C) sometimes. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-7.347362518310547]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) never. (C) sometimes. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.737987518310547]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) never. (C) sometimes. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",C,1,conceptual_physics,[-7.933300018310547]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) always. (B) never. (C) sometimes. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.011425018310547]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) changes (C) is at right angles to the electric field (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-8.449422836303711]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) changes (C) is at right angles to the electric field (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",B,1,conceptual_physics,[-8.386922836303711]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) changes (C) is at right angles to the electric field (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.152547836303711]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) changes (C) is at right angles to the electric field (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.340047836303711]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-8.423192977905273]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.641942977905273]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.431005477905273]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, the best answer choice is (",D,1,conceptual_physics,[-8.602880477905273]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. (D) All of these.. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-6.9488372802734375]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. (D) All of these.. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.2066497802734375]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. (D) All of these.. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-7.3628997802734375]
"According to general relativity, (A) mass distorts spacetime. (B) gravity affects clocks. (C) light can’t escape from a black hole. (D) All of these.. Of the answer choices above, the best answer choice is (",D,1,conceptual_physics,[-7.1441497802734375]
"A step-up transformer in an electric circuit can step up (A) energy (B) Both of these (C) Neither of these (D) voltage. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-8.089271545410156]
"A step-up transformer in an electric circuit can step up (A) energy (B) Both of these (C) Neither of these (D) voltage. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.081459045410156]
"A step-up transformer in an electric circuit can step up (A) energy (B) Both of these (C) Neither of these (D) voltage. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.128334045410156]
"A step-up transformer in an electric circuit can step up (A) energy (B) Both of these (C) Neither of these (D) voltage. Of the answer choices above, the best answer choice is (",D,1,conceptual_physics,[-8.464271545410156]
"Spectral lines of the elements are (A) chaotic (B) positioned by amplitude (C) ordered (D) in phase. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-8.502660751342773]
"Spectral lines of the elements are (A) chaotic (B) positioned by amplitude (C) ordered (D) in phase. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.854223251342773]
"Spectral lines of the elements are (A) chaotic (B) positioned by amplitude (C) ordered (D) in phase. Of the answer choices above, the best answer choice is (",C,1,conceptual_physics,[-8.541723251342773]
"Spectral lines of the elements are (A) chaotic (B) positioned by amplitude (C) ordered (D) in phase. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.658910751342773]
"A wave transfers (A) amplitude (B) wavelength (C) frequency (D) energy. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-7.973978042602539]
"A wave transfers (A) amplitude (B) wavelength (C) frequency (D) energy. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.216165542602539]
"A wave transfers (A) amplitude (B) wavelength (C) frequency (D) energy. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.231790542602539]
"A wave transfers (A) amplitude (B) wavelength (C) frequency (D) energy. Of the answer choices above, the best answer choice is (",D,1,conceptual_physics,[-8.169290542602539]
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore (A) the same (B) Either of these (C) Need more information (D) opposite. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-7.76353645324707]
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore (A) the same (B) Either of these (C) Need more information (D) opposite. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.72447395324707]
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore (A) the same (B) Either of these (C) Need more information (D) opposite. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.07603645324707]
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore (A) the same (B) Either of these (C) Need more information (D) opposite. Of the answer choices above, the best answer choice is (",D,1,conceptual_physics,[-8.43541145324707]
"The surface of planet Earth loses energy to outer space due mostly to (A) conduction (B) convection (C) radioactivity (D) radiation. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-8.001527786254883]
