preamble,stimulus,is_correct,subject,stimulus_prob
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (B) 99% of the time in repeated samples, the null hypothesis will be rejected (C) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false (D) 99% of the time in repeated samples, the interval would contain the true value of the parameter. Of the answer choices above, the best answer choice is (",A,0,econometrics,[-6.625192642211914]
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (B) 99% of the time in repeated samples, the null hypothesis will be rejected (C) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false (D) 99% of the time in repeated samples, the interval would contain the true value of the parameter. Of the answer choices above, the best answer choice is (",B,0,econometrics,[-10.105661392211914]
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (B) 99% of the time in repeated samples, the null hypothesis will be rejected (C) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false (D) 99% of the time in repeated samples, the interval would contain the true value of the parameter. Of the answer choices above, the best answer choice is (",C,0,econometrics,[-9.336130142211914]
"Which one of the following is the most appropriate definition of a 99% confidence interval? (A) 99% of the time in repeated samples, the interval would contain the estimated value of the parameter (B) 99% of the time in repeated samples, the null hypothesis will be rejected (C) 99% of the time in repeated samples, the null hypothesis will not be rejected when it was false (D) 99% of the time in repeated samples, the interval would contain the true value of the parameter. Of the answer choices above, the best answer choice is (",D,1,econometrics,[-7.375192642211914]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression (C) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",A,0,econometrics,[-6.958433151245117]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression (C) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",B,1,econometrics,[-7.349058151245117]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression (C) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",C,0,econometrics,[-7.739683151245117]
"What is the main difference between the Dickey Fuller (DF) and Phillips-Perron (PP) approaches to unit root testing? (A) ADF is a single equation approach to unit root testing while PP is a systems approach (B) The PP test incorporates an automatic correction for autocorrelated residuals in the test regression (C) PP tests reverse the DF null and alternative hypotheses so that there is stationarity under the null hypothesis of the PP test (D) PP tests have good power in small samples whereas DF tests do not.. Of the answer choices above, the best answer choice is (",D,0,econometrics,[-7.630308151245117]
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage? (A) It would be symmetrical about zero (B) It would rise more quickly for negative disturbances than for positive ones of the same magnitude (C) It would rise less quickly for negative disturbances than for positive ones of the same magnitude (D) It would be zero for all positive disturbances. Of the answer choices above, the best answer choice is (",A,0,econometrics,[-7.646144866943359]
"If there were a leverage effect in practice, what would be the shape of the news impact curve for as model that accounted for that leverage? (A) It would be symmetrical about zero (B) It would rise more quickly for negative disturbances than for positive ones of the same magnitude (C) It would rise less quickly for negative disturbances than for positive ones of the same magnitude (D) It would be zero for all positive disturbances. Of the answer choices above, the best answer choice is (",B,1,econometrics,[-6.771144866943359]
