preamble,stimulus,is_correct,subject,stimulus_prob
"What is the value of p in 24 = 2p? (A) p = 4 (B) p = 12 (C) p = 8 (D) p = 24. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-6.633758544921875]
"What is the value of p in 24 = 2p? (A) p = 4 (B) p = 12 (C) p = 8 (D) p = 24. Of the answer choices above, the best answer choice is (",B,1,elementary_mathematics,[-6.782196044921875]
"What is the value of p in 24 = 2p? (A) p = 4 (B) p = 12 (C) p = 8 (D) p = 24. Of the answer choices above, the best answer choice is (",C,0,elementary_mathematics,[-7.336883544921875]
"What is the value of p in 24 = 2p? (A) p = 4 (B) p = 12 (C) p = 8 (D) p = 24. Of the answer choices above, the best answer choice is (",D,0,elementary_mathematics,[-7.579071044921875]
"Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day? (A) 5 (B) 7 (C) 8 (D) 9. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-5.984941482543945]
"Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day? (A) 5 (B) 7 (C) 8 (D) 9. Of the answer choices above, the best answer choice is (",B,0,elementary_mathematics,[-5.891191482543945]
"Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day? (A) 5 (B) 7 (C) 8 (D) 9. Of the answer choices above, the best answer choice is (",C,1,elementary_mathematics,[-6.328691482543945]
"Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day? (A) 5 (B) 7 (C) 8 (D) 9. Of the answer choices above, the best answer choice is (",D,0,elementary_mathematics,[-6.305253982543945]
"Find the quotient of −40 ÷ (−8). (A) 1 over 5 (B) −5 (C) 5 (D) −1 over 5. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-5.933344841003418]
"Find the quotient of −40 ÷ (−8). (A) 1 over 5 (B) −5 (C) 5 (D) −1 over 5. Of the answer choices above, the best answer choice is (",B,0,elementary_mathematics,[-5.800532341003418]
"Find the quotient of −40 ÷ (−8). (A) 1 over 5 (B) −5 (C) 5 (D) −1 over 5. Of the answer choices above, the best answer choice is (",C,1,elementary_mathematics,[-6.378657341003418]
"Find the quotient of −40 ÷ (−8). (A) 1 over 5 (B) −5 (C) 5 (D) −1 over 5. Of the answer choices above, the best answer choice is (",D,0,elementary_mathematics,[-6.628657341003418]
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy? (A) 4 (B) 6 (C) 7 (D) 5. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-6.1139421463012695]
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy? (A) 4 (B) 6 (C) 7 (D) 5. Of the answer choices above, the best answer choice is (",B,0,elementary_mathematics,[-5.9030046463012695]
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy? (A) 4 (B) 6 (C) 7 (D) 5. Of the answer choices above, the best answer choice is (",C,0,elementary_mathematics,[-6.0358171463012695]
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy? (A) 4 (B) 6 (C) 7 (D) 5. Of the answer choices above, the best answer choice is (",D,1,elementary_mathematics,[-6.1998796463012695]
"You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t. (A) 4t = 112; $448 (B) t over 4 = 112; $448 (C) t over 4 = 112; $28 (D) 4t = 112; $28. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-6.700250625610352]
"You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t. (A) 4t = 112; $448 (B) t over 4 = 112; $448 (C) t over 4 = 112; $28 (D) 4t = 112; $28. Of the answer choices above, the best answer choice is (",B,0,elementary_mathematics,[-6.950250625610352]
"You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t. (A) 4t = 112; $448 (B) t over 4 = 112; $448 (C) t over 4 = 112; $28 (D) 4t = 112; $28. Of the answer choices above, the best answer choice is (",C,0,elementary_mathematics,[-6.934625625610352]
"You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t. (A) 4t = 112; $448 (B) t over 4 = 112; $448 (C) t over 4 = 112; $28 (D) 4t = 112; $28. Of the answer choices above, the best answer choice is (",D,1,elementary_mathematics,[-6.739313125610352]
"Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression? (A) 9 (B) 11 (C) 32 (D) 26. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-4.926090240478516]
"Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression? (A) 9 (B) 11 (C) 32 (D) 26. Of the answer choices above, the best answer choice is (",B,0,elementary_mathematics,[-5.590152740478516]
"Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression? (A) 9 (B) 11 (C) 32 (D) 26. Of the answer choices above, the best answer choice is (",C,0,elementary_mathematics,[-6.129215240478516]
"Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression? (A) 9 (B) 11 (C) 32 (D) 26. Of the answer choices above, the best answer choice is (",D,1,elementary_mathematics,[-5.855777740478516]
"Write 1 and 1 over 11 as a whole or mixed number in simplest form. (A) 1.1 over 11 (B) 11 over 11 (C) 12 over 11 (D) 11 over 12. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-4.904319763183594]
"Write 1 and 1 over 11 as a whole or mixed number in simplest form. (A) 1.1 over 11 (B) 11 over 11 (C) 12 over 11 (D) 11 over 12. Of the answer choices above, the best answer choice is (",B,0,elementary_mathematics,[-5.966819763183594]
"Write 1 and 1 over 11 as a whole or mixed number in simplest form. (A) 1.1 over 11 (B) 11 over 11 (C) 12 over 11 (D) 11 over 12. Of the answer choices above, the best answer choice is (",C,1,elementary_mathematics,[-6.271507263183594]
"Write 1 and 1 over 11 as a whole or mixed number in simplest form. (A) 1.1 over 11 (B) 11 over 11 (C) 12 over 11 (D) 11 over 12. Of the answer choices above, the best answer choice is (",D,0,elementary_mathematics,[-6.154319763183594]
"Find the quotient of 2.16 ÷ 0.06. (A) 3.6 (B) 0.01272 (C) 12.72 (D) 36. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-5.859130859375]
"Find the quotient of 2.16 ÷ 0.06. (A) 3.6 (B) 0.01272 (C) 12.72 (D) 36. Of the answer choices above, the best answer choice is (",B,0,elementary_mathematics,[-5.859130859375]
"Find the quotient of 2.16 ÷ 0.06. (A) 3.6 (B) 0.01272 (C) 12.72 (D) 36. Of the answer choices above, the best answer choice is (",C,0,elementary_mathematics,[-6.773193359375]
"Find the quotient of 2.16 ÷ 0.06. (A) 3.6 (B) 0.01272 (C) 12.72 (D) 36. Of the answer choices above, the best answer choice is (",D,1,elementary_mathematics,[-6.929443359375]
"Find the difference of 142.76 – 16.5. (A) 159.26 (B) 126.26 (C) 2.224 (D) 14,111. Of the answer choices above, the best answer choice is (",A,0,elementary_mathematics,[-5.666269302368164]
"Find the difference of 142.76 – 16.5. (A) 159.26 (B) 126.26 (C) 2.224 (D) 14,111. Of the answer choices above, the best answer choice is (",B,1,elementary_mathematics,[-6.502206802368164]
"Find the difference of 142.76 – 16.5. (A) 159.26 (B) 126.26 (C) 2.224 (D) 14,111. Of the answer choices above, the best answer choice is (",C,0,elementary_mathematics,[-6.720956802368164]
"Find the difference of 142.76 – 16.5. (A) 159.26 (B) 126.26 (C) 2.224 (D) 14,111. Of the answer choices above, the best answer choice is (",D,0,elementary_mathematics,[-6.916269302368164]
