preamble,stimulus,is_correct,subject,stimulus_prob
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.592010498046875]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.717010498046875]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-2.467010498046875]
"As of 2016, about what percentage of adults aged 18 years or older were overweight? (A) 10% (B) 20% (C) 40% (D) 80%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.842010498046875]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.3922271728515625]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.7672271728515625]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-3.2672271728515625]
"What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices? (A) About $300 (B) About $8k (C) About $3k (D) About $15k. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.6422271728515625]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-1.2764739990234375]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-1.0264739990234375]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-2.2764739990234375]
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society? (A) 52% (B) 72% (C) 62% (D) 82%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.0264739990234375]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.9755935668945312]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-0.9755935668945312]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-2.2255935668945312]
"Which of the following countries generated the most total energy from solar sources in 2019? (A) United States (B) China (C) Germany (D) Japan. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-3.1005935668945312]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.358428955078125]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.983428955078125]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-3.233428955078125]
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan? (A) by 5 fold (B) by 10 fold (C) by 20 fold (D) by 15 fold. Of the answer choices above, the best answer choice is (",D,1,global_facts,[-2.608428955078125]
"What is the biggest cause of death in children under five years old (as of 2017)? (A) Preterm birth complications (B) Diarrheal diseases (C) Lower respiratory infections (D) Malaria. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.51251220703125]
"What is the biggest cause of death in children under five years old (as of 2017)? (A) Preterm birth complications (B) Diarrheal diseases (C) Lower respiratory infections (D) Malaria. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.26251220703125]
"What is the biggest cause of death in children under five years old (as of 2017)? (A) Preterm birth complications (B) Diarrheal diseases (C) Lower respiratory infections (D) Malaria. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-3.01251220703125]
"What is the biggest cause of death in children under five years old (as of 2017)? (A) Preterm birth complications (B) Diarrheal diseases (C) Lower respiratory infections (D) Malaria. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.51251220703125]
"As of 2019, about what percentage of the global population does not have access to safe drinking water? (A) 10% (B) 20% (C) 40% (D) 30%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.9814682006835938]
"As of 2019, about what percentage of the global population does not have access to safe drinking water? (A) 10% (B) 20% (C) 40% (D) 30%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.9189682006835938]
"As of 2019, about what percentage of the global population does not have access to safe drinking water? (A) 10% (B) 20% (C) 40% (D) 30%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-2.0439682006835938]
"As of 2019, about what percentage of the global population does not have access to safe drinking water? (A) 10% (B) 20% (C) 40% (D) 30%. Of the answer choices above, the best answer choice is (",D,1,global_facts,[-1.6064682006835938]
"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? (A) 29% (B) 69% (C) 49% (D) 89%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.4943389892578125]
"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? (A) 29% (B) 69% (C) 49% (D) 89%. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-2.4943389892578125]
"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? (A) 29% (B) 69% (C) 49% (D) 89%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-3.1193389892578125]
"About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017? (A) 29% (B) 69% (C) 49% (D) 89%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.4943389892578125]
"As of 2017, what fraction of the population in Brazil used the internet in the past three months? (A) 18% (B) 38% (C) 78% (D) 58%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.48529052734375]
"As of 2017, what fraction of the population in Brazil used the internet in the past three months? (A) 18% (B) 38% (C) 78% (D) 58%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.61029052734375]
"As of 2017, what fraction of the population in Brazil used the internet in the past three months? (A) 18% (B) 38% (C) 78% (D) 58%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-3.23529052734375]
"As of 2017, what fraction of the population in Brazil used the internet in the past three months? (A) 18% (B) 38% (C) 78% (D) 58%. Of the answer choices above, the best answer choice is (",D,1,global_facts,[-2.11029052734375]
"As of 2017, what fraction of the population in India used the internet in the past three months? (A) 11% (B) 41% (C) 26% (D) 56%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.5275726318359375]
"As of 2017, what fraction of the population in India used the internet in the past three months? (A) 11% (B) 41% (C) 26% (D) 56%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.5275726318359375]
"As of 2017, what fraction of the population in India used the internet in the past three months? (A) 11% (B) 41% (C) 26% (D) 56%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-3.1525726318359375]
"As of 2017, what fraction of the population in India used the internet in the past three months? (A) 11% (B) 41% (C) 26% (D) 56%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.2775726318359375]
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)? (A) 23% (B) 38% (C) 68% (D) 53%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.722930908203125]
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)? (A) 23% (B) 38% (C) 68% (D) 53%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.222930908203125]
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)? (A) 23% (B) 38% (C) 68% (D) 53%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-2.597930908203125]
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)? (A) 23% (B) 38% (C) 68% (D) 53%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.222930908203125]
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)? (A) 5% (B) 10% (C) 15% (D) 25%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-1.087677001953125]
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)? (A) 5% (B) 10% (C) 15% (D) 25%. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-1.462677001953125]
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)? (A) 5% (B) 10% (C) 15% (D) 25%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-1.837677001953125]
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)? (A) 5% (B) 10% (C) 15% (D) 25%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.962677001953125]
"As of 2020, about what percentage of the world population practices open defecation? (A) 2% (B) 4% (C) 9% (D) 18%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-1.025543212890625]
"As of 2020, about what percentage of the world population practices open defecation? (A) 2% (B) 4% (C) 9% (D) 18%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.775543212890625]
"As of 2020, about what percentage of the world population practices open defecation? (A) 2% (B) 4% (C) 9% (D) 18%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-1.900543212890625]
"As of 2020, about what percentage of the world population practices open defecation? (A) 2% (B) 4% (C) 9% (D) 18%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.650543212890625]
"Which of the following is not an element of the redistribution-with-growth policy approach? (A) land reform (B) progressive taxation (C) minimum wage legislation (D) increased access to education. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.8360824584960938]
"Which of the following is not an element of the redistribution-with-growth policy approach? (A) land reform (B) progressive taxation (C) minimum wage legislation (D) increased access to education. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.0860824584960938]
"Which of the following is not an element of the redistribution-with-growth policy approach? (A) land reform (B) progressive taxation (C) minimum wage legislation (D) increased access to education. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-2.4610824584960938]
"Which of the following is not an element of the redistribution-with-growth policy approach? (A) land reform (B) progressive taxation (C) minimum wage legislation (D) increased access to education. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.4610824584960938]
"About what percentage of the global population was literate in 1950? (A) 36% (B) 76% (C) 96% (D) 56%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.6807174682617188]
"About what percentage of the global population was literate in 1950? (A) 36% (B) 76% (C) 96% (D) 56%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.9932174682617188]
"About what percentage of the global population was literate in 1950? (A) 36% (B) 76% (C) 96% (D) 56%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-2.6807174682617188]
"About what percentage of the global population was literate in 1950? (A) 36% (B) 76% (C) 96% (D) 56%. Of the answer choices above, the best answer choice is (",D,1,global_facts,[-1.8682174682617188]
"As of 2016, about what percentage of adults aged 18 years or older were obese? (A) 6% (B) 13% (C) 27% (D) 46%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.725006103515625]
"As of 2016, about what percentage of adults aged 18 years or older were obese? (A) 6% (B) 13% (C) 27% (D) 46%. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-2.725006103515625]
"As of 2016, about what percentage of adults aged 18 years or older were obese? (A) 6% (B) 13% (C) 27% (D) 46%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-2.225006103515625]
"As of 2016, about what percentage of adults aged 18 years or older were obese? (A) 6% (B) 13% (C) 27% (D) 46%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-1.850006103515625]
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good? (A) 49% (B) 64% (C) 34% (D) 79%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-1.0186614990234375]
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good? (A) 49% (B) 64% (C) 34% (D) 79%. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-1.2686614990234375]
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good? (A) 49% (B) 64% (C) 34% (D) 79%. Of the answer choices above, the best answer choice is (",C,1,global_facts,[-2.1436614990234375]
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good? (A) 49% (B) 64% (C) 34% (D) 79%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.0186614990234375]
"As of 2017, what percentage of Americans live in urban areas? (A) 62% (B) 82% (C) 72% (D) 92%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.7792816162109375]
"As of 2017, what percentage of Americans live in urban areas? (A) 62% (B) 82% (C) 72% (D) 92%. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-1.6542816162109375]
"As of 2017, what percentage of Americans live in urban areas? (A) 62% (B) 82% (C) 72% (D) 92%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-2.4042816162109375]
"As of 2017, what percentage of Americans live in urban areas? (A) 62% (B) 82% (C) 72% (D) 92%. Of the answer choices above, the best answer choice is (",D,0,global_facts,[-2.1542816162109375]
"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices? (A) About $3k (B) About $8k (C) About $30k (D) About $15k. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.317779541015625]
"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices? (A) About $3k (B) About $8k (C) About $30k (D) About $15k. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-2.942779541015625]
"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices? (A) About $3k (B) About $8k (C) About $30k (D) About $15k. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-3.192779541015625]
"What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices? (A) About $3k (B) About $8k (C) About $30k (D) About $15k. Of the answer choices above, the best answer choice is (",D,1,global_facts,[-2.817779541015625]
"In 2016, about how many people in the United States were homeless? (A) 55,000 (B) 5,500,000 (C) 55,000,000 (D) 550,000. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.3240509033203125]
"In 2016, about how many people in the United States were homeless? (A) 55,000 (B) 5,500,000 (C) 55,000,000 (D) 550,000. Of the answer choices above, the best answer choice is (",B,0,global_facts,[-3.4490509033203125]
"In 2016, about how many people in the United States were homeless? (A) 55,000 (B) 5,500,000 (C) 55,000,000 (D) 550,000. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-3.6990509033203125]
"In 2016, about how many people in the United States were homeless? (A) 55,000 (B) 5,500,000 (C) 55,000,000 (D) 550,000. Of the answer choices above, the best answer choice is (",D,1,global_facts,[-2.4490509033203125]
"In 1965 how many Americans thought that sending troops to Vietnam was a mistake? (A) 45% (B) 25% (C) 65% (D) 85%. Of the answer choices above, the best answer choice is (",A,0,global_facts,[-0.5372314453125]
"In 1965 how many Americans thought that sending troops to Vietnam was a mistake? (A) 45% (B) 25% (C) 65% (D) 85%. Of the answer choices above, the best answer choice is (",B,1,global_facts,[-1.9122314453125]
"In 1965 how many Americans thought that sending troops to Vietnam was a mistake? (A) 45% (B) 25% (C) 65% (D) 85%. Of the answer choices above, the best answer choice is (",C,0,global_facts,[-3.0372314453125]
