preamble,stimulus,is_correct,subject,stimulus_prob
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.2300872802734375]
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-1.7300872802734375]
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",C,1,high_school_macroeconomics,[-1.3550872802734375]
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-1.7300872802734375]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only (D) III and IV only. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.062896728515625]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only (D) III and IV only. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-1.875396728515625]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only (D) III and IV only. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-2.437896728515625]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) II and IV only (D) III and IV only. Of the answer choices above, the best answer choice is (",D,1,high_school_macroeconomics,[-1.500396728515625]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Real GDP rises but the change in the price level is uncertain. (C) Both the price level and real GDP rise. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.2859954833984375]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Real GDP rises but the change in the price level is uncertain. (C) Both the price level and real GDP rise. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",B,1,high_school_macroeconomics,[-2.2859954833984375]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Real GDP rises but the change in the price level is uncertain. (C) Both the price level and real GDP rise. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-1.2859954833984375]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Real GDP rises but the change in the price level is uncertain. (C) Both the price level and real GDP rise. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-1.4109954833984375]
"Tariffs and quotas (A) result in lower domestic prices. (B) sometimes raise and sometimes lower the amount of the product sold domestically. (C) raise the amount of the product sold domestically. (D) lower the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-0.7709197998046875]
"Tariffs and quotas (A) result in lower domestic prices. (B) sometimes raise and sometimes lower the amount of the product sold domestically. (C) raise the amount of the product sold domestically. (D) lower the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-1.7709197998046875]
"Tariffs and quotas (A) result in lower domestic prices. (B) sometimes raise and sometimes lower the amount of the product sold domestically. (C) raise the amount of the product sold domestically. (D) lower the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-2.6459197998046875]
"Tariffs and quotas (A) result in lower domestic prices. (B) sometimes raise and sometimes lower the amount of the product sold domestically. (C) raise the amount of the product sold domestically. (D) lower the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",D,1,high_school_macroeconomics,[-1.7709197998046875]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) contractionary monetary policy. (C) a depreciating dollar. (D) fiscal policy designed to reduce the budget deficit.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-0.6691436767578125]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) contractionary monetary policy. (C) a depreciating dollar. (D) fiscal policy designed to reduce the budget deficit.. Of the answer choices above, the best answer choice is (",B,1,high_school_macroeconomics,[-1.8566436767578125]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) contractionary monetary policy. (C) a depreciating dollar. (D) fiscal policy designed to reduce the budget deficit.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-2.4191436767578125]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) contractionary monetary policy. (C) a depreciating dollar. (D) fiscal policy designed to reduce the budget deficit.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-1.7316436767578125]
"Households demand more money as an asset when (A) nominal GDP falls. (B) the nominal interest rate falls. (C) bond prices fall. (D) the supply of money falls.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-0.714599609375]
"Households demand more money as an asset when (A) nominal GDP falls. (B) the nominal interest rate falls. (C) bond prices fall. (D) the supply of money falls.. Of the answer choices above, the best answer choice is (",B,1,high_school_macroeconomics,[-1.339599609375]
"Households demand more money as an asset when (A) nominal GDP falls. (B) the nominal interest rate falls. (C) bond prices fall. (D) the supply of money falls.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-2.839599609375]
"Households demand more money as an asset when (A) nominal GDP falls. (B) the nominal interest rate falls. (C) bond prices fall. (D) the supply of money falls.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-2.152099609375]
"Allocative efficiency (A) means that no inferior products will be produced. (B) implies that the economy's output is distributed evenly. (C) means that those who work hardest will get more. (D) implies that resources are used to produce the goods and services society desires in just the right amounts.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-0.9172515869140625]
"Allocative efficiency (A) means that no inferior products will be produced. (B) implies that the economy's output is distributed evenly. (C) means that those who work hardest will get more. (D) implies that resources are used to produce the goods and services society desires in just the right amounts.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-3.5422515869140625]
"Allocative efficiency (A) means that no inferior products will be produced. (B) implies that the economy's output is distributed evenly. (C) means that those who work hardest will get more. (D) implies that resources are used to produce the goods and services society desires in just the right amounts.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-3.5422515869140625]
"Allocative efficiency (A) means that no inferior products will be produced. (B) implies that the economy's output is distributed evenly. (C) means that those who work hardest will get more. (D) implies that resources are used to produce the goods and services society desires in just the right amounts.. Of the answer choices above, the best answer choice is (",D,1,high_school_macroeconomics,[-0.9172515869140625]
"GDP measures (A) production within a nation's borders. (B) production by a nation's citizens wherever they may be. (C) income earned by the factors of production plus depreciation and indirect business taxes. (D) (A) and (C). Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.07464599609375]
"GDP measures (A) production within a nation's borders. (B) production by a nation's citizens wherever they may be. (C) income earned by the factors of production plus depreciation and indirect business taxes. (D) (A) and (C). Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-2.01214599609375]
"GDP measures (A) production within a nation's borders. (B) production by a nation's citizens wherever they may be. (C) income earned by the factors of production plus depreciation and indirect business taxes. (D) (A) and (C). Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-2.44964599609375]
"GDP measures (A) production within a nation's borders. (B) production by a nation's citizens wherever they may be. (C) income earned by the factors of production plus depreciation and indirect business taxes. (D) (A) and (C). Of the answer choices above, the best answer choice is (",D,1,high_school_macroeconomics,[-0.94964599609375]
"Every choice results in a foregone best alternative which economists call the (A) accounting cost (B) opportunity cost (C) switching cost (D) inferior cost. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.63848876953125]
"Every choice results in a foregone best alternative which economists call the (A) accounting cost (B) opportunity cost (C) switching cost (D) inferior cost. Of the answer choices above, the best answer choice is (",B,1,high_school_macroeconomics,[-0.38848876953125]
"Every choice results in a foregone best alternative which economists call the (A) accounting cost (B) opportunity cost (C) switching cost (D) inferior cost. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-4.01348876953125]
"Every choice results in a foregone best alternative which economists call the (A) accounting cost (B) opportunity cost (C) switching cost (D) inferior cost. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-3.51348876953125]
"When a nation is operating at the natural rate of unemployment (A) the inflation rate is zero. (B) there is no cyclical unemployment. (C) there is no structural unemployment. (D) the nation is experiencing a recession.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-0.43603515625]
"When a nation is operating at the natural rate of unemployment (A) the inflation rate is zero. (B) there is no cyclical unemployment. (C) there is no structural unemployment. (D) the nation is experiencing a recession.. Of the answer choices above, the best answer choice is (",B,1,high_school_macroeconomics,[-1.74853515625]
"When a nation is operating at the natural rate of unemployment (A) the inflation rate is zero. (B) there is no cyclical unemployment. (C) there is no structural unemployment. (D) the nation is experiencing a recession.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-2.87353515625]
"When a nation is operating at the natural rate of unemployment (A) the inflation rate is zero. (B) there is no cyclical unemployment. (C) there is no structural unemployment. (D) the nation is experiencing a recession.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-2.99853515625]
"If a country has a negative value on its current account then it must (A) pay that amount to its trading partners. (B) depreciate its currency. (C) have a positive value of equal magnitude on its capital account. (D) appreciate its currency.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-0.834014892578125]
"If a country has a negative value on its current account then it must (A) pay that amount to its trading partners. (B) depreciate its currency. (C) have a positive value of equal magnitude on its capital account. (D) appreciate its currency.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-2.834014892578125]
"If a country has a negative value on its current account then it must (A) pay that amount to its trading partners. (B) depreciate its currency. (C) have a positive value of equal magnitude on its capital account. (D) appreciate its currency.. Of the answer choices above, the best answer choice is (",C,1,high_school_macroeconomics,[-1.146514892578125]
"If a country has a negative value on its current account then it must (A) pay that amount to its trading partners. (B) depreciate its currency. (C) have a positive value of equal magnitude on its capital account. (D) appreciate its currency.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-2.459014892578125]
"Which of the following transactions would be counted in GDP? (A) The cash you receive from babysitting your neighbor’s kids (B) The sale of illegal drugs (C) The sale of cucumbers to a pickle manufacturer (D) The sale of a pound of tomatoes at a supermarket. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-0.6184234619140625]
