preamble,stimulus,is_correct,subject,stimulus_prob
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Lumpectomy (D) Mammography. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-10.28373908996582]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Lumpectomy (D) Mammography. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-12.40873908996582]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Lumpectomy (D) Mammography. Of the answer choices above, the best answer choice is (",C,0,human_sexuality,[-11.34233283996582]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Lumpectomy (D) Mammography. Of the answer choices above, the best answer choice is (",D,1,human_sexuality,[-6.83842658996582]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) all of the above (C) vary for women depending on the phases of the menstrual cycle (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-6.824094772338867]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) all of the above (C) vary for women depending on the phases of the menstrual cycle (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",B,1,human_sexuality,[-7.808469772338867]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) all of the above (C) vary for women depending on the phases of the menstrual cycle (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",C,0,human_sexuality,[-8.730344772338867]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) all of the above (C) vary for women depending on the phases of the menstrual cycle (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",D,0,human_sexuality,[-8.355344772338867]
"Which of the following is/are true of gonorrhea? (A) has a high risk of infection with a single exposure (B) is asymptomatic (without symptoms) in only a small percentage of those infected (C) infections are limited to genital areas (D) can be treated with antibiotics. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-6.7998199462890625]
"Which of the following is/are true of gonorrhea? (A) has a high risk of infection with a single exposure (B) is asymptomatic (without symptoms) in only a small percentage of those infected (C) infections are limited to genital areas (D) can be treated with antibiotics. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-8.284194946289062]
"Which of the following is/are true of gonorrhea? (A) has a high risk of infection with a single exposure (B) is asymptomatic (without symptoms) in only a small percentage of those infected (C) infections are limited to genital areas (D) can be treated with antibiotics. Of the answer choices above, the best answer choice is (",C,0,human_sexuality,[-8.034194946289062]
