preamble,stimulus,is_correct,subject
"This is a hierarchy of effects or sequential model used to explain how advertising works: (A) ADD. (B) PESTLE. (C) SWOT. (D) AIDA.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,marketing
" _____________is an important element in the communication process. It recognizes that successful communications are more likely to be achieved if the source and the receiver understand each other. (A) Personal selling. (B) Noise. (C) The realm of understanding. (D) Feedback.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,marketing
"In the history of marketing, when did the production period end? (A) In the late 1800s. (B) In the 1920s. (C) In the early 1900s. (D) After the end of the Second World War.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,marketing
"The extent to which a service envelops a product varies according to a number of factors. Which of the following is NOT one of the factors? (A) The level of tangibility associated with the type of product. (B) Variations in supply and demand. (C) The way in which the service is delivered. (D) Performance-value.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,marketing
"The owners of independent gasoline stations in a community meet secretly and agree to keep their prices high to protect their profitability. If their plan is discovered and they are charged with a crime, they could be (A) found guilty under the Magnuson-Moss Warranty Act and face large fines (B) found guilty under the Adamson Act and face prison time and fines (C) found guilty under the Sherman Antitrust Act and face prison time (D) found not guilty because retailers are allowed to set their own price levels. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,marketing
" The term 'marketing mix' describes: (A) A composite analysis of all environmental factors inside and outside the firm. (B) A blending of four strategic elements to satisfy specific target markets. (C) A series of business decisions that aid in selling a product. (D) The relationship between a firm's marketing strengths and its business weaknesses.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,marketing
"__________ have the potential to control the type and flow of information to the organization and the members of the DMU. (A) Buyers. (B) Gatekeepers. (C) Users. (D) Initiators.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,marketing
" An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called: (A) An attitude. (B) A self-concept. (C) Motive development. (D) Product evaluation.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,marketing
" Which of the following is not an element of the marketing mix? (A) Promotion. (B) Product. (C) Pricing. (D) Target market.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,marketing
" Providing free samples of perfumes (scent) in magazines is an example of which of the following? (A) Operant conditioning. (B) Social learning. (C) Classical conditioning. (D) Behavioural learning.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,marketing
"Why is market segmentation carried out? (A) To break down large markets into smaller markets. (B) To provide an opportunity to surpass competitors. (C) To allow the achievement of greater market share. (D) By grouping together customers with similar needs, it provides a commercially viable method of serving these customers.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,marketing
" There are three main types of buying situations in an organization, referred to by Robinson, Faris, and Wind (1967) as _____________. (A) Repeat purchases. (B) Buyphases. (C) Tenders. (D) Buyclasses.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,marketing
"Where the winning bidder obtains an unprofitable contract that he/she is duty bound to deliver because their bid price was set so low, this is known as: (A) Winner's price. (B) Winner's curse. (C) Winner's reward. (D) Loss-leader pricing.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,marketing
"This allows us to determine how the quantity of an offering relates to the price at which it is offered: (A) Price bundling. (B) Price inelasticity. (C) Price inflation. (D) Price elasticity.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,marketing
" ________________ occur(s) where there is no prior history of exchange and no future exchanges are expected between a buyer and seller. (A) Relationship marketing. (B) Service mix. (C) Market exchanges. (D) Service failure.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,marketing
"A method of marketing by electronic mail wherein the recipient of the message has consented to receive it is called: (A) Search marketing. (B) Permission-based email marketing. (C) Internet advertising. (D) Social web marketing.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,marketing
