preamble,stimulus,is_correct,subject
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) not essential to our existence (C) unimportant to most people (D) rarely viewed. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the soul (D) the body. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) a good will (D) happiness. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world (D) not of this world. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"In Aristotle’s terminology, incontinence is when: (A) one does not know that one’s actions are wrong. (B) one knows that one’s feelings are inappropriate, and does not act on them. (C) one knows that one’s actions are wrong, but does them anyway. (D) one does the right action, but for the wrong reason.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Nagel claims that most skeptical arguments: (A) are the result of applying arbitrarily stringent standards. (B) are based on linguistic confusions. (C) grow from the consistent application of ordinary standards. (D) are logically self-refuting.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Rawls conceives of the original contract as one to: (A) enter a particular society. (B) set up a particular form of government. (C) establish the principles of justice for the basic structure of society. (D) establish the content of morality.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"According to Singer, compliance with his principle requires: (A) modest changes to our personal habits, but not to our society as a whole. (B) modest changes to our personal habits, as well as to society. (C) drastic changes to our personal habits, but not to our society. (D) drastic changes to both our personal habits and to our society.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"For Socrates, the soul is harmed by lack of _____. (A) wealth (B) community (C) knowledge (D) courage. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"According to Kant, morality requires us to: (A) perform the action that leads to the greatest total happiness. (B) behave only in such a way as a perfectly virtuous person would behave. (C) act only on maxims that we can will to become universal laws. (D) place the interests of others above the interests of ourselves.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"According to Gauthier, the basis of morality is: (A) maximizing the utility of all sentient beings. (B) God’s commands. (C) the purposive order of nature. (D) the agreement of rational persons choosing the terms of their interaction.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"Anscombe claims that it is not profitable to do moral philosophy until we have an adequate philosophy of: (A) religion. (B) physics. (C) psychology. (D) art.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of: (A) duty. (B) virtue. (C) justice. (D) supererogation.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Berkeley asserts that existing and perceiving are _____. (A) both nonexistent (B) two distinct things (C) imaginary (D) one and the same thing. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____. (A) rational (B) fair (C) artificial (D) constitutional. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"Berkeley believes that sensible things cannot exist except in _____. (A) absolute existence (B) material substance (C) a material universe (D) a mind. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"Singer claims that his argument upsets the traditional distinction between: (A) egoism and altruism. (B) duty and charity. (C) rights and privileges. (D) positive and negative rights.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
" In his discussion of the Divided Line, Plato says that, in contrast to mere belief or opinion, knowledge is a belief for which we give reasons or justifications by appealing: (A) to what our senses reveal to us about how things appear to us, not how they  really are. (B) beyond the Forms to images of goodness, beauty, and truth obtained from particular objects. (C) beyond sense experience to unchanging ideas (Forms) that are perceived as rationally ordered. (D) to what we sincerely believe is true about the Forms based on our experiences in the world.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"What was Clarence Darrow's belief about life's meaning? (A) Life was hard but worthwhile. (B) Life was uncertain but ultimately rewarding. (C) Life was not worthwhile. (D) Life was meaningful for most people.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Stevenson’s primary aim in this paper is to: (A) provide an account of what makes right actions right. (B) establish which things are good in themselves. (C) make ethical questions clear. (D) develop a theory of good moral character.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"According to Moore, we are thinking about good whenever we think about: (A) pleasure. (B) intrinsic value. (C) things that we desire. (D) none of the above.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"Baier argues that genuine moral rules: (A) make take into account the interests of all sentient beings. (B) must take into account the interests of all living beings. (C) must be for the good of human beings. (D) are primarily directed toward promoting self-interest.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Nussbaum claims that to many current ethical theorists, turning to an ethical approach based on the virtues is connected with a turn toward: (A) rationalism. (B) relativism. (C) empiricism. (D) absolutism.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"Philosophy is concerned primarily with identifying beliefs about human existence and evaluating arguments that support those beliefs.  These activities can be summarized in two questions that drive philosophical investigations: (A) why should we bother? and what are the consequences of our believing one thing over another? (B) who really believes X? and how can we explain differences in people's beliefs? (C) how do philosophers argue? and are their differences important? (D) what do you mean? and how do you know?. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"Epictetus claims that things within our power are __________ and things not in our power are __________. (A) free and unhindered; free and unhindered (B) servile and subject to hindrance; free and unhindered (C) servile and subject to hindrance; servile and subject to hindrance (D) free and unhindered; servile and subject to hindrance. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"Hume divides our perceptions into two categories: (A) sensations and emotions. (B) static and dynamic. (C) impressions and ideas. (D) simple and complex.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,philosophy
"Aristotle says  that what makes things be what they are--their essence--does not exist apart from individ-uals that exist in the world.  So if all the members of a species were destroyed, then their essence or form: (A) would be destroyed only if there were no one around to remember the species. (B) would continue existing (as with Plato's Forms) in some other realm of being. (C) would not be destroyed because there was no essence or form originally to be destroyed; there are only individuals, not universal essences or natures of things. (D) would likewise be destroyed.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not? (A) Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living. (B) Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated. (C) Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not. (D) Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"There is no rationale for myth because it is through myth that reason itself is defined.""  This means that: (A) mythos is ultimately based on logos, just as myth is ultimately based on reasoning or thinking. (B) myth does not ""explain"" how things are related as much as it simply reveals them as related. (C) metaphysicians are justified in reasoning as they do because there is only one true answer about being. (D) myth and reason are the same: ""myth"" defines ""reason,"" and ""reason"" defines ""myth."". Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"According to Epicurus, a law is unjust when: (A) it is not in accordance with natural law. (B) it is not beneficial to those it affects. (C) it is not in accordance with the traditions of society. (D) it is offensive to the gods.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"Leo Tolstoy says that art is _____. (A) form (B) representation (C) abstract (D) expression. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"Aquinas holds that the last end of man is: (A) pleasure. (B) happiness or beatitude. (C) the satisfaction of desire. (D) freedom from anxiety.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,philosophy
"According to Kant, the supreme principle of morality is: (A) analytic and a priori. (B) analytic and a posteriori. (C) synthetic and a posteriori. (D) synthetic and a priori.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
"Epicurus claims that all other virtues spring from: (A) temperance. (B) justice. (C) courage. (D) prudence.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,philosophy
