preamble,stimulus,is_correct,subject,stimulus_prob
"You bought a limousine for $98,000 and are planning to rent it for weddings, ceremonies and parties at $245 per hour. If you estimate the car will be hired for 2 hours a day on average, with daily costs at about $50, what is the estimated yearly yield on your investment if you work all year round, i.e. every day of the year, including any festivities and weekends? (A) 1.64% (B) 0.45% (C) 183% (D) 164%. Of the answer choices above, the best answer choice is (",A,0,professional_accounting,[-1.0208930969238281]
"You bought a limousine for $98,000 and are planning to rent it for weddings, ceremonies and parties at $245 per hour. If you estimate the car will be hired for 2 hours a day on average, with daily costs at about $50, what is the estimated yearly yield on your investment if you work all year round, i.e. every day of the year, including any festivities and weekends? (A) 1.64% (B) 0.45% (C) 183% (D) 164%. Of the answer choices above, the best answer choice is (",B,0,professional_accounting,[-1.2240180969238281]
"You bought a limousine for $98,000 and are planning to rent it for weddings, ceremonies and parties at $245 per hour. If you estimate the car will be hired for 2 hours a day on average, with daily costs at about $50, what is the estimated yearly yield on your investment if you work all year round, i.e. every day of the year, including any festivities and weekends? (A) 1.64% (B) 0.45% (C) 183% (D) 164%. Of the answer choices above, the best answer choice is (",C,0,professional_accounting,[-2.005268096923828]
"You bought a limousine for $98,000 and are planning to rent it for weddings, ceremonies and parties at $245 per hour. If you estimate the car will be hired for 2 hours a day on average, with daily costs at about $50, what is the estimated yearly yield on your investment if you work all year round, i.e. every day of the year, including any festivities and weekends? (A) 1.64% (B) 0.45% (C) 183% (D) 164%. Of the answer choices above, the best answer choice is (",D,1,professional_accounting,[-1.6927680969238281]
"Arno Co. did not record a credit purchase of merchandise made prior to year end. However the merchandise was correctly included in the year-end physical inventory. What effect did the omission of reporting the purchase of merchandise have on Arno's balance sheet at year end? Assets Liabilities (A) No effect No effect (B) Understated No effect (C) No effect Understated (D) Understated Understated. Of the answer choices above, the best answer choice is (",A,0,professional_accounting,[-1.6278667449951172]
"Arno Co. did not record a credit purchase of merchandise made prior to year end. However the merchandise was correctly included in the year-end physical inventory. What effect did the omission of reporting the purchase of merchandise have on Arno's balance sheet at year end? Assets Liabilities (A) No effect No effect (B) Understated No effect (C) No effect Understated (D) Understated Understated. Of the answer choices above, the best answer choice is (",B,0,professional_accounting,[-1.7684917449951172]
"Arno Co. did not record a credit purchase of merchandise made prior to year end. However the merchandise was correctly included in the year-end physical inventory. What effect did the omission of reporting the purchase of merchandise have on Arno's balance sheet at year end? Assets Liabilities (A) No effect No effect (B) Understated No effect (C) No effect Understated (D) Understated Understated. Of the answer choices above, the best answer choice is (",C,1,professional_accounting,[-1.7059917449951172]
"Arno Co. did not record a credit purchase of merchandise made prior to year end. However the merchandise was correctly included in the year-end physical inventory. What effect did the omission of reporting the purchase of merchandise have on Arno's balance sheet at year end? Assets Liabilities (A) No effect No effect (B) Understated No effect (C) No effect Understated (D) Understated Understated. Of the answer choices above, the best answer choice is (",D,0,professional_accounting,[-1.0653667449951172]
"Which of the following statements about audit sampling risks is correct for a nonissuer? (A) Nonsampling risk arises from the possibility that, when a substantive test is restricted to a sample, conclusions might be different than if the auditor had tested each item in the population. (B) Nonsampling risk can arise because an auditor failed to recognize misstatements. (C) Sampling risk is derived from the uncertainty in applying audit procedures to specific risks. (D) Sampling risk includes the possibility of selecting audit procedures that are not appropriate to achieve the specific objective.. Of the answer choices above, the best answer choice is (",A,0,professional_accounting,[-0.8642425537109375]
"Which of the following statements about audit sampling risks is correct for a nonissuer? (A) Nonsampling risk arises from the possibility that, when a substantive test is restricted to a sample, conclusions might be different than if the auditor had tested each item in the population. (B) Nonsampling risk can arise because an auditor failed to recognize misstatements. (C) Sampling risk is derived from the uncertainty in applying audit procedures to specific risks. (D) Sampling risk includes the possibility of selecting audit procedures that are not appropriate to achieve the specific objective.. Of the answer choices above, the best answer choice is (",B,1,professional_accounting,[-1.5517425537109375]
