preamble,stimulus,is_correct,subject,stimulus_prob
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-13.957647323608398]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-13.957647323608398]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-13.957647323608398]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) the uneven electron-to-proton ratio found on individual atoms of a molecule (C) the electronegativity differences between the different atoms in a molecule (D) temporary dipoles created by the position of electrons around the nuclei in a molecule. Of the answer choices above, answer (D) is the",best,1,high_school_chemistry,[-13.957647323608398]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-16.577232360839844]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-16.577232360839844]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (C) is the",best,1,high_school_chemistry,[-16.577232360839844]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 86 pm, 898 kJ/mol (B) 135 pm, 523 kJ/mol (C) 70 pm, 1402 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-16.577232360839844]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) covalent network bonding (B) ionic bonding (C) nonpolar covalent bonding (D) metallic bonding. Of the answer choices above, answer (A) is the",best,1,high_school_chemistry,[-22.260318756103516]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) covalent network bonding (B) ionic bonding (C) nonpolar covalent bonding (D) metallic bonding. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-22.260318756103516]
