preamble,stimulus,is_correct,subject,stimulus_prob
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) government activity. (C) a well-connected transportation infrastructure. (D) a banking service.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.1186981201171875]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) government activity. (C) a well-connected transportation infrastructure. (D) a banking service.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.0915870666503906]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) government activity. (C) a well-connected transportation infrastructure. (D) a banking service.. Of the answer choices above, answer (C) is the",best,1,high_school_geography,[-1.044118881225586]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a currency. (B) government activity. (C) a well-connected transportation infrastructure. (D) a banking service.. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.1066398620605469]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) demographic momentum. (B) zero population growth. (C) rapid growth rate. (D) homeostatic plateau.. Of the answer choices above, answer (A) is the",best,1,high_school_geography,[-1.091268539428711]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) demographic momentum. (B) zero population growth. (C) rapid growth rate. (D) homeostatic plateau.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.306640625]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) demographic momentum. (B) zero population growth. (C) rapid growth rate. (D) homeostatic plateau.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.2288761138916016]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) demographic momentum. (B) zero population growth. (C) rapid growth rate. (D) homeostatic plateau.. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.2361068725585938]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) migration selectivity. (D) distance decay.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.1378860473632812]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) migration selectivity. (D) distance decay.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.1496696472167969]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) migration selectivity. (D) distance decay.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.103994369506836]
"The tendency for migration to decrease with distance is called (A) push factors. (B) pull factors. (C) migration selectivity. (D) distance decay.. Of the answer choices above, answer (D) is the",best,1,high_school_geography,[-1.170034408569336]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) Second (B) Third (C) Fourth (D) First. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.2748355865478516]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) Second (B) Third (C) Fourth (D) First. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.2427101135253906]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) Second (B) Third (C) Fourth (D) First. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.2566719055175781]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) Second (B) Third (C) Fourth (D) First. Of the answer choices above, answer (D) is the",best,1,high_school_geography,[-1.3580360412597656]
"Which of the following statements is TRUE concerning women in the labor force? (A) Most women work in agriculture (B) The percentage of women economically active in the labor force declined worldwide (C) The percentage of women in the total labor force declined (D) Women spend more hours per day working than men in all regions except Anglo America and Australia. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.5959644317626953]
"Which of the following statements is TRUE concerning women in the labor force? (A) Most women work in agriculture (B) The percentage of women economically active in the labor force declined worldwide (C) The percentage of women in the total labor force declined (D) Women spend more hours per day working than men in all regions except Anglo America and Australia. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.5887317657470703]
