preamble,stimulus,is_correct,subject,stimulus_prob
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) All States enjoy such jurisdiction (C) The flag State (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (A) is the",best,0,international_law,[-15.963415145874023]
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) All States enjoy such jurisdiction (C) The flag State (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (B) is the",best,0,international_law,[-16.047361373901367]
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) All States enjoy such jurisdiction (C) The flag State (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (C) is the",best,1,international_law,[-16.04248046875]
"Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels? (A) The coastal State (B) All States enjoy such jurisdiction (C) The flag State (D) The International Tribunal for the Law of the Sea. Of the answer choices above, answer (D) is the",best,0,international_law,[-16.06688690185547]
"What is the meaning of justiciability? (A) Justiciability refers to the just nature or cause of a particular right (B) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice (C) Justiciability refers to the obligation of a State to enforce a particular Right (D) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders. Of the answer choices above, answer (A) is the",best,0,international_law,[-12.675020217895508]
"What is the meaning of justiciability? (A) Justiciability refers to the just nature or cause of a particular right (B) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice (C) Justiciability refers to the obligation of a State to enforce a particular Right (D) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders. Of the answer choices above, answer (B) is the",best,0,international_law,[-12.675020217895508]
"What is the meaning of justiciability? (A) Justiciability refers to the just nature or cause of a particular right (B) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice (C) Justiciability refers to the obligation of a State to enforce a particular Right (D) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders. Of the answer choices above, answer (C) is the",best,0,international_law,[-12.675020217895508]
"What is the meaning of justiciability? (A) Justiciability refers to the just nature or cause of a particular right (B) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice (C) Justiciability refers to the obligation of a State to enforce a particular Right (D) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders. Of the answer choices above, answer (D) is the",best,1,international_law,[-12.675020217895508]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis (B) R2P is essentially the same as humanitarian intervention (C) R2P requires a call for assistance by the State in distress (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (A) is the",best,1,international_law,[-21.091712951660156]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis (B) R2P is essentially the same as humanitarian intervention (C) R2P requires a call for assistance by the State in distress (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (B) is the",best,0,international_law,[-21.091712951660156]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis (B) R2P is essentially the same as humanitarian intervention (C) R2P requires a call for assistance by the State in distress (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (C) is the",best,0,international_law,[-21.091712951660156]
"In what way is Responsibility to Protect (R2P) different from humanitarian intervention? (A) R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis (B) R2P is essentially the same as humanitarian intervention (C) R2P requires a call for assistance by the State in distress (D) R2P always involves armed force, whereas humanitarian intervention does not. Of the answer choices above, answer (D) is the",best,0,international_law,[-21.091712951660156]
"What is the 'Lotus principle'? (A) The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes (B) The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas (C) The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris (D) The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'. Of the answer choices above, answer (A) is the",best,0,international_law,[-2.905698776245117]
"What is the 'Lotus principle'? (A) The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes (B) The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas (C) The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris (D) The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'. Of the answer choices above, answer (B) is the",best,0,international_law,[-2.9420652389526367]
