preamble,stimulus,is_correct,subject,stimulus_prob
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in young galaxies. (B) This type produces gamma-ray bursts. (C) This type produces high amounts of X-rays. (D) This type occurs in binary systems.. Of the answer choices above, the best answer choice is (",A,0,astronomy,[-1.3918323516845703]
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in young galaxies. (B) This type produces gamma-ray bursts. (C) This type produces high amounts of X-rays. (D) This type occurs in binary systems.. Of the answer choices above, the best answer choice is (",B,0,astronomy,[-1.4074573516845703]
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in young galaxies. (B) This type produces gamma-ray bursts. (C) This type produces high amounts of X-rays. (D) This type occurs in binary systems.. Of the answer choices above, the best answer choice is (",C,0,astronomy,[-1.2824573516845703]
"What is true for a type-Ia (""type one-a"") supernova? (A) This type occurs in young galaxies. (B) This type produces gamma-ray bursts. (C) This type produces high amounts of X-rays. (D) This type occurs in binary systems.. Of the answer choices above, the best answer choice is (",D,1,astronomy,[-1.6105823516845703]
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its distance from you (D) Its size. Of the answer choices above, the best answer choice is (",A,0,astronomy,[-1.4791069030761719]
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its distance from you (D) Its size. Of the answer choices above, the best answer choice is (",B,0,astronomy,[-1.6509819030761719]
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its distance from you (D) Its size. Of the answer choices above, the best answer choice is (",C,1,astronomy,[-1.0416069030761719]
"If you know both the actual brightness of an object and its apparent brightness from your location then with no other information you can estimate: (A) Its speed relative to you (B) Its composition (C) Its distance from you (D) Its size. Of the answer choices above, the best answer choice is (",D,0,astronomy,[-1.5416069030761719]
"Why is the sky blue? (A) Because the atmosphere preferentially scatters short wavelengths. (B) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (C) Because the sky reflects the color of the Earth's oceans. (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, the best answer choice is (",A,1,astronomy,[-0.38106727600097656]
"Why is the sky blue? (A) Because the atmosphere preferentially scatters short wavelengths. (B) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (C) Because the sky reflects the color of the Earth's oceans. (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, the best answer choice is (",B,0,astronomy,[-1.9123172760009766]
"Why is the sky blue? (A) Because the atmosphere preferentially scatters short wavelengths. (B) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (C) Because the sky reflects the color of the Earth's oceans. (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, the best answer choice is (",C,0,astronomy,[-2.4748172760009766]
"Why is the sky blue? (A) Because the atmosphere preferentially scatters short wavelengths. (B) Because the molecules that compose the Earth's atmosphere have a blue-ish color. (C) Because the sky reflects the color of the Earth's oceans. (D) Because the Earth's atmosphere preferentially absorbs all other colors.. Of the answer choices above, the best answer choice is (",D,0,astronomy,[-2.8029422760009766]
"You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct? (A) You can never prove your theory to be correct only “yet to be proven wrong”. (B) The first time you drop a bowling ball and it falls to the ground proving your hypothesis. (C) After you’ve repeated your experiment many times. (D) When you and many others have tested the hypothesis.. Of the answer choices above, the best answer choice is (",A,1,astronomy,[-2.4266929626464844]
"You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct? (A) You can never prove your theory to be correct only “yet to be proven wrong”. (B) The first time you drop a bowling ball and it falls to the ground proving your hypothesis. (C) After you’ve repeated your experiment many times. (D) When you and many others have tested the hypothesis.. Of the answer choices above, the best answer choice is (",B,0,astronomy,[-2.4423179626464844]
"You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct? (A) You can never prove your theory to be correct only “yet to be proven wrong”. (B) The first time you drop a bowling ball and it falls to the ground proving your hypothesis. (C) After you’ve repeated your experiment many times. (D) When you and many others have tested the hypothesis.. Of the answer choices above, the best answer choice is (",C,0,astronomy,[-0.4423179626464844]
"You’ve made a scientific theory that there is an attractive force between all objects. When will your theory be proven to be correct? (A) You can never prove your theory to be correct only “yet to be proven wrong”. (B) The first time you drop a bowling ball and it falls to the ground proving your hypothesis. (C) After you’ve repeated your experiment many times. (D) When you and many others have tested the hypothesis.. Of the answer choices above, the best answer choice is (",D,0,astronomy,[-1.8641929626464844]
"Which of the following is/are true? (A) Titan is the only outer solar system moon with a thick atmosphere (B) Titan is the only outer solar system moon with evidence for recent geologic activity (C) A and D (D) Titan's atmosphere is composed mostly of hydrocarbons. Of the answer choices above, the best answer choice is (",A,0,astronomy,[-1.7309722900390625]
"Which of the following is/are true? (A) Titan is the only outer solar system moon with a thick atmosphere (B) Titan is the only outer solar system moon with evidence for recent geologic activity (C) A and D (D) Titan's atmosphere is composed mostly of hydrocarbons. Of the answer choices above, the best answer choice is (",B,0,astronomy,[-1.9965972900390625]
"Which of the following is/are true? (A) Titan is the only outer solar system moon with a thick atmosphere (B) Titan is the only outer solar system moon with evidence for recent geologic activity (C) A and D (D) Titan's atmosphere is composed mostly of hydrocarbons. Of the answer choices above, the best answer choice is (",C,1,astronomy,[-0.9497222900390625]
"Which of the following is/are true? (A) Titan is the only outer solar system moon with a thick atmosphere (B) Titan is the only outer solar system moon with evidence for recent geologic activity (C) A and D (D) Titan's atmosphere is composed mostly of hydrocarbons. Of the answer choices above, the best answer choice is (",D,0,astronomy,[-1.2778472900390625]
"A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact? (A) m*v (B) 0.5*m/(R^3) (C) 0.5*m*(2GM/R) (D) 0.6*G(M^2)/R. Of the answer choices above, the best answer choice is (",A,0,astronomy,[-2.0617713928222656]
"A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact? (A) m*v (B) 0.5*m/(R^3) (C) 0.5*m*(2GM/R) (D) 0.6*G(M^2)/R. Of the answer choices above, the best answer choice is (",B,0,astronomy,[-1.3742713928222656]
"A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact? (A) m*v (B) 0.5*m/(R^3) (C) 0.5*m*(2GM/R) (D) 0.6*G(M^2)/R. Of the answer choices above, the best answer choice is (",C,1,astronomy,[-1.0148963928222656]
"A comet of mass m impacts the earth (mass M radius R) at the minimum impact speed. What is the expression for the total energy released in the impact? (A) m*v (B) 0.5*m/(R^3) (C) 0.5*m*(2GM/R) (D) 0.6*G(M^2)/R. Of the answer choices above, the best answer choice is (",D,0,astronomy,[-1.4367713928222656]
