preamble,stimulus,is_correct,subject,stimulus_prob
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) increase the mortality rate (D) reduce the carrying capacity cif the environment to lower the K value. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-1.2634124755859375]
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) increase the mortality rate (D) reduce the carrying capacity cif the environment to lower the K value. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-2.9509124755859375]
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) increase the mortality rate (D) reduce the carrying capacity cif the environment to lower the K value. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-1.7009124755859375]
"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to (A) maintain the population at a point corresponding to the midpoint of its logistic curve (B) opt for zero population control once the K value of the curve has been reached (C) increase the mortality rate (D) reduce the carrying capacity cif the environment to lower the K value. Of the answer choices above, the best answer choice is (",D,1,college_biology,[-1.0134124755859375]
"A frameshift mutation is created when (A) a base pair is either inserted or deleted in a gene (B) telomeric sequences are removed from DNA (C) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, the best answer choice is (",A,1,college_biology,[-0.19644927978515625]
"A frameshift mutation is created when (A) a base pair is either inserted or deleted in a gene (B) telomeric sequences are removed from DNA (C) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-2.8839492797851562]
"A frameshift mutation is created when (A) a base pair is either inserted or deleted in a gene (B) telomeric sequences are removed from DNA (C) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-3.6339492797851562]
"A frameshift mutation is created when (A) a base pair is either inserted or deleted in a gene (B) telomeric sequences are removed from DNA (C) a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one (D) a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation. Of the answer choices above, the best answer choice is (",D,0,college_biology,[-3.3214492797851562]
"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the (A) chorion (B) allantois (C) yolk sac (D) amnion. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-0.6994857788085938]
"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the (A) chorion (B) allantois (C) yolk sac (D) amnion. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-3.6994857788085938]
"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the (A) chorion (B) allantois (C) yolk sac (D) amnion. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-3.3244857788085938]
"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the (A) chorion (B) allantois (C) yolk sac (D) amnion. Of the answer choices above, the best answer choice is (",D,1,college_biology,[-1.0744857788085938]
"Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm? (A) Prostaglandins (B) Cyclic AMP (C) Calmodulin (D) Inositol triphosphate. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-1.9293975830078125]
"Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm? (A) Prostaglandins (B) Cyclic AMP (C) Calmodulin (D) Inositol triphosphate. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-1.8043975830078125]
"Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm? (A) Prostaglandins (B) Cyclic AMP (C) Calmodulin (D) Inositol triphosphate. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-1.4293975830078125]
"Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm? (A) Prostaglandins (B) Cyclic AMP (C) Calmodulin (D) Inositol triphosphate. Of the answer choices above, the best answer choice is (",D,1,college_biology,[-1.1793975830078125]
"Synthesis of an RNA/DNA hybrid from a single-stranded RNA template requires (A) a DNA or RNA primer and reverse transcriptase (B) a DNA or RNA primer and DNA polymerase (C) RNase only (D) reverse transcriptase only. Of the answer choices above, the best answer choice is (",A,1,college_biology,[-0.146942138671875]
"Synthesis of an RNA/DNA hybrid from a single-stranded RNA template requires (A) a DNA or RNA primer and reverse transcriptase (B) a DNA or RNA primer and DNA polymerase (C) RNase only (D) reverse transcriptase only. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-3.271942138671875]
"Synthesis of an RNA/DNA hybrid from a single-stranded RNA template requires (A) a DNA or RNA primer and reverse transcriptase (B) a DNA or RNA primer and DNA polymerase (C) RNase only (D) reverse transcriptase only. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-3.896942138671875]
"Synthesis of an RNA/DNA hybrid from a single-stranded RNA template requires (A) a DNA or RNA primer and reverse transcriptase (B) a DNA or RNA primer and DNA polymerase (C) RNase only (D) reverse transcriptase only. Of the answer choices above, the best answer choice is (",D,0,college_biology,[-4.396942138671875]
"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT: (A) Population size is large. (B) Natural selection does not take place. (C) Genes are exchanged with other populations. (D) Matings are random.. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-1.2946624755859375]
"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT: (A) Population size is large. (B) Natural selection does not take place. (C) Genes are exchanged with other populations. (D) Matings are random.. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-1.2946624755859375]
"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT: (A) Population size is large. (B) Natural selection does not take place. (C) Genes are exchanged with other populations. (D) Matings are random.. Of the answer choices above, the best answer choice is (",C,1,college_biology,[-1.7321624755859375]
"In order for the Hardy-Weinberg law to operate with respect to a population of organisms, each of the following conditions must be met EXCEPT: (A) Population size is large. (B) Natural selection does not take place. (C) Genes are exchanged with other populations. (D) Matings are random.. Of the answer choices above, the best answer choice is (",D,0,college_biology,[-1.7321624755859375]
"The Barr body found within female mammalian cells' nuclei is an example of (A) euchromatin (B) a cistron (C) pseudogenes (D) heterochromatin. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-0.9553451538085938]
"The Barr body found within female mammalian cells' nuclei is an example of (A) euchromatin (B) a cistron (C) pseudogenes (D) heterochromatin. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-2.8303451538085938]
"The Barr body found within female mammalian cells' nuclei is an example of (A) euchromatin (B) a cistron (C) pseudogenes (D) heterochromatin. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-2.7678451538085938]
"The Barr body found within female mammalian cells' nuclei is an example of (A) euchromatin (B) a cistron (C) pseudogenes (D) heterochromatin. Of the answer choices above, the best answer choice is (",D,1,college_biology,[-0.9553451538085938]
"Which of the following is NOT a source of atmospheric carbon? (A) Respiration (B) Bacterial decomposition (C) Photosynthesis (D) Combustion of fossil fuels. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-1.1581878662109375]
"Which of the following is NOT a source of atmospheric carbon? (A) Respiration (B) Bacterial decomposition (C) Photosynthesis (D) Combustion of fossil fuels. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-2.2206878662109375]
"Which of the following is NOT a source of atmospheric carbon? (A) Respiration (B) Bacterial decomposition (C) Photosynthesis (D) Combustion of fossil fuels. Of the answer choices above, the best answer choice is (",C,1,college_biology,[-2.0331878662109375]
"Which of the following is NOT a source of atmospheric carbon? (A) Respiration (B) Bacterial decomposition (C) Photosynthesis (D) Combustion of fossil fuels. Of the answer choices above, the best answer choice is (",D,0,college_biology,[-1.0956878662109375]
"The concept of punctuated equilibrium refers to (A) bursts of speciation followed by relatively unchanging lineages (B) oscillating ecological successional stages (C) ecological succession arrested by sudden environmental changes, e.g., fire (D) persistent predator-prey relationships in relatively stable environments. Of the answer choices above, the best answer choice is (",A,1,college_biology,[-0.120849609375]
"The concept of punctuated equilibrium refers to (A) bursts of speciation followed by relatively unchanging lineages (B) oscillating ecological successional stages (C) ecological succession arrested by sudden environmental changes, e.g., fire (D) persistent predator-prey relationships in relatively stable environments. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-3.933349609375]
"The concept of punctuated equilibrium refers to (A) bursts of speciation followed by relatively unchanging lineages (B) oscillating ecological successional stages (C) ecological succession arrested by sudden environmental changes, e.g., fire (D) persistent predator-prey relationships in relatively stable environments. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-3.995849609375]
"The concept of punctuated equilibrium refers to (A) bursts of speciation followed by relatively unchanging lineages (B) oscillating ecological successional stages (C) ecological succession arrested by sudden environmental changes, e.g., fire (D) persistent predator-prey relationships in relatively stable environments. Of the answer choices above, the best answer choice is (",D,0,college_biology,[-4.183349609375]
"When an influenza virus enters a cell, it immediately starts to do which of the following? (A) Incorporate viral DNA into the host cell’s chromosome (B) Destroy the host cell’s transcriptional machinery (C) Use a viral copy of reverse transcriptase to manufacture viral DNA (D) Replicate its genetic material and synthesize viral proteins. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-0.64776611328125]
"When an influenza virus enters a cell, it immediately starts to do which of the following? (A) Incorporate viral DNA into the host cell’s chromosome (B) Destroy the host cell’s transcriptional machinery (C) Use a viral copy of reverse transcriptase to manufacture viral DNA (D) Replicate its genetic material and synthesize viral proteins. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-3.64776611328125]
"When an influenza virus enters a cell, it immediately starts to do which of the following? (A) Incorporate viral DNA into the host cell’s chromosome (B) Destroy the host cell’s transcriptional machinery (C) Use a viral copy of reverse transcriptase to manufacture viral DNA (D) Replicate its genetic material and synthesize viral proteins. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-3.39776611328125]
"When an influenza virus enters a cell, it immediately starts to do which of the following? (A) Incorporate viral DNA into the host cell’s chromosome (B) Destroy the host cell’s transcriptional machinery (C) Use a viral copy of reverse transcriptase to manufacture viral DNA (D) Replicate its genetic material and synthesize viral proteins. Of the answer choices above, the best answer choice is (",D,1,college_biology,[-1.21026611328125]
"Cleavage symmetry arising from early cell divisions that occur at an oblique angle to the polar axis is known as (A) spiral cleavage (B) meroblastic cleavage (C) radial cleavage (D) superficial cleavage. Of the answer choices above, the best answer choice is (",A,1,college_biology,[-0.263519287109375]
"Cleavage symmetry arising from early cell divisions that occur at an oblique angle to the polar axis is known as (A) spiral cleavage (B) meroblastic cleavage (C) radial cleavage (D) superficial cleavage. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-2.638519287109375]
"Cleavage symmetry arising from early cell divisions that occur at an oblique angle to the polar axis is known as (A) spiral cleavage (B) meroblastic cleavage (C) radial cleavage (D) superficial cleavage. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-2.888519287109375]
"Cleavage symmetry arising from early cell divisions that occur at an oblique angle to the polar axis is known as (A) spiral cleavage (B) meroblastic cleavage (C) radial cleavage (D) superficial cleavage. Of the answer choices above, the best answer choice is (",D,0,college_biology,[-3.513519287109375]
"Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations? (A) Plasma membrane (B) Lysosome (C) Cytosol (D) Chloroplast. Of the answer choices above, the best answer choice is (",A,0,college_biology,[-0.8551788330078125]
"Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations? (A) Plasma membrane (B) Lysosome (C) Cytosol (D) Chloroplast. Of the answer choices above, the best answer choice is (",B,0,college_biology,[-1.4801788330078125]
"Targeting of a newly synthesized protein is most likely to require two different signal peptides for which of the following destinations? (A) Plasma membrane (B) Lysosome (C) Cytosol (D) Chloroplast. Of the answer choices above, the best answer choice is (",C,0,college_biology,[-1.9801788330078125]
