preamble,stimulus,is_correct,subject,stimulus_prob
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, the best answer choice is (",A,0,college_computer_science,[-0.166412353515625]
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, the best answer choice is (",B,0,college_computer_science,[-4.291412353515625]
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, the best answer choice is (",C,0,college_computer_science,[-3.666412353515625]
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, the best answer choice is (",D,1,college_computer_science,[-3.791412353515625]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, the best answer choice is (",A,0,college_computer_science,[-0.519287109375]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, the best answer choice is (",B,0,college_computer_science,[-2.769287109375]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, the best answer choice is (",C,1,college_computer_science,[-2.769287109375]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}. Of the answer choices above, the best answer choice is (",D,0,college_computer_science,[-2.019287109375]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:3.5 (B) 1:4 (C) 1:1 (D) 1.1:1. Of the answer choices above, the best answer choice is (",A,1,college_computer_science,[-0.436614990234375]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:3.5 (B) 1:4 (C) 1:1 (D) 1.1:1. Of the answer choices above, the best answer choice is (",B,0,college_computer_science,[-2.686614990234375]
