preamble,stimulus,is_correct,subject,stimulus_prob
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",A,1,high_school_biology,[-0.0630950927734375]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-4.5240325927734375]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-5.3912200927734375]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-3.8599700927734375]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-1.3043022155761719]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-1.2574272155761719]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-1.3199272155761719]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, the best answer choice is (",D,1,high_school_biology,[-1.8980522155761719]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) make glucose (C) make NADH (D) produce ATP. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-1.6598167419433594]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) make glucose (C) make NADH (D) produce ATP. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-3.4410667419433594]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) make glucose (C) make NADH (D) produce ATP. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-1.8473167419433594]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) make glucose (C) make NADH (D) produce ATP. Of the answer choices above, the best answer choice is (",D,1,high_school_biology,[-0.5816917419433594]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) oxygen (D) methane. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-3.7968482971191406]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) oxygen (D) methane. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-2.7187232971191406]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) oxygen (D) methane. Of the answer choices above, the best answer choice is (",C,1,high_school_biology,[-0.4062232971191406]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) oxygen (D) methane. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-1.6718482971191406]
"Convergent evolution is best exemplified by which of the following? (A) The pectoral fins of fish and the front legs of cats (B) The presence of a notochord in all chordate embryos (C) The leaves of an oak tree and the spines of a cactus (D) The wings of an insect and the wings of a bird. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-1.268697738647461]
"Convergent evolution is best exemplified by which of the following? (A) The pectoral fins of fish and the front legs of cats (B) The presence of a notochord in all chordate embryos (C) The leaves of an oak tree and the spines of a cactus (D) The wings of an insect and the wings of a bird. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-2.987447738647461]
"Convergent evolution is best exemplified by which of the following? (A) The pectoral fins of fish and the front legs of cats (B) The presence of a notochord in all chordate embryos (C) The leaves of an oak tree and the spines of a cactus (D) The wings of an insect and the wings of a bird. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.268697738647461]
"Convergent evolution is best exemplified by which of the following? (A) The pectoral fins of fish and the front legs of cats (B) The presence of a notochord in all chordate embryos (C) The leaves of an oak tree and the spines of a cactus (D) The wings of an insect and the wings of a bird. Of the answer choices above, the best answer choice is (",D,1,high_school_biology,[-0.6436977386474609]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) longitudinal section of a shoot tip (D) cross section of a leaf. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-3.9035682678222656]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) longitudinal section of a shoot tip (D) cross section of a leaf. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-0.3879432678222656]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) longitudinal section of a shoot tip (D) cross section of a leaf. Of the answer choices above, the best answer choice is (",C,1,high_school_biology,[-1.9035682678222656]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) longitudinal section of a shoot tip (D) cross section of a leaf. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-2.1535682678222656]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-3.5363903045654297]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-4.98951530456543]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-4.36451530456543]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",D,1,high_school_biology,[-0.06764030456542969]
"Two unrelated species evolve in a way that makes them more similar. (A) Convergent evolution (B) Divergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",A,1,high_school_biology,[-1.3850574493408203]
"Two unrelated species evolve in a way that makes them more similar. (A) Convergent evolution (B) Divergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-2.0413074493408203]
"Two unrelated species evolve in a way that makes them more similar. (A) Convergent evolution (B) Divergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-0.8538074493408203]
"Two unrelated species evolve in a way that makes them more similar. (A) Convergent evolution (B) Divergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-1.9006824493408203]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (B) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (C) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-2.5026397705078125]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (B) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (C) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-2.3932647705078125]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (B) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (C) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",C,1,high_school_biology,[-0.5651397705078125]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (B) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (C) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-1.5338897705078125]
