preamble,stimulus,is_correct,subject,stimulus_prob
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, the best answer choice is (",A,0,high_school_computer_science,[-1.6288604736328125]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, the best answer choice is (",B,0,high_school_computer_science,[-1.5819854736328125]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, the best answer choice is (",C,1,high_school_computer_science,[-1.1288604736328125]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 3 (C) 8 (D) 16. Of the answer choices above, the best answer choice is (",D,0,high_school_computer_science,[-1.3319854736328125]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",A,0,high_school_computer_science,[-2.2349090576171875]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",B,0,high_school_computer_science,[-2.2974090576171875]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",C,1,high_school_computer_science,[-0.4692840576171875]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",D,0,high_school_computer_science,[-1.9380340576171875]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (C) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent. (D) The file is broken into packets for transmission. The packets must be reassembled upon receipt.. Of the answer choices above, the best answer choice is (",A,0,high_school_computer_science,[-0.8736991882324219]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (C) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent. (D) The file is broken into packets for transmission. The packets must be reassembled upon receipt.. Of the answer choices above, the best answer choice is (",B,0,high_school_computer_science,[-1.6236991882324219]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (C) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent. (D) The file is broken into packets for transmission. The packets must be reassembled upon receipt.. Of the answer choices above, the best answer choice is (",C,0,high_school_computer_science,[-1.6549491882324219]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (C) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent. (D) The file is broken into packets for transmission. The packets must be reassembled upon receipt.. Of the answer choices above, the best answer choice is (",D,1,high_school_computer_science,[-1.7955741882324219]
