preamble,stimulus,is_correct,subject,stimulus_prob
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.3125]
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-1.75]
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",C,1,high_school_macroeconomics,[-2.0]
"Suppose that an expansionary fiscal policy leads to a large increase in real output and a small increase in the price level. From this it can be inferred that (A) inflation had already impacted the economy before the fiscal stimulus. (B) aggregate supply decreased. (C) the economy initially had some unemployed resources. (D) aggregate demand is steeply sloped.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-1.9375]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) III and IV only (D) II and IV only. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.1875]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) III and IV only (D) II and IV only. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-2.625]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) III and IV only (D) II and IV only. Of the answer choices above, the best answer choice is (",C,1,high_school_macroeconomics,[-2.5]
"Which of the following is included in U.S. GDP? I.   The market value of movies made in Africa by U.S. citizens II.   The market value of olive oil made in Italy and sold in the United States. III.   The market value of blue jeans made in the United States and sold in Japan IV.   The market value of wine made in the United States by Canadian citizens (A) II III and IV only (B) I and III only (C) III and IV only (D) II and IV only. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-2.875]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Both the price level and real GDP rise. (C) Real GDP rises but the change in the price level is uncertain. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.1875]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Both the price level and real GDP rise. (C) Real GDP rises but the change in the price level is uncertain. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-1.5]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Both the price level and real GDP rise. (C) Real GDP rises but the change in the price level is uncertain. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",C,1,high_school_macroeconomics,[-2.4375]
"When both short-run aggregate supply and aggregate demand increase which of the following can be said for certain? (A) The price level rises but real GDP falls. (B) Both the price level and real GDP rise. (C) Real GDP rises but the change in the price level is uncertain. (D) The price level rises but the change in real GDP is uncertain.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-2.5]
"Tariffs and quotas (A) lower the amount of the product sold domestically. (B) result in lower domestic prices. (C) sometimes raise and sometimes lower the amount of the product sold domestically. (D) raise the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",A,1,high_school_macroeconomics,[-1.6875]
"Tariffs and quotas (A) lower the amount of the product sold domestically. (B) result in lower domestic prices. (C) sometimes raise and sometimes lower the amount of the product sold domestically. (D) raise the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-2.5625]
"Tariffs and quotas (A) lower the amount of the product sold domestically. (B) result in lower domestic prices. (C) sometimes raise and sometimes lower the amount of the product sold domestically. (D) raise the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-2.3125]
"Tariffs and quotas (A) lower the amount of the product sold domestically. (B) result in lower domestic prices. (C) sometimes raise and sometimes lower the amount of the product sold domestically. (D) raise the amount of the product sold domestically.. Of the answer choices above, the best answer choice is (",D,0,high_school_macroeconomics,[-2.0625]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) a depreciating dollar. (C) fiscal policy designed to reduce the budget deficit. (D) contractionary monetary policy.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.3125]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) a depreciating dollar. (C) fiscal policy designed to reduce the budget deficit. (D) contractionary monetary policy.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-1.8125]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) a depreciating dollar. (C) fiscal policy designed to reduce the budget deficit. (D) contractionary monetary policy.. Of the answer choices above, the best answer choice is (",C,0,high_school_macroeconomics,[-1.75]
"A likely cause of falling Treasury bond prices might be (A) expansionary monetary policy. (B) a depreciating dollar. (C) fiscal policy designed to reduce the budget deficit. (D) contractionary monetary policy.. Of the answer choices above, the best answer choice is (",D,1,high_school_macroeconomics,[-1.6875]
"Households demand more money as an asset when (A) nominal GDP falls. (B) bond prices fall. (C) the nominal interest rate falls. (D) the supply of money falls.. Of the answer choices above, the best answer choice is (",A,0,high_school_macroeconomics,[-1.375]
"Households demand more money as an asset when (A) nominal GDP falls. (B) bond prices fall. (C) the nominal interest rate falls. (D) the supply of money falls.. Of the answer choices above, the best answer choice is (",B,0,high_school_macroeconomics,[-1.75]
