preamble,stimulus,is_correct,subject,stimulus_prob
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point (D) total product is at its highest point. Of the answer choices above, the best answer choice is (",A,1,high_school_microeconomics,[-8.504156112670898]
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point (D) total product is at its highest point. Of the answer choices above, the best answer choice is (",B,0,high_school_microeconomics,[-7.105718612670898]
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point (D) total product is at its highest point. Of the answer choices above, the best answer choice is (",C,0,high_school_microeconomics,[-9.472906112670898]
"Marginal revenue equals marginal cost at the point where (A) total revenue is greater than total cost at its greatest distance (B) total revenue is equal to total cost (C) marginal product is at its highest point (D) total product is at its highest point. Of the answer choices above, the best answer choice is (",D,0,high_school_microeconomics,[-9.215093612670898]
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises. (D) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.. Of the answer choices above, the best answer choice is (",A,0,high_school_microeconomics,[-6.668169021606445]
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises. (D) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.. Of the answer choices above, the best answer choice is (",B,0,high_school_microeconomics,[-7.699419021606445]
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises. (D) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.. Of the answer choices above, the best answer choice is (",C,0,high_school_microeconomics,[-6.949419021606445]
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do? (A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises. (B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls. (C) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises. (D) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.. Of the answer choices above, the best answer choice is (",D,1,high_school_microeconomics,[-7.129106521606445]
"At a Nash equilibrium, (A) the supply curve intersects the demand curve (B) the marginal revenue curve intersects the marginal cost curve (C) neither party has an incentive to deviate from his or her strategy (D) the equilibrium is unstable and each party would like to switch strategies. Of the answer choices above, the best answer choice is (",A,0,high_school_microeconomics,[-9.502340316772461]
"At a Nash equilibrium, (A) the supply curve intersects the demand curve (B) the marginal revenue curve intersects the marginal cost curve (C) neither party has an incentive to deviate from his or her strategy (D) the equilibrium is unstable and each party would like to switch strategies. Of the answer choices above, the best answer choice is (",B,0,high_school_microeconomics,[-10.560934066772461]
"At a Nash equilibrium, (A) the supply curve intersects the demand curve (B) the marginal revenue curve intersects the marginal cost curve (C) neither party has an incentive to deviate from his or her strategy (D) the equilibrium is unstable and each party would like to switch strategies. Of the answer choices above, the best answer choice is (",C,1,high_school_microeconomics,[-7.127340316772461]
"At a Nash equilibrium, (A) the supply curve intersects the demand curve (B) the marginal revenue curve intersects the marginal cost curve (C) neither party has an incentive to deviate from his or her strategy (D) the equilibrium is unstable and each party would like to switch strategies. Of the answer choices above, the best answer choice is (",D,0,high_school_microeconomics,[-9.361715316772461]
"You are told that the cross-price elasticity between goods X and Y is +2.0. This means that (A) goods X and Y are normal goods. (B) goods X and Y are inferior goods. (C) goods X and Y are complementary goods. (D) goods X and Y are substitute goods.. Of the answer choices above, the best answer choice is (",A,0,high_school_microeconomics,[-6.994699478149414]
"You are told that the cross-price elasticity between goods X and Y is +2.0. This means that (A) goods X and Y are normal goods. (B) goods X and Y are inferior goods. (C) goods X and Y are complementary goods. (D) goods X and Y are substitute goods.. Of the answer choices above, the best answer choice is (",B,0,high_school_microeconomics,[-9.049386978149414]
"You are told that the cross-price elasticity between goods X and Y is +2.0. This means that (A) goods X and Y are normal goods. (B) goods X and Y are inferior goods. (C) goods X and Y are complementary goods. (D) goods X and Y are substitute goods.. Of the answer choices above, the best answer choice is (",C,0,high_school_microeconomics,[-7.252511978149414]
"You are told that the cross-price elasticity between goods X and Y is +2.0. This means that (A) goods X and Y are normal goods. (B) goods X and Y are inferior goods. (C) goods X and Y are complementary goods. (D) goods X and Y are substitute goods.. Of the answer choices above, the best answer choice is (",D,1,high_school_microeconomics,[-7.229074478149414]
"An externality (A) causes the equilibrium price to be artificially high (B) causes the equilibrium price to be artificially low (C) results in an equilibrium that does not maximize the total benefit to society (D) exists when markets cannot reach equilibrium. Of the answer choices above, the best answer choice is (",A,0,high_school_microeconomics,[-8.105072021484375]
"An externality (A) causes the equilibrium price to be artificially high (B) causes the equilibrium price to be artificially low (C) results in an equilibrium that does not maximize the total benefit to society (D) exists when markets cannot reach equilibrium. Of the answer choices above, the best answer choice is (",B,0,high_school_microeconomics,[-9.136322021484375]
