preamble,stimulus,is_correct,subject,stimulus_prob
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Mammography (D) Lumpectomy. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-5.029327392578125]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Mammography (D) Lumpectomy. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-4.435577392578125]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Mammography (D) Lumpectomy. Of the answer choices above, the best answer choice is (",C,1,human_sexuality,[-0.044952392578125]
"Which of the following methods of detecting breast cancer involves exposure to radiation? (A) Needle aspiration (B) Mastectomy (C) Mammography (D) Lumpectomy. Of the answer choices above, the best answer choice is (",D,0,human_sexuality,[-3.998077392578125]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) all of the above (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-1.4877777099609375]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) all of the above (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-1.4721527099609375]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) all of the above (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",C,1,human_sexuality,[-0.9721527099609375]
"The regions of the body that, when touched, are sexually exciting: (A) vary from person to person (B) vary for women depending on the phases of the menstrual cycle (C) all of the above (D) are mainly on the lower portion of the body. Of the answer choices above, the best answer choice is (",D,0,human_sexuality,[-1.8627777099609375]
"Which of the following is/are true of gonorrhea? (A) has a high risk of infection with a single exposure (B) is asymptomatic (without symptoms) in only a small percentage of those infected (C) infections are limited to genital areas (D) can be treated with antibiotics. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-1.6019935607910156]
"Which of the following is/are true of gonorrhea? (A) has a high risk of infection with a single exposure (B) is asymptomatic (without symptoms) in only a small percentage of those infected (C) infections are limited to genital areas (D) can be treated with antibiotics. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-1.0082435607910156]
"Which of the following is/are true of gonorrhea? (A) has a high risk of infection with a single exposure (B) is asymptomatic (without symptoms) in only a small percentage of those infected (C) infections are limited to genital areas (D) can be treated with antibiotics. Of the answer choices above, the best answer choice is (",C,0,human_sexuality,[-1.6644935607910156]
"Which of the following is/are true of gonorrhea? (A) has a high risk of infection with a single exposure (B) is asymptomatic (without symptoms) in only a small percentage of those infected (C) infections are limited to genital areas (D) can be treated with antibiotics. Of the answer choices above, the best answer choice is (",D,1,human_sexuality,[-1.4613685607910156]
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant? (A) the ego (B) the superego (C) the id (D) the Oedipus complex. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-1.857950210571289]
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant? (A) the ego (B) the superego (C) the id (D) the Oedipus complex. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-2.139200210571289]
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant? (A) the ego (B) the superego (C) the id (D) the Oedipus complex. Of the answer choices above, the best answer choice is (",C,1,human_sexuality,[-0.6860752105712891]
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant? (A) the ego (B) the superego (C) the id (D) the Oedipus complex. Of the answer choices above, the best answer choice is (",D,0,human_sexuality,[-1.639200210571289]
"Sociobiologists believe that there are more males than females with paraphilias because: (A) paraphilias guarantee survival of the species (B) of left brain/right brain differences between the genders (C) evolutionary selection has favored the development of males who respond to novel sexual stimuli (D) male brains are better developed than are female brains. Of the answer choices above, the best answer choice is (",A,0,human_sexuality,[-1.4313030242919922]
"Sociobiologists believe that there are more males than females with paraphilias because: (A) paraphilias guarantee survival of the species (B) of left brain/right brain differences between the genders (C) evolutionary selection has favored the development of males who respond to novel sexual stimuli (D) male brains are better developed than are female brains. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-1.6344280242919922]
"Sociobiologists believe that there are more males than females with paraphilias because: (A) paraphilias guarantee survival of the species (B) of left brain/right brain differences between the genders (C) evolutionary selection has favored the development of males who respond to novel sexual stimuli (D) male brains are better developed than are female brains. Of the answer choices above, the best answer choice is (",C,1,human_sexuality,[-0.9000530242919922]
"Sociobiologists believe that there are more males than females with paraphilias because: (A) paraphilias guarantee survival of the species (B) of left brain/right brain differences between the genders (C) evolutionary selection has favored the development of males who respond to novel sexual stimuli (D) male brains are better developed than are female brains. Of the answer choices above, the best answer choice is (",D,0,human_sexuality,[-1.9156780242919922]
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse. (A) experienced guilt (B) felt glad (C) felt fear (D) experienced regret. Of the answer choices above, the best answer choice is (",A,1,human_sexuality,[-0.10417366027832031]
"According to a study by Sprecher, Barbee, and Schwartz (1995), women were more likely than men to have ________ following their first act of intercourse. (A) experienced guilt (B) felt glad (C) felt fear (D) experienced regret. Of the answer choices above, the best answer choice is (",B,0,human_sexuality,[-3.4322986602783203]
