preamble,stimulus,is_correct,subject
"Mass-society theory suggests that: (A) the media manipulate 'the masses' as vulnerable, passive consumers (B) the content of the media is determined by market forces (C) the subordinate classes are dominated by the ideology of the ruling class (D) audiences make selective interpretations of media messages. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"The ecological approach to urban sociology involved studying: (A) the forms of wildlife and natural habitats that could be found on the edges of the city (B) the way in which people organized collective protests about environmental issues (C) how social groups colonized different areas of the city and competed for resources (D) how men and women used the city's public spaces differently. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,sociology
"Becker proclaimed that cannabis use was: (A) increasing throughout all sections of youth in the 1970s (B) a dangerous pastime that young people should not be allowed to pursue (C) learned gradually through the social processes of a deviant career (D) not as enjoyable as other sociologists had suggested. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,sociology
"The middle classes that developed over the nineteenth century were: (A) all of the above (B) an urban set, involved in civic bodies and voluntary associations (C) too diverse to have a strong sense of class consciousness (D) often involved in 'white collar' work. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"Technological forms of surveillance have made it easier to: (A) all of the above (B) access and exchange 'private' information about consumers (C) reduce prison overcrowding by the use of electronic tagging (D) monitor employees' activities at work. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as (A) organic solidarity (B) gesellschaft (C) anomie (D) mechanical solidarity. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,sociology
"There was a growth in income inequality in the 1980s because: (A) growing unemployment made more people dependent on welfare benefits (B) rates of income tax increased equally for all occupational groups (C) there were more professional jobs available but not enough people to fill them (D) the price of consumer goods rose at a higher rate than earnings. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"If a deviant act is 'normalized', it is: (A) recognised as breaking an important norm of behaviour (B) the first step in establishing a deviant career (C) seen a temporary aberration from an otherwise 'normal' character (D) attributed to the person's genetic or anatomical make up. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,sociology
"In the debate about the 'managerial revolution', John Scott (1997) argued that: (A) owners still exercised control through groups of shareholders and interlocking directorships (B) ownership and management were becoming increasingly separate functions (C) the techniques of scientific management were overly bureaucratic and inefficient (D) managers were becoming dissatisfied with their working conditions and planned to overthrow the owners of businesses. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"Marxist feminists explain patriarchy in terms of: (A) a lack of equal rights and opportunities for men and women (B) sex classes, through which men oppress women economically, politically and sexually (C) women's domestic labour being exploited by the capitalist economy (D) the dual systems of capitalism and male domination. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,sociology
"Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way': (A) putting an end to privatization (B) the democratization of the family (C) positive welfare: 'a hand up, not a hand-out' (D) the strengthening of civil society. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"Anti-psychiatrists like Laing & Esterson believed that: (A) Behaviour that seemed bizarre could be seen as a reasonable response to disturbed patterns of family interaction (B) Psychiatry was an out-moded form of treatment and should be replaced by alternative therapies like aromatherapy and kinesiology (C) Mental illnesses were biological in origin, so there was no point in studying 'the mind' as experienced by the patient (D) Psychiatrists were agents of capitalism who tried to instill ruling class ideology into their patients. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"Butler & Stokes (1969) suggested that working class support for the Labour Party arose from: (A) rational calculation of self-interest (B) issue-based concerns about culture and lifestyle (C) socialization into working class families and communities (D) false consciousness and the acceptance of hegemonic values. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,sociology
"In contemporary societies, social institutions are: (A) highly specialized, interrelated sets of social practices (B) disorganized social relations in a postmodern world (C) virtual communities in cyberspace (D) no longer relevant to sociology. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
"The term 'emotion work' (Hochschild 1983) refers to: (A) the work done by psychologists, counselors and therapists to help clients with mental and emotional problems (B) experiences such as grieving and falling in love, which demand a lot of emotional energy from a person (C) the way in which increasing levels of risk and anxiety have made us think more reflexively about our self-identities (D) the techniques used to consciously manage and present emotions that are deemed appropriate for public settings of interaction. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,sociology
"When sociologists study the structure of layers in society and people's movement between them, they call this: (A) social control (B) social conflict (C) social stratification (D) social solidarity. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,sociology
"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and... (A) affective (B) effective (C) infected (D) affectual. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,sociology
"An ecclesia is: (A) a religious organization that claims total spiritual authority over its members (B) a church organized around voluntary rather than compulsory membership (C) a sect or cult with a very small following (D) a hierarchy of priests or other spiritual leaders. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,sociology
