preamble,stimulus,is_correct,subject,stimulus_prob
"How many human polyomaviruses are known at present? (A) 100 (B) 1 (C) 10 (D) unknown. Of the answer choices above, the best answer choice is (",A,1,virology,[-7.5579833984375]
"How many human polyomaviruses are known at present? (A) 100 (B) 1 (C) 10 (D) unknown. Of the answer choices above, the best answer choice is (",B,0,virology,[-7.8314208984375]
"How many human polyomaviruses are known at present? (A) 100 (B) 1 (C) 10 (D) unknown. Of the answer choices above, the best answer choice is (",C,0,virology,[-7.8001708984375]
"How many human polyomaviruses are known at present? (A) 100 (B) 1 (C) 10 (D) unknown. Of the answer choices above, the best answer choice is (",D,0,virology,[-7.9486083984375]
"AIDS activism in the U.S. resulted in: (A) Food and Drug Administration reforms (B) Easier access to investigational drugs (C) All of the above (D) Changes in the way medicine was practiced in the U.S.. Of the answer choices above, the best answer choice is (",A,0,virology,[-7.7903289794921875]
"AIDS activism in the U.S. resulted in: (A) Food and Drug Administration reforms (B) Easier access to investigational drugs (C) All of the above (D) Changes in the way medicine was practiced in the U.S.. Of the answer choices above, the best answer choice is (",B,0,virology,[-8.071578979492188]
"AIDS activism in the U.S. resulted in: (A) Food and Drug Administration reforms (B) Easier access to investigational drugs (C) All of the above (D) Changes in the way medicine was practiced in the U.S.. Of the answer choices above, the best answer choice is (",C,1,virology,[-7.2981414794921875]
"AIDS activism in the U.S. resulted in: (A) Food and Drug Administration reforms (B) Easier access to investigational drugs (C) All of the above (D) Changes in the way medicine was practiced in the U.S.. Of the answer choices above, the best answer choice is (",D,0,virology,[-7.6418914794921875]
"Globally, the most deaths are caused by: (A) Respiratory infections (B) Malaria (C) Tuberculosis (D) Diarrheal diseases. Of the answer choices above, the best answer choice is (",A,0,virology,[-7.699432373046875]
"Globally, the most deaths are caused by: (A) Respiratory infections (B) Malaria (C) Tuberculosis (D) Diarrheal diseases. Of the answer choices above, the best answer choice is (",B,0,virology,[-8.761932373046875]
"Globally, the most deaths are caused by: (A) Respiratory infections (B) Malaria (C) Tuberculosis (D) Diarrheal diseases. Of the answer choices above, the best answer choice is (",C,0,virology,[-8.441619873046875]
"Globally, the most deaths are caused by: (A) Respiratory infections (B) Malaria (C) Tuberculosis (D) Diarrheal diseases. Of the answer choices above, the best answer choice is (",D,1,virology,[-8.441619873046875]
"What happens during the 'incubation period'? (A) The virus is cleared from the body by the immune system (B) This period commonly lasts for a few days (C) This period commonly lasts for a few hours (D) Virus replication happens at an intracellular level. Of the answer choices above, the best answer choice is (",A,0,virology,[-7.781909942626953]
"What happens during the 'incubation period'? (A) The virus is cleared from the body by the immune system (B) This period commonly lasts for a few days (C) This period commonly lasts for a few hours (D) Virus replication happens at an intracellular level. Of the answer choices above, the best answer choice is (",B,0,virology,[-7.688159942626953]
"What happens during the 'incubation period'? (A) The virus is cleared from the body by the immune system (B) This period commonly lasts for a few days (C) This period commonly lasts for a few hours (D) Virus replication happens at an intracellular level. Of the answer choices above, the best answer choice is (",C,0,virology,[-7.758472442626953]
"What happens during the 'incubation period'? (A) The virus is cleared from the body by the immune system (B) This period commonly lasts for a few days (C) This period commonly lasts for a few hours (D) Virus replication happens at an intracellular level. Of the answer choices above, the best answer choice is (",D,1,virology,[-8.063159942626953]
