preamble,stimulus,is_correct,subject,stimulus_prob
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 18 gauge. (C) 22 gauge. (D) 24 gauge.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-1.4610471725463867]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 18 gauge. (C) 22 gauge. (D) 24 gauge.. Of the answer choices above, answer (B) is the",best,1,clinical_knowledge,[-1.4795989990234375]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 18 gauge. (C) 22 gauge. (D) 24 gauge.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-1.5350017547607422]
"What size of cannula would you use in a patient who needed a rapid blood transfusion (as of 2020 medical knowledge)? (A) 20 gauge. (B) 18 gauge. (C) 22 gauge. (D) 24 gauge.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,[-1.6033401489257812]
"The key attribute in successful marathon running is: (A) strength. (B) stamina. (C) power. (D) stride length.. Of the answer choices above, answer (A) is the",best,0,clinical_knowledge,[-9.60987377166748]
"The key attribute in successful marathon running is: (A) strength. (B) stamina. (C) power. (D) stride length.. Of the answer choices above, answer (B) is the",best,1,clinical_knowledge,[-9.60987377166748]
"The key attribute in successful marathon running is: (A) strength. (B) stamina. (C) power. (D) stride length.. Of the answer choices above, answer (C) is the",best,0,clinical_knowledge,[-9.60987377166748]
"The key attribute in successful marathon running is: (A) strength. (B) stamina. (C) power. (D) stride length.. Of the answer choices above, answer (D) is the",best,0,clinical_knowledge,[-9.60987377166748]
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. (D) HIV infection.. Of the answer choices above, answer (A) is the",best,1,clinical_knowledge,[-12.101825714111328]
"Which of the following is the commonest cause of dementia in the UK? (A) Alzheimer's disease. (B) Cerebrovascular (stroke) disease. (C) Lewy body dementia. (D) HIV infection.. Of the answer choices above, answer (B) is the",best,0,clinical_knowledge,[-12.101825714111328]
