preamble,stimulus,is_correct,subject,stimulus_prob
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-1.355478286743164]
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, answer (B) is the",best,0,college_computer_science,[-1.957387924194336]
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, answer (C) is the",best,0,college_computer_science,[-1.5917739868164062]
"The access matrix approach to protection has the difficulty that (A) it is not capable of expressing complex protection requirements (B) deciding whether a process has access to a resource is undecidable (C) there is no way to express who has rights to change the access matrix itself (D) the matrix, if stored directly, is large and can be clumsy to manage. Of the answer choices above, answer (D) is the",best,1,college_computer_science,[-1.5585956573486328]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 0, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 1, 2, 3, 6}. Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-3.2676258087158203]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 0, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 1, 2, 3, 6}. Of the answer choices above, answer (B) is the",best,0,college_computer_science,[-2.7688045501708984]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 0, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 1, 2, 3, 6}. Of the answer choices above, answer (C) is the",best,0,college_computer_science,[-2.5772762298583984]
"An integer c is a common divisor of two integers x and y if and only if c is a divisor of x and c is a divisor of y. Which of the following sets of integers could possibly be the set of all common divisors of two integers? (A) {-6,-2, -1, 1, 2, 6} (B) {-6, -2, -1, 0, 1, 2, 6} (C) {-6, -3, -2, -1, 0, 1, 2, 3, 6} (D) {-6, -3, -2, -1, 1, 2, 3, 6}. Of the answer choices above, answer (D) is the",best,1,college_computer_science,[-2.795553207397461]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:4 (B) 1:3.5 (C) 1:1 (D) 1.1:1. Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-1.1043205261230469]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:4 (B) 1:3.5 (C) 1:1 (D) 1.1:1. Of the answer choices above, answer (B) is the",best,1,college_computer_science,[-0.9980850219726562]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:4 (B) 1:3.5 (C) 1:1 (D) 1.1:1. Of the answer choices above, answer (C) is the",best,0,college_computer_science,[-1.0802440643310547]
"In the NoNicks operating system, the time required by a single file-read operation has four nonoverlapping components: disk seek time-25 msec disk latency time-8 msec disk transfer time- 1 msec per 1,000 bytes operating system overhead-1 msec per 1,000 bytes + 10 msec In version 1 of the system, the file read retrieved blocks of 1,000 bytes. In version 2, the file read (along with the underlying layout on disk) was modified to retrieve blocks of 4,000 bytes. The ratio of-the time required to read a large file under version 2 to the time required to read the same large file under version 1 is approximately (A) 1:4 (B) 1:3.5 (C) 1:1 (D) 1.1:1. Of the answer choices above, answer (D) is the",best,0,college_computer_science,[-1.0372333526611328]
"You want to cluster 7 points into 3 clusters using the k-Means Clustering algorithm. Suppose after the first iteration, clusters C1, C2 and C3 contain the following two-dimensional points: C1 contains the 2 points: {(0,6), (6,0)} C2 contains the 3 points: {(2,2), (4,4), (6,6)} C3 contains the 2 points: {(5,5), (7,7)} What are the cluster centers computed for these 3 clusters? (A) C1: (3,3), C2: (6,6), C3: (12,12) (B) C1: (6,6), C2: (12,12), C3: (12,12) (C) C1: (0,0), C2: (48,48), C3: (35,35) (D) C1: (3,3), C2: (4,4), C3: (6,6). Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-2.382518768310547]
"You want to cluster 7 points into 3 clusters using the k-Means Clustering algorithm. Suppose after the first iteration, clusters C1, C2 and C3 contain the following two-dimensional points: C1 contains the 2 points: {(0,6), (6,0)} C2 contains the 3 points: {(2,2), (4,4), (6,6)} C3 contains the 2 points: {(5,5), (7,7)} What are the cluster centers computed for these 3 clusters? (A) C1: (3,3), C2: (6,6), C3: (12,12) (B) C1: (6,6), C2: (12,12), C3: (12,12) (C) C1: (0,0), C2: (48,48), C3: (35,35) (D) C1: (3,3), C2: (4,4), C3: (6,6). Of the answer choices above, answer (B) is the",best,0,college_computer_science,[-2.3844032287597656]
"You want to cluster 7 points into 3 clusters using the k-Means Clustering algorithm. Suppose after the first iteration, clusters C1, C2 and C3 contain the following two-dimensional points: C1 contains the 2 points: {(0,6), (6,0)} C2 contains the 3 points: {(2,2), (4,4), (6,6)} C3 contains the 2 points: {(5,5), (7,7)} What are the cluster centers computed for these 3 clusters? (A) C1: (3,3), C2: (6,6), C3: (12,12) (B) C1: (6,6), C2: (12,12), C3: (12,12) (C) C1: (0,0), C2: (48,48), C3: (35,35) (D) C1: (3,3), C2: (4,4), C3: (6,6). Of the answer choices above, answer (C) is the",best,0,college_computer_science,[-2.485179901123047]
"You want to cluster 7 points into 3 clusters using the k-Means Clustering algorithm. Suppose after the first iteration, clusters C1, C2 and C3 contain the following two-dimensional points: C1 contains the 2 points: {(0,6), (6,0)} C2 contains the 3 points: {(2,2), (4,4), (6,6)} C3 contains the 2 points: {(5,5), (7,7)} What are the cluster centers computed for these 3 clusters? (A) C1: (3,3), C2: (6,6), C3: (12,12) (B) C1: (6,6), C2: (12,12), C3: (12,12) (C) C1: (0,0), C2: (48,48), C3: (35,35) (D) C1: (3,3), C2: (4,4), C3: (6,6). Of the answer choices above, answer (D) is the",best,1,college_computer_science,[-2.516592025756836]
"Any set of Boolean operators that is sufficient to represent all Boolean expressions is said to be complete. Which of the following is NOT complete? (A) {AND, NOT} (B) {AND, OR} (C) {NOT, OR} (D) {NAND}. Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-2.6689205169677734]
"Any set of Boolean operators that is sufficient to represent all Boolean expressions is said to be complete. Which of the following is NOT complete? (A) {AND, NOT} (B) {AND, OR} (C) {NOT, OR} (D) {NAND}. Of the answer choices above, answer (B) is the",best,1,college_computer_science,[-2.8154335021972656]
"Any set of Boolean operators that is sufficient to represent all Boolean expressions is said to be complete. Which of the following is NOT complete? (A) {AND, NOT} (B) {AND, OR} (C) {NOT, OR} (D) {NAND}. Of the answer choices above, answer (C) is the",best,0,college_computer_science,[-2.898670196533203]
"Any set of Boolean operators that is sufficient to represent all Boolean expressions is said to be complete. Which of the following is NOT complete? (A) {AND, NOT} (B) {AND, OR} (C) {NOT, OR} (D) {NAND}. Of the answer choices above, answer (D) is the",best,0,college_computer_science,[-2.7178573608398438]
"Consider the collection of all undirected graphs with 10 nodes and 6 edges. Let M and m, respectively, be the maximum and minimum number of connected components in any graph in the collection. If a graph has no selfloops and there is at most one edge between any pair of nodes, which of the following is true? (A) M = 10, m = 10 (B) M = 7, m = 4 (C) M = 10, m = 1 (D) M = 6, m = 4. Of the answer choices above, answer (A) is the",best,0,college_computer_science,[-1.6046562194824219]
