preamble,stimulus,is_correct,subject,stimulus_prob
"A police officer carries out hundreds of traffic stops every year. When his supervisor is reviewing the officer’s records for the past year, he notices that the officer is equally likely to stop people of various genders, ages, and races. However, he is significantly more likely to write tickets for middle-aged white males with dark hair and eyes. When confronted with this fact, the officer truthfully states that he has no idea why that is, and that it must simply be a coincidence. Unbeknownst to the officer, this behavior is tied to the fact that these men look like his father, with whom he had an abusive relationship as a child. What psychological framework would directly address the unconscious bias in his behavior?  (A) Behaviorist (B) Psychoanalytic (C) Cognitive behavioral (D) Humanistic. Of the answer choices above, answer (A) is the",best,0,college_medicine,[-0.7517604827880859]
"A police officer carries out hundreds of traffic stops every year. When his supervisor is reviewing the officer’s records for the past year, he notices that the officer is equally likely to stop people of various genders, ages, and races. However, he is significantly more likely to write tickets for middle-aged white males with dark hair and eyes. When confronted with this fact, the officer truthfully states that he has no idea why that is, and that it must simply be a coincidence. Unbeknownst to the officer, this behavior is tied to the fact that these men look like his father, with whom he had an abusive relationship as a child. What psychological framework would directly address the unconscious bias in his behavior?  (A) Behaviorist (B) Psychoanalytic (C) Cognitive behavioral (D) Humanistic. Of the answer choices above, answer (B) is the",best,1,college_medicine,[-0.6699314117431641]
"A police officer carries out hundreds of traffic stops every year. When his supervisor is reviewing the officer’s records for the past year, he notices that the officer is equally likely to stop people of various genders, ages, and races. However, he is significantly more likely to write tickets for middle-aged white males with dark hair and eyes. When confronted with this fact, the officer truthfully states that he has no idea why that is, and that it must simply be a coincidence. Unbeknownst to the officer, this behavior is tied to the fact that these men look like his father, with whom he had an abusive relationship as a child. What psychological framework would directly address the unconscious bias in his behavior?  (A) Behaviorist (B) Psychoanalytic (C) Cognitive behavioral (D) Humanistic. Of the answer choices above, answer (C) is the",best,0,college_medicine,[-0.658111572265625]
"A police officer carries out hundreds of traffic stops every year. When his supervisor is reviewing the officer’s records for the past year, he notices that the officer is equally likely to stop people of various genders, ages, and races. However, he is significantly more likely to write tickets for middle-aged white males with dark hair and eyes. When confronted with this fact, the officer truthfully states that he has no idea why that is, and that it must simply be a coincidence. Unbeknownst to the officer, this behavior is tied to the fact that these men look like his father, with whom he had an abusive relationship as a child. What psychological framework would directly address the unconscious bias in his behavior?  (A) Behaviorist (B) Psychoanalytic (C) Cognitive behavioral (D) Humanistic. Of the answer choices above, answer (D) is the",best,0,college_medicine,[-0.6845607757568359]
"Who set the world record for the mile race in 1886? (A) WG George (B) R Bannister (C) S Coe (D) J DiMaggio. Of the answer choices above, answer (A) is the",best,1,college_medicine,[-2.1611900329589844]
"Who set the world record for the mile race in 1886? (A) WG George (B) R Bannister (C) S Coe (D) J DiMaggio. Of the answer choices above, answer (B) is the",best,0,college_medicine,[-2.4163341522216797]
"Who set the world record for the mile race in 1886? (A) WG George (B) R Bannister (C) S Coe (D) J DiMaggio. Of the answer choices above, answer (C) is the",best,0,college_medicine,[-2.256998062133789]
"Who set the world record for the mile race in 1886? (A) WG George (B) R Bannister (C) S Coe (D) J DiMaggio. Of the answer choices above, answer (D) is the",best,0,college_medicine,[-2.322256088256836]
"Which of the following statements identifies a chemically based sensory system? I. Gustatory system II. Auditory system III. Olfactory system (A) I and III only (B) I only (C) II only (D) III only. Of the answer choices above, answer (A) is the",best,1,college_medicine,[-1.472116470336914]
"Which of the following statements identifies a chemically based sensory system? I. Gustatory system II. Auditory system III. Olfactory system (A) I and III only (B) I only (C) II only (D) III only. Of the answer choices above, answer (B) is the",best,0,college_medicine,[-1.5486221313476562]
