preamble,stimulus,is_correct,subject,stimulus_prob
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 12 N (D) 7 N. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-9.245718002319336]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 12 N (D) 7 N. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-9.245718002319336]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 12 N (D) 7 N. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-9.245718002319336]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 10 N (C) 12 N (D) 7 N. Of the answer choices above, answer (D) is the",best,1,conceptual_physics,[-9.245718002319336]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) All of these. (D) volume of fluid.. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-18.608556747436523]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) All of these. (D) volume of fluid.. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-18.608556747436523]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) All of these. (D) volume of fluid.. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-18.608556747436523]
"A completely submerged object always displaces its own (A) weight of fluid. (B) density of fluid. (C) All of these. (D) volume of fluid.. Of the answer choices above, answer (D) is the",best,1,conceptual_physics,[-18.608556747436523]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, answer (A) is the",best,1,conceptual_physics,[-1.4864940643310547]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.5382804870605469]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.6344928741455078]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-1.8163232803344727]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, answer (A) is the",best,1,conceptual_physics,[-12.738304138183594]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-12.738304138183594]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-12.738304138183594]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, answer (D) is the",best,0,conceptual_physics,[-12.738304138183594]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) converts to magnetic energy (D) changes. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-1.5176258087158203]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) converts to magnetic energy (D) changes. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-1.5153207778930664]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) converts to magnetic energy (D) changes. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-1.6200342178344727]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) converts to magnetic energy (D) changes. Of the answer choices above, answer (D) is the",best,1,conceptual_physics,[-1.6954460144042969]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-20.993486404418945]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, answer (B) is the",best,0,conceptual_physics,[-20.993486404418945]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, answer (C) is the",best,0,conceptual_physics,[-20.993486404418945]
"Among these colors, the one that has the most energy per photon is (A) red (B) yellow-green (C) blue (D) violet. Of the answer choices above, answer (D) is the",best,1,conceptual_physics,[-20.993486404418945]
"According to general relativity, (A) mass distorts spacetime. (B) All of these. (C) gravity affects clocks. (D) light can’t escape from a black hole.. Of the answer choices above, answer (A) is the",best,0,conceptual_physics,[-8.191974639892578]
"According to general relativity, (A) mass distorts spacetime. (B) All of these. (C) gravity affects clocks. (D) light can’t escape from a black hole.. Of the answer choices above, answer (B) is the",best,1,conceptual_physics,[-8.191974639892578]
