preamble,stimulus,is_correct,subject,stimulus_prob
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, answer (A) is the",best,1,high_school_biology,[-0.7940464019775391]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, answer (B) is the",best,0,high_school_biology,[-0.5869617462158203]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, answer (C) is the",best,0,high_school_biology,[-0.5642223358154297]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, answer (D) is the",best,0,high_school_biology,[-0.7010955810546875]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, answer (A) is the",best,0,high_school_biology,[-1.8948822021484375]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, answer (B) is the",best,0,high_school_biology,[-1.9633808135986328]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, answer (C) is the",best,0,high_school_biology,[-1.9131526947021484]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a single nucleotide substitution of the nucleotide occupying the first codon position (C) a single nucleotide substitution of the nucleotide occupying the third codon position (D) a deletion of a single nucleotide. Of the answer choices above, answer (D) is the",best,1,high_school_biology,[-2.018495559692383]
"The energy given up by electrons as they move through the electron transport chain is used to (A) produce ATP (B) break down glucose (C) make glucose (D) make NADH. Of the answer choices above, answer (A) is the",best,1,high_school_biology,[-1.8982715606689453]
"The energy given up by electrons as they move through the electron transport chain is used to (A) produce ATP (B) break down glucose (C) make glucose (D) make NADH. Of the answer choices above, answer (B) is the",best,0,high_school_biology,[-1.8844051361083984]
"The energy given up by electrons as they move through the electron transport chain is used to (A) produce ATP (B) break down glucose (C) make glucose (D) make NADH. Of the answer choices above, answer (C) is the",best,0,high_school_biology,[-1.8164424896240234]
"The energy given up by electrons as they move through the electron transport chain is used to (A) produce ATP (B) break down glucose (C) make glucose (D) make NADH. Of the answer choices above, answer (D) is the",best,0,high_school_biology,[-1.9404830932617188]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) oxygen (B) hydrogen (C) ammonia (D) methane. Of the answer choices above, answer (A) is the",best,1,high_school_biology,[-1.8451004028320312]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) oxygen (B) hydrogen (C) ammonia (D) methane. Of the answer choices above, answer (B) is the",best,0,high_school_biology,[-1.7843284606933594]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) oxygen (B) hydrogen (C) ammonia (D) methane. Of the answer choices above, answer (C) is the",best,0,high_school_biology,[-1.8924427032470703]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) oxygen (B) hydrogen (C) ammonia (D) methane. Of the answer choices above, answer (D) is the",best,0,high_school_biology,[-2.0265884399414062]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, answer (A) is the",best,1,high_school_biology,[-0.4872913360595703]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, answer (B) is the",best,0,high_school_biology,[-0.5191192626953125]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, answer (C) is the",best,0,high_school_biology,[-0.7365798950195312]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, answer (D) is the",best,0,high_school_biology,[-0.6248569488525391]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) longitudinal section of a shoot tip (B) cross section of muscle tissue (C) cross section of an anther (site of pollen production in a flower) (D) cross section of a leaf. Of the answer choices above, answer (A) is the",best,1,high_school_biology,[-1.364236831665039]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) longitudinal section of a shoot tip (B) cross section of muscle tissue (C) cross section of an anther (site of pollen production in a flower) (D) cross section of a leaf. Of the answer choices above, answer (B) is the",best,0,high_school_biology,[-1.3590164184570312]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) longitudinal section of a shoot tip (B) cross section of muscle tissue (C) cross section of an anther (site of pollen production in a flower) (D) cross section of a leaf. Of the answer choices above, answer (C) is the",best,0,high_school_biology,[-1.1901969909667969]
