preamble,stimulus,is_correct,subject,stimulus_prob
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a well-connected transportation infrastructure. (B) a currency. (C) government activity. (D) a banking service.. Of the answer choices above, answer (A) is the",best,1,high_school_geography,[-1.0733661651611328]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a well-connected transportation infrastructure. (B) a currency. (C) government activity. (D) a banking service.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.1355037689208984]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a well-connected transportation infrastructure. (B) a currency. (C) government activity. (D) a banking service.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.0813369750976562]
"The main factor preventing subsistence economies from advancing economically is the lack of (A) a well-connected transportation infrastructure. (B) a currency. (C) government activity. (D) a banking service.. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.1371135711669922]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. (D) demographic momentum.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.1653518676757812]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. (D) demographic momentum.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.2518730163574219]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. (D) demographic momentum.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.154256820678711]
"The tendency for a population to continue to grow long after replacement fertility has been achieved is called (A) zero population growth. (B) rapid growth rate. (C) homeostatic plateau. (D) demographic momentum.. Of the answer choices above, answer (D) is the",best,1,high_school_geography,[-1.2315292358398438]
"The tendency for migration to decrease with distance is called (A) distance decay. (B) push factors. (C) pull factors. (D) migration selectivity.. Of the answer choices above, answer (A) is the",best,1,high_school_geography,[-1.1306610107421875]
"The tendency for migration to decrease with distance is called (A) distance decay. (B) push factors. (C) pull factors. (D) migration selectivity.. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.215850830078125]
"The tendency for migration to decrease with distance is called (A) distance decay. (B) push factors. (C) pull factors. (D) migration selectivity.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.2319164276123047]
"The tendency for migration to decrease with distance is called (A) distance decay. (B) push factors. (C) pull factors. (D) migration selectivity.. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.2355899810791016]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third (D) Fourth. Of the answer choices above, answer (A) is the",best,1,high_school_geography,[-1.3659400939941406]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third (D) Fourth. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.3129386901855469]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third (D) Fourth. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.2994804382324219]
"Which zone contains low-income slums, ethnic ghettos, and general deterioration in Burgess's concentric zone model of urban form? (A) First (B) Second (C) Third (D) Fourth. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.4203948974609375]
"Which of the following statements is TRUE concerning women in the labor force? (A) Women spend more hours per day working than men in all regions except Anglo America and Australia (B) Most women work in agriculture (C) The percentage of women economically active in the labor force declined worldwide (D) The percentage of women in the total labor force declined. Of the answer choices above, answer (A) is the",best,1,high_school_geography,[-1.5394859313964844]
"Which of the following statements is TRUE concerning women in the labor force? (A) Women spend more hours per day working than men in all regions except Anglo America and Australia (B) Most women work in agriculture (C) The percentage of women economically active in the labor force declined worldwide (D) The percentage of women in the total labor force declined. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.6877365112304688]
"Which of the following statements is TRUE concerning women in the labor force? (A) Women spend more hours per day working than men in all regions except Anglo America and Australia (B) Most women work in agriculture (C) The percentage of women economically active in the labor force declined worldwide (D) The percentage of women in the total labor force declined. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.6456356048583984]
"Which of the following statements is TRUE concerning women in the labor force? (A) Women spend more hours per day working than men in all regions except Anglo America and Australia (B) Most women work in agriculture (C) The percentage of women economically active in the labor force declined worldwide (D) The percentage of women in the total labor force declined. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.7043724060058594]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) overcrowding. (C) better climate. (D) better schools.. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.6088581085205078]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) overcrowding. (C) better climate. (D) better schools.. Of the answer choices above, answer (B) is the",best,1,high_school_geography,[-1.6652202606201172]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) overcrowding. (C) better climate. (D) better schools.. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.6206130981445312]
"All the following factors can be considered pull factors of migration EXCEPT (A) safety. (B) overcrowding. (C) better climate. (D) better schools.. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.7011184692382812]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) Bolivia (C) United Kingdom (D) Germany. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.8825969696044922]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) Bolivia (C) United Kingdom (D) Germany. Of the answer choices above, answer (B) is the",best,1,high_school_geography,[-2.0730724334716797]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) Bolivia (C) United Kingdom (D) Germany. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-2.0386180877685547]
"Which of the following countries does NOT have a well-known example of a relict boundary? (A) Vietnam (B) Bolivia (C) United Kingdom (D) Germany. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-2.0688514709472656]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Circular migration (B) Chain migration (C) Cluster migration (D) International migration. Of the answer choices above, answer (A) is the",best,1,high_school_geography,[-1.0075874328613281]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Circular migration (B) Chain migration (C) Cluster migration (D) International migration. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-0.9562644958496094]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Circular migration (B) Chain migration (C) Cluster migration (D) International migration. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.0035533905029297]
"Which form of migration below are farm workers from another country most likely to be practicing during the year? (A) Circular migration (B) Chain migration (C) Cluster migration (D) International migration. Of the answer choices above, answer (D) is the",best,0,high_school_geography,[-1.1430587768554688]
"Which of the following is a centrifugal force in a country? (A) A national holiday (B) An attack by another country (C) A charismatic national leader (D) Religious differences. Of the answer choices above, answer (A) is the",best,0,high_school_geography,[-1.1117572784423828]
"Which of the following is a centrifugal force in a country? (A) A national holiday (B) An attack by another country (C) A charismatic national leader (D) Religious differences. Of the answer choices above, answer (B) is the",best,0,high_school_geography,[-1.2321796417236328]
"Which of the following is a centrifugal force in a country? (A) A national holiday (B) An attack by another country (C) A charismatic national leader (D) Religious differences. Of the answer choices above, answer (C) is the",best,0,high_school_geography,[-1.1715278625488281]
"Which of the following is a centrifugal force in a country? (A) A national holiday (B) An attack by another country (C) A charismatic national leader (D) Religious differences. Of the answer choices above, answer (D) is the",best,1,high_school_geography,[-1.2459754943847656]
"Early settlements and high population density along coastlines and rivers are best attributed to which of the following? (A) Access to trade routes (B) Mediterranean climate (C) Limited forest cover (D) Growth of manufacturing. Of the answer choices above, answer (A) is the",best,1,high_school_geography,[-0.5450115203857422]
