preamble,stimulus,is_correct,subject,stimulus_prob
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Accepting (C) Compromising (D) Satisficing. Of the answer choices above, answer (A) is the",best,0,management,[-2.3125]
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Accepting (C) Compromising (D) Satisficing. Of the answer choices above, answer (B) is the",best,0,management,[-2.5]
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Accepting (C) Compromising (D) Satisficing. Of the answer choices above, answer (C) is the",best,0,management,[-2.5]
"What is the term for a sub-optimal but acceptable outcome of negotiations between parties? (A) Bargaining (B) Accepting (C) Compromising (D) Satisficing. Of the answer choices above, answer (D) is the",best,1,management,[-2.4375]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Over-confidence bias (D) Heuristics. Of the answer choices above, answer (A) is the",best,0,management,[-2.9375]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Over-confidence bias (D) Heuristics. Of the answer choices above, answer (B) is the",best,0,management,[-3.0]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Over-confidence bias (D) Heuristics. Of the answer choices above, answer (C) is the",best,0,management,[-3.0]
"What is the term for the 'rule of thumb' type of bias in decision making? (A) Framing bias (B) Hindsight bias (C) Over-confidence bias (D) Heuristics. Of the answer choices above, answer (D) is the",best,1,management,[-2.9375]
"What is a normative perspective? (A) The way things should be. (B) The way things are. (C) The way things are going to be. (D) The way things were.. Of the answer choices above, answer (A) is the",best,1,management,[-2.375]
"What is a normative perspective? (A) The way things should be. (B) The way things are. (C) The way things are going to be. (D) The way things were.. Of the answer choices above, answer (B) is the",best,0,management,[-2.4375]
"What is a normative perspective? (A) The way things should be. (B) The way things are. (C) The way things are going to be. (D) The way things were.. Of the answer choices above, answer (C) is the",best,0,management,[-2.4375]
"What is a normative perspective? (A) The way things should be. (B) The way things are. (C) The way things are going to be. (D) The way things were.. Of the answer choices above, answer (D) is the",best,0,management,[-2.375]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The level of rivalry (C) The threat of substitute products (D) The power of customers. Of the answer choices above, answer (A) is the",best,0,management,[-2.8125]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The level of rivalry (C) The threat of substitute products (D) The power of customers. Of the answer choices above, answer (B) is the",best,1,management,[-3.0]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The level of rivalry (C) The threat of substitute products (D) The power of customers. Of the answer choices above, answer (C) is the",best,0,management,[-3.0]
"In the 'five forces model', what is the type of competitive activity that exists between organisations? (A) The potential for entry into the industry (B) The level of rivalry (C) The threat of substitute products (D) The power of customers. Of the answer choices above, answer (D) is the",best,0,management,[-2.875]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Nelson Mandela (D) Bill Clinton. Of the answer choices above, answer (A) is the",best,0,management,[-2.9375]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Nelson Mandela (D) Bill Clinton. Of the answer choices above, answer (B) is the",best,0,management,[-3.1875]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Nelson Mandela (D) Bill Clinton. Of the answer choices above, answer (C) is the",best,0,management,[-3.1875]
"Which one of the following political leaders could not be termed a 'transformational' leader? (A) Margaret Thatcher (B) Mikhail Gorbachov (C) Nelson Mandela (D) Bill Clinton. Of the answer choices above, answer (D) is the",best,1,management,[-3.125]
"What is a Gantt chart a type of? (A) Work schedule design (B) Work flow design (C) Work rate design (D) Work output design. Of the answer choices above, answer (A) is the",best,1,management,[-2.5]
"What is a Gantt chart a type of? (A) Work schedule design (B) Work flow design (C) Work rate design (D) Work output design. Of the answer choices above, answer (B) is the",best,0,management,[-2.5]
"What is a Gantt chart a type of? (A) Work schedule design (B) Work flow design (C) Work rate design (D) Work output design. Of the answer choices above, answer (C) is the",best,0,management,[-2.5]
"What is a Gantt chart a type of? (A) Work schedule design (B) Work flow design (C) Work rate design (D) Work output design. Of the answer choices above, answer (D) is the",best,0,management,[-2.4375]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers like to be directed. (C) Workers view physical and mental effort as a natural part of work. (D) Workers like to show initiative.. Of the answer choices above, answer (A) is the",best,0,management,[-2.625]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers like to be directed. (C) Workers view physical and mental effort as a natural part of work. (D) Workers like to show initiative.. Of the answer choices above, answer (B) is the",best,1,management,[-2.8125]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers like to be directed. (C) Workers view physical and mental effort as a natural part of work. (D) Workers like to show initiative.. Of the answer choices above, answer (C) is the",best,0,management,[-2.75]
"Which one of the following is a feature of McGregor's Theory X? (A) Workers enjoy responsibility. (B) Workers like to be directed. (C) Workers view physical and mental effort as a natural part of work. (D) Workers like to show initiative.. Of the answer choices above, answer (D) is the",best,0,management,[-2.625]
"What is the term for power derived from status or position in an organisation? (A) Legitimate (B) Referent (C) Expert (D) Reward. Of the answer choices above, answer (A) is the",best,1,management,[-2.6875]
"What is the term for power derived from status or position in an organisation? (A) Legitimate (B) Referent (C) Expert (D) Reward. Of the answer choices above, answer (B) is the",best,0,management,[-2.6875]
"What is the term for power derived from status or position in an organisation? (A) Legitimate (B) Referent (C) Expert (D) Reward. Of the answer choices above, answer (C) is the",best,0,management,[-2.6875]
"What is the term for power derived from status or position in an organisation? (A) Legitimate (B) Referent (C) Expert (D) Reward. Of the answer choices above, answer (D) is the",best,0,management,[-2.5625]
"Which writer is most associated with bureaucratic structures? (A) Henry Fayol (B) Max Weber (C) Adam Smith (D) Mary Parker Follett. Of the answer choices above, answer (A) is the",best,0,management,[-2.5625]
"Which writer is most associated with bureaucratic structures? (A) Henry Fayol (B) Max Weber (C) Adam Smith (D) Mary Parker Follett. Of the answer choices above, answer (B) is the",best,1,management,[-2.6875]
"Which writer is most associated with bureaucratic structures? (A) Henry Fayol (B) Max Weber (C) Adam Smith (D) Mary Parker Follett. Of the answer choices above, answer (C) is the",best,0,management,[-2.6875]
"Which writer is most associated with bureaucratic structures? (A) Henry Fayol (B) Max Weber (C) Adam Smith (D) Mary Parker Follett. Of the answer choices above, answer (D) is the",best,0,management,[-2.625]
"Who of the following is the industrial philanthropist? (A) Frederick Taylor (B) Henry Ford (C) Max Weber (D) Seebohm Rowntree. Of the answer choices above, answer (A) is the",best,0,management,[-2.6875]
"Who of the following is the industrial philanthropist? (A) Frederick Taylor (B) Henry Ford (C) Max Weber (D) Seebohm Rowntree. Of the answer choices above, answer (B) is the",best,0,management,[-2.75]
"Who of the following is the industrial philanthropist? (A) Frederick Taylor (B) Henry Ford (C) Max Weber (D) Seebohm Rowntree. Of the answer choices above, answer (C) is the",best,0,management,[-2.6875]
"Who of the following is the industrial philanthropist? (A) Frederick Taylor (B) Henry Ford (C) Max Weber (D) Seebohm Rowntree. Of the answer choices above, answer (D) is the",best,1,management,[-2.625]
"Individualism as a guiding moral philosophy was advocated by which economist? (A) John Kenneth Galbraith (B) Milton Friedman (C) John Maynard Keynes (D) Alfred Marshall. Of the answer choices above, answer (A) is the",best,0,management,[-2.25]
"Individualism as a guiding moral philosophy was advocated by which economist? (A) John Kenneth Galbraith (B) Milton Friedman (C) John Maynard Keynes (D) Alfred Marshall. Of the answer choices above, answer (B) is the",best,1,management,[-2.375]
"Individualism as a guiding moral philosophy was advocated by which economist? (A) John Kenneth Galbraith (B) Milton Friedman (C) John Maynard Keynes (D) Alfred Marshall. Of the answer choices above, answer (C) is the",best,0,management,[-2.3125]
"Individualism as a guiding moral philosophy was advocated by which economist? (A) John Kenneth Galbraith (B) Milton Friedman (C) John Maynard Keynes (D) Alfred Marshall. Of the answer choices above, answer (D) is the",best,0,management,[-2.375]
"The Hawthorn Studies are most associated with which writer? (A) Elton Mayo (B) Mary Parker Follett (C) Lillian Gilbreth (D) Frederick Taylor. Of the answer choices above, answer (A) is the",best,1,management,[-2.3125]
"The Hawthorn Studies are most associated with which writer? (A) Elton Mayo (B) Mary Parker Follett (C) Lillian Gilbreth (D) Frederick Taylor. Of the answer choices above, answer (B) is the",best,0,management,[-2.5]
"The Hawthorn Studies are most associated with which writer? (A) Elton Mayo (B) Mary Parker Follett (C) Lillian Gilbreth (D) Frederick Taylor. Of the answer choices above, answer (C) is the",best,0,management,[-2.5]
"The Hawthorn Studies are most associated with which writer? (A) Elton Mayo (B) Mary Parker Follett (C) Lillian Gilbreth (D) Frederick Taylor. Of the answer choices above, answer (D) is the",best,0,management,[-2.4375]
"How can you describe the thinking and outlook of transformational leaders? (A) Operational (B) Functional (C) Developmental (D) Strategic. Of the answer choices above, answer (A) is the",best,0,management,[-2.5625]
"How can you describe the thinking and outlook of transformational leaders? (A) Operational (B) Functional (C) Developmental (D) Strategic. Of the answer choices above, answer (B) is the",best,0,management,[-2.625]
"How can you describe the thinking and outlook of transformational leaders? (A) Operational (B) Functional (C) Developmental (D) Strategic. Of the answer choices above, answer (C) is the",best,0,management,[-2.75]
