preamble,stimulus,is_correct,subject,stimulus_prob
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, answer (A) is the",best,0,philosophy,[-2.051931381225586]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, answer (B) is the",best,0,philosophy,[-1.9884357452392578]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, answer (C) is the",best,0,philosophy,[-2.1289939880371094]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, answer (D) is the",best,1,philosophy,[-2.1284942626953125]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the soul (C) the justice system (D) the body. Of the answer choices above, answer (A) is the",best,0,philosophy,[-1.8708114624023438]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the soul (C) the justice system (D) the body. Of the answer choices above, answer (B) is the",best,1,philosophy,[-1.8193683624267578]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the soul (C) the justice system (D) the body. Of the answer choices above, answer (C) is the",best,0,philosophy,[-1.8069820404052734]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the soul (C) the justice system (D) the body. Of the answer choices above, answer (D) is the",best,0,philosophy,[-1.9763965606689453]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (A) is the",best,0,philosophy,[-2.626361846923828]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (B) is the",best,1,philosophy,[-2.379274368286133]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (C) is the",best,0,philosophy,[-2.360830307006836]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (D) is the",best,0,philosophy,[-2.4983787536621094]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) not of this world (C) nonexistent (D) everywhere in the natural world. Of the answer choices above, answer (A) is the",best,0,philosophy,[-2.0829315185546875]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) not of this world (C) nonexistent (D) everywhere in the natural world. Of the answer choices above, answer (B) is the",best,1,philosophy,[-2.038789749145508]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) not of this world (C) nonexistent (D) everywhere in the natural world. Of the answer choices above, answer (C) is the",best,0,philosophy,[-2.311800003051758]
