preamble,stimulus,is_correct,subject,stimulus_prob
"The Barkhausen criterion for an oscillator (A) Both A and C (B) Loop gain should be unity (C) Loop gain should be less than unity (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-7.725986480712891]
"The Barkhausen criterion for an oscillator (A) Both A and C (B) Loop gain should be unity (C) Loop gain should be less than unity (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-7.569736480712891]
"The Barkhausen criterion for an oscillator (A) Both A and C (B) Loop gain should be unity (C) Loop gain should be less than unity (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.538486480712891]
"The Barkhausen criterion for an oscillator (A) Both A and C (B) Loop gain should be unity (C) Loop gain should be less than unity (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-7.616611480712891]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It loads the circuit moderately. (B) It loads the circuit to maximum extent. (C) It uses centre zero galvanometer instead of voltmeter. (D) It does not load the circuit at all.. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-7.137624740600586]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It loads the circuit moderately. (B) It loads the circuit to maximum extent. (C) It uses centre zero galvanometer instead of voltmeter. (D) It does not load the circuit at all.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-7.481374740600586]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It loads the circuit moderately. (B) It loads the circuit to maximum extent. (C) It uses centre zero galvanometer instead of voltmeter. (D) It does not load the circuit at all.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.442312240600586]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It loads the circuit moderately. (B) It loads the circuit to maximum extent. (C) It uses centre zero galvanometer instead of voltmeter. (D) It does not load the circuit at all.. Of the answer choices above, the best answer choice is (",D,1,electrical_engineering,[-7.426687240600586]
"Which of these sets of logic gates are designated as universal gates? (A) XOR, NOR, NAND. (B) OR, NOT, AND. (C) NOR, NAND, XNOR. (D) NOR, NAND.. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-7.523097991943359]
"Which of these sets of logic gates are designated as universal gates? (A) XOR, NOR, NAND. (B) OR, NOT, AND. (C) NOR, NAND, XNOR. (D) NOR, NAND.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-7.765285491943359]
"Which of these sets of logic gates are designated as universal gates? (A) XOR, NOR, NAND. (B) OR, NOT, AND. (C) NOR, NAND, XNOR. (D) NOR, NAND.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.866847991943359]
"Which of these sets of logic gates are designated as universal gates? (A) XOR, NOR, NAND. (B) OR, NOT, AND. (C) NOR, NAND, XNOR. (D) NOR, NAND.. Of the answer choices above, the best answer choice is (",D,1,electrical_engineering,[-8.05434799194336]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 180°. (B) 30° to 150°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-7.184354782104492]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 180°. (B) 30° to 150°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",B,1,electrical_engineering,[-7.012479782104492]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 180°. (B) 30° to 150°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.051542282104492]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 180°. (B) 30° to 150°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-7.090604782104492]
"A box which tells the effect of inputs on control sub system is known as (A) Data Box. (B) Decision box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-7.121099472045898]
"A box which tells the effect of inputs on control sub system is known as (A) Data Box. (B) Decision box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",B,1,electrical_engineering,[-7.183599472045898]
"A box which tells the effect of inputs on control sub system is known as (A) Data Box. (B) Decision box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.089849472045898]
"A box which tells the effect of inputs on control sub system is known as (A) Data Box. (B) Decision box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-7.058599472045898]
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) zero. (B) same as that produced by one plate. (C) double the field produced by one plate. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-7.206056594848633]
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) zero. (B) same as that produced by one plate. (C) double the field produced by one plate. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-6.987306594848633]
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) zero. (B) same as that produced by one plate. (C) double the field produced by one plate. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-6.862306594848633]
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) zero. (B) same as that produced by one plate. (C) double the field produced by one plate. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-7.190431594848633]
"The resistance in the circuit of the moving coil of a dynamometer wattmeter should be (A) High. (B) Low. (C) Very low. (D) Almost zero.. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-7.485157012939453]
"The resistance in the circuit of the moving coil of a dynamometer wattmeter should be (A) High. (B) Low. (C) Very low. (D) Almost zero.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-7.649219512939453]
"The resistance in the circuit of the moving coil of a dynamometer wattmeter should be (A) High. (B) Low. (C) Very low. (D) Almost zero.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.617969512939453]
"The resistance in the circuit of the moving coil of a dynamometer wattmeter should be (A) High. (B) Low. (C) Very low. (D) Almost zero.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-7.477344512939453]
"The following are the necessary requirements of an oscillator (A) Amplitude stability (B) Both A and B (C) Frequency stability (D) Power stability. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-8.094520568847656]
"The following are the necessary requirements of an oscillator (A) Amplitude stability (B) Both A and B (C) Frequency stability (D) Power stability. Of the answer choices above, the best answer choice is (",B,1,electrical_engineering,[-7.977333068847656]
"The following are the necessary requirements of an oscillator (A) Amplitude stability (B) Both A and B (C) Frequency stability (D) Power stability. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.633583068847656]
"The following are the necessary requirements of an oscillator (A) Amplitude stability (B) Both A and B (C) Frequency stability (D) Power stability. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-7.938270568847656]
"The normal voltage used in directional heating is (A) 15 KV. (B) 33 KV. (C) 66 KV. (D) 1.5 KV.. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-7.508960723876953]
"The normal voltage used in directional heating is (A) 15 KV. (B) 33 KV. (C) 66 KV. (D) 1.5 KV.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-7.657398223876953]
"The normal voltage used in directional heating is (A) 15 KV. (B) 33 KV. (C) 66 KV. (D) 1.5 KV.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.594898223876953]
"The normal voltage used in directional heating is (A) 15 KV. (B) 33 KV. (C) 66 KV. (D) 1.5 KV.. Of the answer choices above, the best answer choice is (",D,1,electrical_engineering,[-7.618335723876953]
"LC oscillators are used for produce a waveform with frequency ranging from (A) 100 KHz to 500 MHz (B) 1 KHz to 1 MHz (C) 1MHz to 100 GHz (D) 1MHz to 500 MHz. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-7.535541534423828]
"LC oscillators are used for produce a waveform with frequency ranging from (A) 100 KHz to 500 MHz (B) 1 KHz to 1 MHz (C) 1MHz to 100 GHz (D) 1MHz to 500 MHz. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-7.410541534423828]
"LC oscillators are used for produce a waveform with frequency ranging from (A) 100 KHz to 500 MHz (B) 1 KHz to 1 MHz (C) 1MHz to 100 GHz (D) 1MHz to 500 MHz. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.598041534423828]
"LC oscillators are used for produce a waveform with frequency ranging from (A) 100 KHz to 500 MHz (B) 1 KHz to 1 MHz (C) 1MHz to 100 GHz (D) 1MHz to 500 MHz. Of the answer choices above, the best answer choice is (",D,1,electrical_engineering,[-8.004291534423828]
"A working diode must have (A) High resistance when forward or reverse biased (B) High resistance when forward biased, while low resistance when reverse bias (C) Low resistance when forward or reverse biased (D) Low resistance when forward biased, while high resistance when reverse bias. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-7.858211517333984]
"A working diode must have (A) High resistance when forward or reverse biased (B) High resistance when forward biased, while low resistance when reverse bias (C) Low resistance when forward or reverse biased (D) Low resistance when forward biased, while high resistance when reverse bias. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-8.053524017333984]
"A working diode must have (A) High resistance when forward or reverse biased (B) High resistance when forward biased, while low resistance when reverse bias (C) Low resistance when forward or reverse biased (D) Low resistance when forward biased, while high resistance when reverse bias. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.616024017333984]
"A working diode must have (A) High resistance when forward or reverse biased (B) High resistance when forward biased, while low resistance when reverse bias (C) Low resistance when forward or reverse biased (D) Low resistance when forward biased, while high resistance when reverse bias. Of the answer choices above, the best answer choice is (",D,1,electrical_engineering,[-8.084774017333984]
"What is the name of the fluorescent material that gives red colour fluorescence? (A) Magnesium silicate. (B) Zinc silicate. (C) Calcium silicate. (D) Zinc sulphide.. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-7.421546936035156]
"What is the name of the fluorescent material that gives red colour fluorescence? (A) Magnesium silicate. (B) Zinc silicate. (C) Calcium silicate. (D) Zinc sulphide.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-7.374671936035156]
"What is the name of the fluorescent material that gives red colour fluorescence? (A) Magnesium silicate. (B) Zinc silicate. (C) Calcium silicate. (D) Zinc sulphide.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-7.491859436035156]
"What is the name of the fluorescent material that gives red colour fluorescence? (A) Magnesium silicate. (B) Zinc silicate. (C) Calcium silicate. (D) Zinc sulphide.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-7.530921936035156]
"How many bits are required to store one BCD digit ? (A) 1 (B) 2 (C) 3 (D) 4. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-6.686128616333008]
"How many bits are required to store one BCD digit ? (A) 1 (B) 2 (C) 3 (D) 4. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-6.561128616333008]
