preamble,stimulus,is_correct,subject
"The Barkhausen criterion for an oscillator (A) Both A and C (B) Loop gain should be unity (C) Loop gain should be less than unity (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It loads the circuit moderately. (B) It loads the circuit to maximum extent. (C) It uses centre zero galvanometer instead of voltmeter. (D) It does not load the circuit at all.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
"Which of these sets of logic gates are designated as universal gates? (A) XOR, NOR, NAND. (B) NOR, NAND. (C) OR, NOT, AND. (D) NOR, NAND, XNOR.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 180°. (B) 30° to 150°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"A box which tells the effect of inputs on control sub system is known as (A) Decision box. (B) Data Box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) same as that produced by one plate. (B) zero. (C) double the field produced by one plate. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"The resistance in the circuit of the moving coil of a dynamometer wattmeter should be (A) High. (B) Low. (C) Very low. (D) Almost zero.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"The following are the necessary requirements of an oscillator (A) Amplitude stability (B) Frequency stability (C) Power stability (D) Both A and B. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
"The normal voltage used in directional heating is (A) 15 KV. (B) 33 KV. (C) 66 KV. (D) 1.5 KV.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
"LC oscillators are used for produce a waveform with frequency ranging from (A) 100 KHz to 500 MHz (B) 1 KHz to 1 MHz (C) 1MHz to 100 GHz (D) 1MHz to 500 MHz. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
"A working diode must have (A) High resistance when forward or reverse biased (B) Low resistance when forward biased, while high resistance when reverse bias (C) High resistance when forward biased, while low resistance when reverse bias (D) Low resistance when forward or reverse biased. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"What is the name of the fluorescent material that gives red colour fluorescence? (A) Magnesium silicate. (B) Zinc silicate. (C) Calcium silicate. (D) Zinc sulphide.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"How many bits are required to store one BCD digit ? (A) 4 (B) 1 (C) 2 (D) 3. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Commutator in DC generator is used for (A) collecting of current (B) reduce losses (C) increase efficiency (D) convert AC armature current in to DC. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
"1 F is theoretically equal to (A) 1 ohm of resistance (B) ratio of 1 V to 1 C (C) none of these (D) ratio of 1 C to 1 V. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
"How many entries will be in the truth table of a 3 input NAND gate ? (A) 3 (B) 6 (C) 9 (D) 8. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
"In decimal number system what is MSD (A) First digit from right to left (B) Middle digit (C) Mean of all digits (D) First digit from left to right. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,electrical_engineering
