preamble,stimulus,is_correct,subject,stimulus_prob
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",A,1,high_school_biology,[-0.24088287353515625]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-3.1783828735351562]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.6783828735351562]
"In a population of giraffes, an environmental change occurs that favors individuals that are tallest. As a result, more of the taller individuals are able to obtain nutrients and survive to pass along their genetic information. This is an example of (A) directional selection. (B) stabilizing selection. (C) sexual selection. (D) disruptive selection.. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-3.2408828735351562]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a deletion of a single nucleotide (C) a single nucleotide substitution of the nucleotide occupying the first codon position (D) a single nucleotide substitution of the nucleotide occupying the third codon position. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-0.8108749389648438]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a deletion of a single nucleotide (C) a single nucleotide substitution of the nucleotide occupying the first codon position (D) a single nucleotide substitution of the nucleotide occupying the third codon position. Of the answer choices above, the best answer choice is (",B,1,high_school_biology,[-2.1233749389648438]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a deletion of a single nucleotide (C) a single nucleotide substitution of the nucleotide occupying the first codon position (D) a single nucleotide substitution of the nucleotide occupying the third codon position. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-1.8108749389648438]
"Which of the changes below following the start codon in an mRNA would most likely have the greatest deleterious effect? (A) a deletion of a nucleotide triplet (B) a deletion of a single nucleotide (C) a single nucleotide substitution of the nucleotide occupying the first codon position (D) a single nucleotide substitution of the nucleotide occupying the third codon position. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-2.2483749389648438]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) produce ATP (C) make glucose (D) make NADH. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-0.7822952270507812]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) produce ATP (C) make glucose (D) make NADH. Of the answer choices above, the best answer choice is (",B,1,high_school_biology,[-1.3447952270507812]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) produce ATP (C) make glucose (D) make NADH. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.2822952270507812]
"The energy given up by electrons as they move through the electron transport chain is used to (A) break down glucose (B) produce ATP (C) make glucose (D) make NADH. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-2.9697952270507812]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) methane (D) oxygen. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-0.564727783203125]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) methane (D) oxygen. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-1.939727783203125]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) methane (D) oxygen. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.439727783203125]
"During the period when life is believed to have begun, the atmosphere on primitive Earth contained abundant amounts of all the following gases EXCEPT (A) hydrogen (B) ammonia (C) methane (D) oxygen. Of the answer choices above, the best answer choice is (",D,1,high_school_biology,[-2.314727783203125]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, the best answer choice is (",A,1,high_school_biology,[-0.7442626953125]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-2.3692626953125]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-1.8692626953125]
"Convergent evolution is best exemplified by which of the following? (A) The wings of an insect and the wings of a bird (B) The pectoral fins of fish and the front legs of cats (C) The presence of a notochord in all chordate embryos (D) The leaves of an oak tree and the spines of a cactus. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-1.7442626953125]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) cross section of a leaf (D) longitudinal section of a shoot tip. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-1.0239105224609375]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) cross section of a leaf (D) longitudinal section of a shoot tip. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-3.4614105224609375]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) cross section of a leaf (D) longitudinal section of a shoot tip. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.1489105224609375]
"Which of the following would most likely provide examples of mitotic cell divisions? (A) cross section of muscle tissue (B) cross section of an anther (site of pollen production in a flower) (C) cross section of a leaf (D) longitudinal section of a shoot tip. Of the answer choices above, the best answer choice is (",D,1,high_school_biology,[-1.0239105224609375]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-0.8993072509765625]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-3.1493072509765625]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.7743072509765625]
"Invertebrate immune systems possess which of the following? (A) Cytotoxic T-lymphocytes (B) B-cells (C) Helper T-cells (D) Phagocytes. Of the answer choices above, the best answer choice is (",D,1,high_school_biology,[-1.0243072509765625]
"Two unrelated species evolve in a way that makes them more similar. (A) Divergent evolution (B) Convergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-0.494598388671875]
"Two unrelated species evolve in a way that makes them more similar. (A) Divergent evolution (B) Convergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",B,1,high_school_biology,[-2.619598388671875]
"Two unrelated species evolve in a way that makes them more similar. (A) Divergent evolution (B) Convergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.619598388671875]
"Two unrelated species evolve in a way that makes them more similar. (A) Divergent evolution (B) Convergent evolution (C) Parallel evolution (D) Coevolution. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-2.619598388671875]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (B) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (C) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",A,1,high_school_biology,[-0.4613189697265625]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (B) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (C) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-2.4613189697265625]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (B) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (C) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.5863189697265625]
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems? (A) The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires. (B) The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species. (C) The fires drive off herbivores whose plant-based diets reduce the amount of vegetation. (D) The fires dry out the soil and decrease the chance of flooding after heavy rains.. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-2.0863189697265625]
"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations? (A) Selection for larger female algae-eaters, bearing broods composed of more, and larger, young (B) Selection for drab coloration of the algae-eaters (C) Selection for nocturnal algae-eaters (active only at night) (D) Selection for algae-eaters that become sexually mature at smaller overall body sizes. Of the answer choices above, the best answer choice is (",A,1,high_school_biology,[-0.9011688232421875]
"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations? (A) Selection for larger female algae-eaters, bearing broods composed of more, and larger, young (B) Selection for drab coloration of the algae-eaters (C) Selection for nocturnal algae-eaters (active only at night) (D) Selection for algae-eaters that become sexually mature at smaller overall body sizes. Of the answer choices above, the best answer choice is (",B,0,high_school_biology,[-1.5886688232421875]
"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations? (A) Selection for larger female algae-eaters, bearing broods composed of more, and larger, young (B) Selection for drab coloration of the algae-eaters (C) Selection for nocturnal algae-eaters (active only at night) (D) Selection for algae-eaters that become sexually mature at smaller overall body sizes. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.1511688232421875]
"In a hypothetical environment, fishes called pike-cichlids are visual predators of algae-eating fish (i.e., they locate their prey by sight). If a population of algae-eaters experiences predation pressure from pike-cichlids, which of the following should least likely be observed in the algae-eater population over the course of many generations? (A) Selection for larger female algae-eaters, bearing broods composed of more, and larger, young (B) Selection for drab coloration of the algae-eaters (C) Selection for nocturnal algae-eaters (active only at night) (D) Selection for algae-eaters that become sexually mature at smaller overall body sizes. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-1.9011688232421875]
"A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery? (A) Helper T cells (B) Memory cells (C) Cytotoxic T cells (D) Plasma cells. Of the answer choices above, the best answer choice is (",A,0,high_school_biology,[-0.5146331787109375]
"A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery? (A) Helper T cells (B) Memory cells (C) Cytotoxic T cells (D) Plasma cells. Of the answer choices above, the best answer choice is (",B,1,high_school_biology,[-2.6396331787109375]
"A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery? (A) Helper T cells (B) Memory cells (C) Cytotoxic T cells (D) Plasma cells. Of the answer choices above, the best answer choice is (",C,0,high_school_biology,[-2.8896331787109375]
"A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery? (A) Helper T cells (B) Memory cells (C) Cytotoxic T cells (D) Plasma cells. Of the answer choices above, the best answer choice is (",D,0,high_school_biology,[-2.1396331787109375]
