preamble,stimulus,is_correct,subject,stimulus_prob
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 8 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",A,0,high_school_computer_science,[-5.575182914733887]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 8 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",B,1,high_school_computer_science,[-5.793932914733887]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 8 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",C,0,high_school_computer_science,[-6.739245414733887]
"Let x = 1. What is x << 3 in Python 3? (A) 1 (B) 8 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",D,0,high_school_computer_science,[-6.520495414733887]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) str(x) (D) int(x [,base]). Of the answer choices above, the best answer choice is (",A,0,high_school_computer_science,[-5.425832748413086]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) str(x) (D) int(x [,base]). Of the answer choices above, the best answer choice is (",B,0,high_school_computer_science,[-7.238332748413086]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) str(x) (D) int(x [,base]). Of the answer choices above, the best answer choice is (",C,0,high_school_computer_science,[-6.449270248413086]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) str(x) (D) int(x [,base]). Of the answer choices above, the best answer choice is (",D,1,high_school_computer_science,[-5.691457748413086]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The packets must be reassembled upon receipt. (B) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (C) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (D) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.. Of the answer choices above, the best answer choice is (",A,1,high_school_computer_science,[-5.370708465576172]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The packets must be reassembled upon receipt. (B) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (C) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (D) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.. Of the answer choices above, the best answer choice is (",B,0,high_school_computer_science,[-5.628520965576172]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The packets must be reassembled upon receipt. (B) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (C) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (D) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.. Of the answer choices above, the best answer choice is (",C,0,high_school_computer_science,[-7.284770965576172]
