preamble,stimulus,is_correct,subject
"Which statement best explains the purpose of Hart's distinction between 'being obliged' and 'having an obligation'? (A) It demonstrates the difference between the internal and the external aspect of a rule. (B) It refutes the natural lawyer' view of the role of morality in law. (C) It explains the nature of power-conferring rules. (D) It illuminates the concept of a rule.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"Maine's famous aphorism that 'the movement of progressive societies has hitherto been a movement from Status to Contract' is often misunderstood. In what way? (A) His concept of status is misrepresented. (B) It is misinterpreted as a prediction. (C) It is taken literally. (D) His idea is considered inapplicable to Western legal systems.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"Which of the following factors contributed significantly to the revival of natural law in the 20th century? (A) The international recognition of human rights after World War II (B) Depression of the 1930 (C) The rise of Fascism (D) The Bolshevik Revolution. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Which of the following criticisms of Llewellyn's distinction between the grand and formal styles of legal reasoning is the most compelling? (A) It is misleading to pigeon-hole judges in this way. (B) There is no distinction between the two forms of legal reasoning. (C) Judges are appointed to interpret the law, not to make it. (D) Judicial reasoning is always formal.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Which proposition below is the most consistent with what Rawls claims the POP would opt for in respect of 'social primary goods'? (A) The POP will choose wealth over a compassionate society. (B) The POP will choose equality over power. (C) The POP will be unselfish. (D) The POP will choose to protect the disabled.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"The ________ School believes that promoting market efficiency should be the central goal of legal decision-making. (A) Critical Legal Studies (B) Law and Economics (C) Historical (D) Natural Law. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"Which statement below is the least likely to follow logically from Austin's argument that a sanction consists of the smallest chance of incurring the smallest evil? (A) All commands include some sanction. (B) A command confers power to change one's legal status. (C) The concept of a command contains the likelihood that a sanction will follow failure to obey the command. (D) Without a sanction the mere expression of a wish is not a command.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"How does Weber solve the 'England problem'? (A) By distinguishing certain features of the English legal system that facilitated the development of capitalism. (B) By denying its existence. (C) By explaining the difference between the common law and civil law. (D) By recognizing the importance of legitimate domination.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Cicero's conception of natural law is 'based on the idea that 'true law is right reason in agreement with Nature.' Reason is a key element because: (A) The principles of natural law are discoverable by reason. (B) It is a sin for humans not to apply reason. (C) Natural law does not apply without good reason. (D) The law of nature is the basis of all positive law.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Catharine MacKinnon argues that since men dominate women, the question is ultimately one of power. Which proposition below is the most inconsistent with this argument? (A) Equality is impossible because men define women as different. (B) The idea of 'woman' needs to be redefined. (C) The world is phallocentric and oppressive. (D) Women can achieve equality through political pressure.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"Who was an exponent of “natural law with a variable content”? (A) Stammler (B) John Rawls (C) Jerome Hall (D) John Finns. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"The ________ School of jurisprudence asserts that the law is a means of achieving and advancing certain sociological goals. (A) Historical (B) Analytical (C) Command (D) Sociological. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"According to Malinowski, the Trobriand Islanders organized their society around what concept? (A) Conflict. (B) Love. (C) War. (D) Reciprocity.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"In Justice for Hedgehogs Dworkin endorses 'Hume's principle'. What does he understand by this idea? (A) That facts about the world or human nature cannot normally ordain what ought to be (B) That there is no distinction between law and morality. (C) That there is a distinction between right and wrong. (D) That human rights are fundamentally unsound.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Lyotard's dictum 'I define postmodern as incredulity toward meta-narratives' means: (A) Individual stories are suspect. (B) The law is static. (C) Literature reproduces repression. (D) Universal values are meaningless.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"Habermas distinguishes between 'law as medium' and 'law as institution'. Which statement below most accurately describes this distinction? (A) Law as medium' describes law as a body of formal, general rules that control the state and the economy; 'law as institution' inhabits the 'lifeworld' and expresses its shared values and norms in institutional form. (B) Law as medium' consists of the manner in which law is presented by the media; 'law as institution' describes the courts. (C) Law as medium' concerns the manner in which the law expresses its rules in simplified terms; 'law as institution' refers to the formal declaration of laws by legislative bodies. (D) Law as medium' is defined as the intermediate stage of legal development; 'law as institution' is the advanced stage.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"To claim that one has a prima facie duty to obey the law is to assert that: (A) The obligation arises independently of the precise legal provisions involved - unless there are grounds to justify a specific exception. (B) One is under a duty to obey the law without exception, regardless of its content. (C) There is no duty to obey a law to which one hasn't agreed. (D) The duty applies only to those who are directly affected by the law in question.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Dworkin contends that to every legal question there is only one right answer. Which proposition below is most inconsistent with this claim? (A) Judges exercise strong discretion. (B) In hard cases judges generally decide cases on the basis of rights. (C) The rights of the parties feature in the determination of most cases before the courts. (D) Judges seek the best 'fit' with constitutional and institutional history.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Robert makes the following statement while negotiating the sale of his car, 'This is the sharpest car on the market.' His statement may support a claim for: (A) none of the above (B) misrepresentation (C) fraud (D) fraud and misrepresentation. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"According to Austin the science of jurisprudence is concerned with (A) Morality (B) Positive law (C) Divine law (D) Natural law. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"Which of the following statements best captures the nature of Fuller's 'inner morality of law'? (A) A positivist view of law. (B) A morality of aspiration. (C) An Aquinian concept of natural law. (D) A rejection of the 'harm principle'.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"Hart argues that secondary rules are 'power-conferring' but this seems unconvincing in the case of the rule of recognition because: (A) It is not a social rule. (B) It applies only in the case of unitary constitutions. (C) It fails to specify the source of authority. (D) It both confers power and imposes duties on judges to decide cases.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"Adherence to precedent is called the doctrine of ________. (A) nolo contendere (B) substantial performance (C) commercial impracticability (D) stare decisis. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"Which proposition below may be characterized as the most powerful refutation by Hart of Lord Devlin's argument? (A) Homosexual acts cause public outrage. (B) Society has no right to preserve its moral and social cohesion through the criminal law. (C) The courts are the best place to resolve moral questions such as those concerning homosexuality and prostitution. (D) The law is anachronistic.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"What relationships to the type of law that exists in society does Durkheim identify between (1) mechanical and (2) organic solidarity? (A) Mechanical solidarity produces conflict in society. Organic solidarity leads to greater social harmony. (B) Mechanical solidarity leads to repressive law. Organic solidarity leads to restitutive law. (C) Mechanical solidarity fosters efficiency. Organic solidarity leads to inefficiency. (D) Mechanical solidarity generates a more democratic legal system; organic solidarity a more authoritarian legal system.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"Which of the following quotations best describes the central thesis of difference feminism? (A) There are fundamental differences between individual women.' (B) Women look to context, whereas men appeal to neutral, abstract notions of justice.' (C) Men and women have different conceptions of the feminist project.' (D) Men are unable to comprehend their differences from women.'. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
"Which statement below is the least likely to follow logically from Dworkin's notion of law as integrity? (A) It opens the door to authoritarianism. (B) It is likely to generate more individual rights and greater liberty. (C) It renders a community more genuine. (D) It improves the moral justification for the exercise of political power.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Which statement best describes one of Dworkin's central arguments in Justice for Hedgehogs? (A) Morality plays no role in the concept of law. (B) Moral arguments operate only in hard cases. (C) The law dictates what moral values should affect our ethical behaviour. (D) Moral values are both independent and objective.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,jurisprudence
"Which statement best describes the nature and function of Kelsen's Grundnorm? (A) A presupposition that facilitates our understanding of the legal system. (B) The ultimate source of a legal system's morality. (C) The rule that distinguishes norms from habits of obedience. (D) The constitution of a state.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,jurisprudence
"Critical Legal Studies (CLS) is often compared to (or with) American realism. Which of the following statements is inaccurate? (A) Both are concerned with the 'law in action.' (B) Both adopt a liberal ideology. (C) Both are anti-formalist and sceptical (D) Both attempt to demystify the law.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,jurisprudence
