preamble,stimulus,is_correct,subject,stimulus_prob
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, the best answer choice is (",A,0,philosophy,[-8.131423950195312]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, the best answer choice is (",B,0,philosophy,[-8.506423950195312]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, the best answer choice is (",C,0,philosophy,[-8.240798950195312]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) unimportant to most people (C) rarely viewed (D) not essential to our existence. Of the answer choices above, the best answer choice is (",D,1,philosophy,[-8.318923950195312]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body (D) the soul. Of the answer choices above, the best answer choice is (",A,0,philosophy,[-7.954509735107422]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body (D) the soul. Of the answer choices above, the best answer choice is (",B,0,philosophy,[-8.493572235107422]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body (D) the soul. Of the answer choices above, the best answer choice is (",C,0,philosophy,[-8.048259735107422]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the state (B) the justice system (C) the body (D) the soul. Of the answer choices above, the best answer choice is (",D,1,philosophy,[-8.149822235107422]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness (D) a good will. Of the answer choices above, the best answer choice is (",A,0,philosophy,[-8.035585403442383]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness (D) a good will. Of the answer choices above, the best answer choice is (",B,0,philosophy,[-9.176210403442383]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness (D) a good will. Of the answer choices above, the best answer choice is (",C,0,philosophy,[-9.176210403442383]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) good consequences (C) happiness (D) a good will. Of the answer choices above, the best answer choice is (",D,1,philosophy,[-8.785585403442383]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world (D) not of this world. Of the answer choices above, the best answer choice is (",A,0,philosophy,[-8.303157806396484]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world (D) not of this world. Of the answer choices above, the best answer choice is (",B,0,philosophy,[-8.232845306396484]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world (D) not of this world. Of the answer choices above, the best answer choice is (",C,0,philosophy,[-7.920345306396484]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) everywhere in the natural world (D) not of this world. Of the answer choices above, the best answer choice is (",D,1,philosophy,[-8.295345306396484]
"In Aristotle’s terminology, incontinence is when: (A) one does not know that one’s actions are wrong. (B) one knows that one’s feelings are inappropriate, and does not act on them. (C) one does the right action, but for the wrong reason. (D) one knows that one’s actions are wrong, but does them anyway.. Of the answer choices above, the best answer choice is (",A,0,philosophy,[-8.410879135131836]
"In Aristotle’s terminology, incontinence is when: (A) one does not know that one’s actions are wrong. (B) one knows that one’s feelings are inappropriate, and does not act on them. (C) one does the right action, but for the wrong reason. (D) one knows that one’s actions are wrong, but does them anyway.. Of the answer choices above, the best answer choice is (",B,0,philosophy,[-8.668691635131836]
"In Aristotle’s terminology, incontinence is when: (A) one does not know that one’s actions are wrong. (B) one knows that one’s feelings are inappropriate, and does not act on them. (C) one does the right action, but for the wrong reason. (D) one knows that one’s actions are wrong, but does them anyway.. Of the answer choices above, the best answer choice is (",C,0,philosophy,[-8.621816635131836]
