preamble,stimulus,is_correct,subject,stimulus_prob
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media tour (B) Media release (C) Press room (D) Promotional days/weeks. Of the answer choices above, the best answer choice is (",A,1,public_relations,[-0.018049240112304688]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media tour (B) Media release (C) Press room (D) Promotional days/weeks. Of the answer choices above, the best answer choice is (",B,0,public_relations,[-5.564924240112305]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media tour (B) Media release (C) Press room (D) Promotional days/weeks. Of the answer choices above, the best answer choice is (",C,0,public_relations,[-5.596174240112305]
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media tour (B) Media release (C) Press room (D) Promotional days/weeks. Of the answer choices above, the best answer choice is (",D,0,public_relations,[-5.174299240112305]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, the best answer choice is (",A,0,public_relations,[-1.5957317352294922]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, the best answer choice is (",B,1,public_relations,[-1.1738567352294922]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, the best answer choice is (",C,0,public_relations,[-1.2988567352294922]
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, the best answer choice is (",D,0,public_relations,[-1.6269817352294922]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) consumer relations (C) employee relations (D) public issues. Of the answer choices above, the best answer choice is (",A,0,public_relations,[-4.003116607666016]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) consumer relations (C) employee relations (D) public issues. Of the answer choices above, the best answer choice is (",B,1,public_relations,[-0.08124160766601562]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) consumer relations (C) employee relations (D) public issues. Of the answer choices above, the best answer choice is (",C,0,public_relations,[-3.4249916076660156]
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) consumer relations (C) employee relations (D) public issues. Of the answer choices above, the best answer choice is (",D,0,public_relations,[-3.8624916076660156]
"In what year did the BBC start broadcasting radio? (A) 1922 (B) 1917 (C) 1925 (D) 1927. Of the answer choices above, the best answer choice is (",A,1,public_relations,[-0.5195484161376953]
"In what year did the BBC start broadcasting radio? (A) 1922 (B) 1917 (C) 1925 (D) 1927. Of the answer choices above, the best answer choice is (",B,0,public_relations,[-1.5507984161376953]
"In what year did the BBC start broadcasting radio? (A) 1922 (B) 1917 (C) 1925 (D) 1927. Of the answer choices above, the best answer choice is (",C,0,public_relations,[-2.1914234161376953]
"In what year did the BBC start broadcasting radio? (A) 1922 (B) 1917 (C) 1925 (D) 1927. Of the answer choices above, the best answer choice is (",D,0,public_relations,[-2.5507984161376953]
"________ advertising campaigns are focused on gathering support for a particular message or cause. (A) Product-oriented (B) Idea-oriented (C) Person-oriented (D) Message-oriented. Of the answer choices above, the best answer choice is (",A,0,public_relations,[-2.500120162963867]
"________ advertising campaigns are focused on gathering support for a particular message or cause. (A) Product-oriented (B) Idea-oriented (C) Person-oriented (D) Message-oriented. Of the answer choices above, the best answer choice is (",B,1,public_relations,[-0.9844951629638672]
"________ advertising campaigns are focused on gathering support for a particular message or cause. (A) Product-oriented (B) Idea-oriented (C) Person-oriented (D) Message-oriented. Of the answer choices above, the best answer choice is (",C,0,public_relations,[-1.5782451629638672]
"________ advertising campaigns are focused on gathering support for a particular message or cause. (A) Product-oriented (B) Idea-oriented (C) Person-oriented (D) Message-oriented. Of the answer choices above, the best answer choice is (",D,0,public_relations,[-1.1251201629638672]
"Why should a successful public relations counselor continually review present and future realities for an organization? (A) to interpret trends for management (B) to develop a vision statement (C) to interpret the organization's business plan (D) to consider the role public relations might play. Of the answer choices above, the best answer choice is (",A,1,public_relations,[-0.10761070251464844]
"Why should a successful public relations counselor continually review present and future realities for an organization? (A) to interpret trends for management (B) to develop a vision statement (C) to interpret the organization's business plan (D) to consider the role public relations might play. Of the answer choices above, the best answer choice is (",B,0,public_relations,[-3.9201107025146484]
