preamble,stimulus,is_correct,subject
"Which common public relations tactic involves sending journalists on visits to appropriate locations? (A) Media tour (B) Media release (C) Press room (D) Promotional days/weeks. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,public_relations
"You are the vice president of public relations for a corporation that produces a well-known brand of food products. In the Albany, New York, market, one of your products has recently been found to have some contamination. While apparently not fatal, it has given a large number of consumers severe stomach cramps and other intestinal problems. The cause has been traced back to your product, which is sold throughout the nation. Your CEO wants to know what you would advise to keep the situation from becoming a public relations disaster. What should you recommend? (A) Quickly investigate to make certain your product is definitely the cause of the illness. (B) Stop all sales of the product throughout the nation and issue a recall for that product. (C) Stop sales of the product in the Albany, New York, market and issue a recall for that product. (D) Issue a press release to the Albany, New York, market explaining how to treat the symptoms.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,public_relations
"In public relations, ________ deals with an organization's ability to satisfy and create a positive experience for its consumers. (A) community relations (B) consumer relations (C) employee relations (D) public issues. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,public_relations
"In what year did the BBC start broadcasting radio? (A) 1922 (B) 1917 (C) 1925 (D) 1927. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,public_relations
"________ advertising campaigns are focused on gathering support for a particular message or cause. (A) Product-oriented (B) Idea-oriented (C) Person-oriented (D) Message-oriented. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,public_relations
"Why should a successful public relations counselor continually review present and future realities for an organization? (A) to interpret trends for management (B) to develop a vision statement (C) to interpret the organization's business plan (D) to consider the role public relations might play. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,public_relations
"Which of these definitions best describes the 'spiral of silence'? (A) When victims of abuse remain silent about the abuse (B) When people hide their opinions if they do not agree with the majority (C) When people hide their opinions if they are in disagreement with their close peers or family members (D) When public relations uses opinion poll results to generate support for a particular issue. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,public_relations
"What two elements do the planning models of Hendrix (2002), Kendall (1999), Merston (1963) and Parkinson and Ekachai (2006) have in common? (A) Research and evaluation (B) Strategy and evaluation (C) Strategy and implementation (D) Objectives and implementation. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,public_relations
"At which stage in the planning process are the objectives decided on? (A) Planning the program (B) Defining the program (C) Taking action and implementing ideas (D) Evaluation of the program. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,public_relations
"Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs? (A) ingratiation (B) distancing (C) nonexistence (D) downplaying. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",D,public_relations
"How much has the number of practitioners working in consultancies in the UK grown since 25 years ago? (A) Tripled (B) It hasn't (C) Doubled (D) Quadrupled. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,public_relations
