preamble,stimulus,is_correct,subject,stimulus_prob
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-0.35143089294433594]
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-2.304555892944336]
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-2.445180892944336]
"What is the structure of the United Nations Security Council? (A) 5 permanent members with veto power, 10 rotating members with no veto power (B) 5 permanent members and 10 rotating members, all with veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-2.671743392944336]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-2.439188003540039]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-0.6579380035400391]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-3.329813003540039]
"What was the significance of the Gulf of Tonkin resolution? (A) It illustrated the influence of public opinion on US foreign policy (B) It enhanced Congressional control over the Vietnam War (C) It curtailed US involvement in Vietnam (D) It allowed the US to intensify its involvement in Vietnam. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-1.126688003540039]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-4.412836074829102]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, the best answer choice is (",B,1,us_foreign_policy,[-0.16283607482910156]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-3.4284610748291016]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-2.8190860748291016]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-3.9271278381347656]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-2.7552528381347656]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-2.3177528381347656]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Jimmy Carter (C) Ronald Reagan (D) Richard Nixon. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-0.22400283813476562]
"The Strategic Arms Reduction Treaty was the first accord (A) mandating the elimination of many long-range nuclear missiles. (B) on nuclear weapons signed between the United States and the Soviet Union. (C) cutting conventional arms in Europe. (D) to be rejected by the U.S. Senate.. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-2.44720458984375]
"The Strategic Arms Reduction Treaty was the first accord (A) mandating the elimination of many long-range nuclear missiles. (B) on nuclear weapons signed between the United States and the Soviet Union. (C) cutting conventional arms in Europe. (D) to be rejected by the U.S. Senate.. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-0.21282958984375]
"The Strategic Arms Reduction Treaty was the first accord (A) mandating the elimination of many long-range nuclear missiles. (B) on nuclear weapons signed between the United States and the Soviet Union. (C) cutting conventional arms in Europe. (D) to be rejected by the U.S. Senate.. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-3.57220458984375]
"The Strategic Arms Reduction Treaty was the first accord (A) mandating the elimination of many long-range nuclear missiles. (B) on nuclear weapons signed between the United States and the Soviet Union. (C) cutting conventional arms in Europe. (D) to be rejected by the U.S. Senate.. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-3.07220458984375]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, the best answer choice is (",A,1,us_foreign_policy,[-1.2958660125732422]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-3.131803512573242]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-0.7177410125732422]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, the best answer choice is (",D,0,us_foreign_policy,[-2.202116012573242]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) All of the above (D) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-2.610994338989258]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) All of the above (D) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-3.759431838989258]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) All of the above (D) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US. Of the answer choices above, the best answer choice is (",C,0,us_foreign_policy,[-1.1422443389892578]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) All of the above (D) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US. Of the answer choices above, the best answer choice is (",D,1,us_foreign_policy,[-0.5953693389892578]
"What was the 'New Populism'? (A) A strand of internationalist sentiment (B) An expression of American cultural superiority (C) Increased incorporation of public opinion in foreign policy making (D) A strand of neo-isolationist sentiment. Of the answer choices above, the best answer choice is (",A,0,us_foreign_policy,[-1.7653656005859375]
"What was the 'New Populism'? (A) A strand of internationalist sentiment (B) An expression of American cultural superiority (C) Increased incorporation of public opinion in foreign policy making (D) A strand of neo-isolationist sentiment. Of the answer choices above, the best answer choice is (",B,0,us_foreign_policy,[-1.6559906005859375]
