preamble,stimulus,is_correct,subject,stimulus_prob
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles. (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (A) is the",best,0,anatomy,[-1.2924423217773438]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles. (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (B) is the",best,0,anatomy,[-1.2829227447509766]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles. (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (C) is the",best,1,anatomy,[-1.2510013580322266]
"A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral (A) paralysis of the facial muscles and loss of taste. (B) paralysis of the facial muscles, loss of taste and lacrimation. (C) paralysis of the facial muscles. (D) paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.. Of the answer choices above, answer (D) is the",best,0,anatomy,[-1.383026123046875]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (A) is the",best,0,anatomy,[-1.9817028045654297]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (B) is the",best,0,anatomy,[-1.7720279693603516]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (C) is the",best,1,anatomy,[-1.7527618408203125]
"A ""dished face"" profile is often associated with (A) a protruding mandible due to reactivation of the condylar cartilage by acromegaly. (B) an enlarged frontal bone due to hydrocephaly. (C) a recessive maxilla due to failure of elongation of the cranial base. (D) defective development of the maxillary air sinus.. Of the answer choices above, answer (D) is the",best,0,anatomy,[-1.8127098083496094]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Bladder (C) Ureter (D) Urethra. Of the answer choices above, answer (A) is the",best,0,anatomy,[-1.7830810546875]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Bladder (C) Ureter (D) Urethra. Of the answer choices above, answer (B) is the",best,1,anatomy,[-1.5028076171875]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Bladder (C) Ureter (D) Urethra. Of the answer choices above, answer (C) is the",best,0,anatomy,[-2.2334060668945312]
"Which of the following best describes the structure that collects urine in the body? (A) Kidney (B) Bladder (C) Ureter (D) Urethra. Of the answer choices above, answer (D) is the",best,0,anatomy,[-1.6564750671386719]
"Which of the following structures is derived from ectomesenchyme? (A) Melanocytes (B) Motor neurons (C) Skeletal muscles (D) Sweat glands. Of the answer choices above, answer (A) is the",best,1,anatomy,[-2.2685699462890625]
"Which of the following structures is derived from ectomesenchyme? (A) Melanocytes (B) Motor neurons (C) Skeletal muscles (D) Sweat glands. Of the answer choices above, answer (B) is the",best,0,anatomy,[-2.254880905151367]
"Which of the following structures is derived from ectomesenchyme? (A) Melanocytes (B) Motor neurons (C) Skeletal muscles (D) Sweat glands. Of the answer choices above, answer (C) is the",best,0,anatomy,[-2.292936325073242]
"Which of the following structures is derived from ectomesenchyme? (A) Melanocytes (B) Motor neurons (C) Skeletal muscles (D) Sweat glands. Of the answer choices above, answer (D) is the",best,0,anatomy,[-2.493875503540039]
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney? (A) Glomerulus (B) Afferent arteriole (C) Loop of Henle (D) Renal pelvis. Of the answer choices above, answer (A) is the",best,1,anatomy,[-2.4502029418945312]
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney? (A) Glomerulus (B) Afferent arteriole (C) Loop of Henle (D) Renal pelvis. Of the answer choices above, answer (B) is the",best,0,anatomy,[-2.3836536407470703]
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney? (A) Glomerulus (B) Afferent arteriole (C) Loop of Henle (D) Renal pelvis. Of the answer choices above, answer (C) is the",best,0,anatomy,[-2.449443817138672]
"Which of the following describes the cluster of blood capillaries found in each nephron in the kidney? (A) Glomerulus (B) Afferent arteriole (C) Loop of Henle (D) Renal pelvis. Of the answer choices above, answer (D) is the",best,0,anatomy,[-2.467245101928711]
"A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra. (A) They will be unable to breathe without life support. (B) They will only be able to breathe quietly. (C) It is impossible to predict an effect on breathing. (D) Breathing will be unaffected.. Of the answer choices above, answer (A) is the",best,0,anatomy,[-1.035207748413086]
"A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra. (A) They will be unable to breathe without life support. (B) They will only be able to breathe quietly. (C) It is impossible to predict an effect on breathing. (D) Breathing will be unaffected.. Of the answer choices above, answer (B) is the",best,1,anatomy,[-0.8411941528320312]
"A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra. (A) They will be unable to breathe without life support. (B) They will only be able to breathe quietly. (C) It is impossible to predict an effect on breathing. (D) Breathing will be unaffected.. Of the answer choices above, answer (C) is the",best,0,anatomy,[-0.7674999237060547]
"A patient suffers a broken neck with damage to the spinal cord at the level of the sixth cervical vertebra. (A) They will be unable to breathe without life support. (B) They will only be able to breathe quietly. (C) It is impossible to predict an effect on breathing. (D) Breathing will be unaffected.. Of the answer choices above, answer (D) is the",best,0,anatomy,[-0.9542217254638672]
