preamble,stimulus,is_correct,subject,stimulus_prob
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-1.3296089172363281]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (B) is the",best,1,high_school_chemistry,[-1.1161651611328125]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-1.337310791015625]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-1.3963623046875]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (A) is the",best,1,high_school_chemistry,[-1.348794937133789]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-1.2542057037353516]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-1.2298583984375]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-1.3376998901367188]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) ionic bonding (B) nonpolar covalent bonding (C) covalent network bonding (D) metallic bonding. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-0.8770427703857422]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) ionic bonding (B) nonpolar covalent bonding (C) covalent network bonding (D) metallic bonding. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-0.9263076782226562]
