preamble,stimulus,is_correct,subject,stimulus_prob
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-2.488719940185547]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (B) is the",best,1,high_school_chemistry,[-2.4285240173339844]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-2.5523853302001953]
"London dispersion forces are caused by (A) the three-dimensional intermolecular bonding present in all covalent substances (B) temporary dipoles created by the position of electrons around the nuclei in a molecule (C) the uneven electron-to-proton ratio found on individual atoms of a molecule (D) the electronegativity differences between the different atoms in a molecule. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-2.5588912963867188]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (A) is the",best,1,high_school_chemistry,[-2.782726287841797]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-2.797740936279297]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (C) is the",best,0,high_school_chemistry,[-2.774749755859375]
"Carbon has an atomic radius of 77 pm and a first ionization energy of 1086 kJ/mol. (A) 70 pm, 1402 kJ/mol (B) 86 pm, 898 kJ/mol (C) 135 pm, 523 kJ/mol (D) 40 pm, 995 kJ/mol. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-2.9629383087158203]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) ionic bonding (B) nonpolar covalent bonding (C) covalent network bonding (D) metallic bonding. Of the answer choices above, answer (A) is the",best,0,high_school_chemistry,[-2.127735137939453]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) ionic bonding (B) nonpolar covalent bonding (C) covalent network bonding (D) metallic bonding. Of the answer choices above, answer (B) is the",best,0,high_school_chemistry,[-1.9996147155761719]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) ionic bonding (B) nonpolar covalent bonding (C) covalent network bonding (D) metallic bonding. Of the answer choices above, answer (C) is the",best,1,high_school_chemistry,[-2.0985965728759766]
"An unknown substance is found to have a high melting point. In addition, it is a poor conductor of electricity and does not dissolve in water. The substance most likely contains (A) ionic bonding (B) nonpolar covalent bonding (C) covalent network bonding (D) metallic bonding. Of the answer choices above, answer (D) is the",best,0,high_school_chemistry,[-2.199972152709961]
