preamble,stimulus,is_correct,subject,stimulus_prob
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the cornea and lens (C) too much curvature of the iris and lens (D) too little curvature of the iris and lens. Of the answer choices above, answer (A) is the",best,0,high_school_psychology,[-18.75971031188965]
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the cornea and lens (C) too much curvature of the iris and lens (D) too little curvature of the iris and lens. Of the answer choices above, answer (B) is the",best,1,high_school_psychology,[-18.75971031188965]
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the cornea and lens (C) too much curvature of the iris and lens (D) too little curvature of the iris and lens. Of the answer choices above, answer (C) is the",best,0,high_school_psychology,[-18.75971031188965]
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the cornea and lens (C) too much curvature of the iris and lens (D) too little curvature of the iris and lens. Of the answer choices above, answer (D) is the",best,0,high_school_psychology,[-18.75971031188965]
"Delusions of grandeur are most characteristic of (A) OCD. (B) schizophrenia. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, answer (A) is the",best,0,high_school_psychology,[-18.07371711730957]
"Delusions of grandeur are most characteristic of (A) OCD. (B) schizophrenia. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, answer (B) is the",best,1,high_school_psychology,[-18.07371711730957]
"Delusions of grandeur are most characteristic of (A) OCD. (B) schizophrenia. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, answer (C) is the",best,0,high_school_psychology,[-18.07371711730957]
"Delusions of grandeur are most characteristic of (A) OCD. (B) schizophrenia. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, answer (D) is the",best,0,high_school_psychology,[-18.07371711730957]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Goal-setting (C) Hierarchy of needs (D) Expectancy-value. Of the answer choices above, answer (A) is the",best,0,high_school_psychology,[-10.6089506149292]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Goal-setting (C) Hierarchy of needs (D) Expectancy-value. Of the answer choices above, answer (B) is the",best,0,high_school_psychology,[-10.6089506149292]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Goal-setting (C) Hierarchy of needs (D) Expectancy-value. Of the answer choices above, answer (C) is the",best,1,high_school_psychology,[-10.6089506149292]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Goal-setting (C) Hierarchy of needs (D) Expectancy-value. Of the answer choices above, answer (D) is the",best,0,high_school_psychology,[-10.6089506149292]
"In test construction and evaluation, validity refers to the degree to which a test (A) measures what it purports to measure (B) yields consistent results on successive administrations (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, answer (A) is the",best,1,high_school_psychology,[-1.1876869201660156]
"In test construction and evaluation, validity refers to the degree to which a test (A) measures what it purports to measure (B) yields consistent results on successive administrations (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, answer (B) is the",best,0,high_school_psychology,[-1.2809419631958008]
"In test construction and evaluation, validity refers to the degree to which a test (A) measures what it purports to measure (B) yields consistent results on successive administrations (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, answer (C) is the",best,0,high_school_psychology,[-1.3312835693359375]
"In test construction and evaluation, validity refers to the degree to which a test (A) measures what it purports to measure (B) yields consistent results on successive administrations (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, answer (D) is the",best,0,high_school_psychology,[-1.5330009460449219]
"The precedent established in Larry P. v. Riles resulted in (A) the provision of a free, appropriate public education for students with disabilities (B) the provision of bilingual education for English-language learners (C) schools being held responsible for providing tests that do not discriminate on the basis of race (D) the assignment of similar funding to athletic activities for boys and girls. Of the answer choices above, answer (A) is the",best,0,high_school_psychology,[-20.428815841674805]
"The precedent established in Larry P. v. Riles resulted in (A) the provision of a free, appropriate public education for students with disabilities (B) the provision of bilingual education for English-language learners (C) schools being held responsible for providing tests that do not discriminate on the basis of race (D) the assignment of similar funding to athletic activities for boys and girls. Of the answer choices above, answer (B) is the",best,0,high_school_psychology,[-20.428815841674805]
"The precedent established in Larry P. v. Riles resulted in (A) the provision of a free, appropriate public education for students with disabilities (B) the provision of bilingual education for English-language learners (C) schools being held responsible for providing tests that do not discriminate on the basis of race (D) the assignment of similar funding to athletic activities for boys and girls. Of the answer choices above, answer (C) is the",best,1,high_school_psychology,[-20.428815841674805]
