preamble,stimulus,is_correct,subject,stimulus_prob
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. (D) ends of the long arms.. Of the answer choices above, answer (A) is the",best,0,medical_genetics,[-2.0548248291015625]
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. (D) ends of the long arms.. Of the answer choices above, answer (B) is the",best,1,medical_genetics,[-2.4734420776367188]
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. (D) ends of the long arms.. Of the answer choices above, answer (C) is the",best,0,medical_genetics,[-2.3719406127929688]
"In a Robertsonian translocation fusion occurs at the: (A) telomeres. (B) centromeres. (C) histones. (D) ends of the long arms.. Of the answer choices above, answer (D) is the",best,0,medical_genetics,[-2.364654541015625]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes (D) part of the hemoglobin in blood cells. Of the answer choices above, answer (A) is the",best,1,medical_genetics,[-1.3187217712402344]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes (D) part of the hemoglobin in blood cells. Of the answer choices above, answer (B) is the",best,0,medical_genetics,[-1.4637908935546875]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes (D) part of the hemoglobin in blood cells. Of the answer choices above, answer (C) is the",best,0,medical_genetics,[-1.6656570434570312]
"Zinc finger proteins and helix-turn-helix proteins are (A) types of DNA-binding proteins (B) involved in the control of translation (C) components of ribosomes (D) part of the hemoglobin in blood cells. Of the answer choices above, answer (D) is the",best,0,medical_genetics,[-2.0647125244140625]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 (D) 0.0001. Of the answer choices above, answer (A) is the",best,1,medical_genetics,[-2.280364990234375]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 (D) 0.0001. Of the answer choices above, answer (B) is the",best,0,medical_genetics,[-2.670989990234375]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 (D) 0.0001. Of the answer choices above, answer (C) is the",best,0,medical_genetics,[-2.2389183044433594]
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females? (A) 0.01 (B) 0.001 (C) 0.02 (D) 0.0001. Of the answer choices above, answer (D) is the",best,0,medical_genetics,[-2.7962722778320312]
"In DNA adenine normally pairs with: (A) thymine. (B) cytosine. (C) guanine. (D) uracil.. Of the answer choices above, answer (A) is the",best,1,medical_genetics,[-2.0404014587402344]
"In DNA adenine normally pairs with: (A) thymine. (B) cytosine. (C) guanine. (D) uracil.. Of the answer choices above, answer (B) is the",best,0,medical_genetics,[-2.2655258178710938]
"In DNA adenine normally pairs with: (A) thymine. (B) cytosine. (C) guanine. (D) uracil.. Of the answer choices above, answer (C) is the",best,0,medical_genetics,[-2.3113059997558594]
"In DNA adenine normally pairs with: (A) thymine. (B) cytosine. (C) guanine. (D) uracil.. Of the answer choices above, answer (D) is the",best,0,medical_genetics,[-2.4016036987304688]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal recessive. (B) X-linked dominant. (C) autosomal dominant. (D) X-linked recessive.. Of the answer choices above, answer (A) is the",best,0,medical_genetics,[-1.8666229248046875]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal recessive. (B) X-linked dominant. (C) autosomal dominant. (D) X-linked recessive.. Of the answer choices above, answer (B) is the",best,0,medical_genetics,[-2.0277557373046875]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal recessive. (B) X-linked dominant. (C) autosomal dominant. (D) X-linked recessive.. Of the answer choices above, answer (C) is the",best,1,medical_genetics,[-2.1487388610839844]
"The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is: (A) autosomal recessive. (B) X-linked dominant. (C) autosomal dominant. (D) X-linked recessive.. Of the answer choices above, answer (D) is the",best,0,medical_genetics,[-2.059396743774414]
"Mapping of human chromosomes: (A) has been restricted to the sex chromosomes because of small family sizes (B) has determined that the number of linkage groups is about twice the number of chromosomes (C) proceeded much more successfully as large numbers of DNA markers became available. (D) has demonstrated that almost all of the DNA is involved in coding for genes. Of the answer choices above, answer (A) is the",best,0,medical_genetics,[-1.4982757568359375]
"Mapping of human chromosomes: (A) has been restricted to the sex chromosomes because of small family sizes (B) has determined that the number of linkage groups is about twice the number of chromosomes (C) proceeded much more successfully as large numbers of DNA markers became available. (D) has demonstrated that almost all of the DNA is involved in coding for genes. Of the answer choices above, answer (B) is the",best,0,medical_genetics,[-1.4927291870117188]
"Mapping of human chromosomes: (A) has been restricted to the sex chromosomes because of small family sizes (B) has determined that the number of linkage groups is about twice the number of chromosomes (C) proceeded much more successfully as large numbers of DNA markers became available. (D) has demonstrated that almost all of the DNA is involved in coding for genes. Of the answer choices above, answer (C) is the",best,1,medical_genetics,[-1.0851898193359375]
