preamble,stimulus,is_correct,subject,stimulus_prob
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) not essential to our existence (C) unimportant to most people (D) rarely viewed. Of the answer choices above, answer (A) is the",best,0,philosophy,[-0.8772659301757812]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) not essential to our existence (C) unimportant to most people (D) rarely viewed. Of the answer choices above, answer (B) is the",best,1,philosophy,[-0.8792057037353516]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) not essential to our existence (C) unimportant to most people (D) rarely viewed. Of the answer choices above, answer (C) is the",best,0,philosophy,[-0.8203697204589844]
"Aesthetics deals with objects that are_____. (A) essential to our existence (B) not essential to our existence (C) unimportant to most people (D) rarely viewed. Of the answer choices above, answer (D) is the",best,0,philosophy,[-0.9986228942871094]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the soul (B) the state (C) the justice system (D) the body. Of the answer choices above, answer (A) is the",best,1,philosophy,[-1.1814098358154297]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the soul (B) the state (C) the justice system (D) the body. Of the answer choices above, answer (B) is the",best,0,philosophy,[-1.1545982360839844]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the soul (B) the state (C) the justice system (D) the body. Of the answer choices above, answer (C) is the",best,0,philosophy,[-1.0801734924316406]
"For Socrates, an unexamined life is a tragedy because it results in grievous harm to _____. (A) the soul (B) the state (C) the justice system (D) the body. Of the answer choices above, answer (D) is the",best,0,philosophy,[-1.1855411529541016]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (A) is the",best,0,philosophy,[-1.8358116149902344]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (B) is the",best,1,philosophy,[-1.9802589416503906]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (C) is the",best,0,philosophy,[-1.6897296905517578]
"According to Kant, nothing can be called “good” without qualification except _____. (A) right action (B) a good will (C) good consequences (D) happiness. Of the answer choices above, answer (D) is the",best,0,philosophy,[-1.8648662567138672]
"Plato's view is that true beauty is _____. (A) found in everyday objects (B) nonexistent (C) not of this world (D) everywhere in the natural world. Of the answer choices above, answer (A) is the",best,0,philosophy,[-1.1149635314941406]
