preamble,stimulus,is_correct,subject,stimulus_prob
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 5 permanent members with veto power, 10 rotating members with no veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-3.157346725463867]
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 5 permanent members with veto power, 10 rotating members with no veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (B) is the",best,1,us_foreign_policy,[-2.981687545776367]
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 5 permanent members with veto power, 10 rotating members with no veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-2.9798526763916016]
"What is the structure of the United Nations Security Council? (A) 5 permanent members and 10 rotating members, all with veto power (B) 5 permanent members with veto power, 10 rotating members with no veto power (C) 10 permanent members with veto power, and 5 rotating members without veto power (D) 15 permanent members with veto power. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-3.3089523315429688]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,[-2.4469146728515625]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-2.1194534301757812]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-2.362823486328125]
"What was the significance of the Gulf of Tonkin resolution? (A) It allowed the US to intensify its involvement in Vietnam (B) It illustrated the influence of public opinion on US foreign policy (C) It enhanced Congressional control over the Vietnam War (D) It curtailed US involvement in Vietnam. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.4613685607910156]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-3.412740707397461]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, answer (B) is the",best,1,us_foreign_policy,[-3.56341552734375]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-3.31695556640625]
"Which is not a nonstate actor that poses a threat to the United States? (A) Terrorists (B) China (C) Organized crime (D) Drug traffickers. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-3.827587127685547]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Richard Nixon (C) Jimmy Carter (D) Ronald Reagan. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-3.499378204345703]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Richard Nixon (C) Jimmy Carter (D) Ronald Reagan. Of the answer choices above, answer (B) is the",best,1,us_foreign_policy,[-3.2600975036621094]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Richard Nixon (C) Jimmy Carter (D) Ronald Reagan. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-3.2984619140625]
"Who was the first American president to visit communist China? (A) George H. W. Bush (B) Richard Nixon (C) Jimmy Carter (D) Ronald Reagan. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-3.3671932220458984]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-2.180278778076172]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-2.118274688720703]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-2.1102638244628906]
"The Strategic Arms Reduction Treaty was the first accord (A) on nuclear weapons signed between the United States and the Soviet Union. (B) cutting conventional arms in Europe. (C) mandating the elimination of many long-range nuclear missiles. (D) to be rejected by the U.S. Senate.. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.1796512603759766]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,[-2.2084884643554688]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-2.5288467407226562]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-2.152444839477539]
"What were the implications of the Cold War for American exceptionalism? (A) Both b and c (B) It ended the influence of American exceptionalism entirely (C) Exceptionalism was enhanced by America's status as the 'leader of the free world' (D) The extension of American power globally challenged core assumptions of exceptionalism. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.3530025482177734]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-2.2560291290283203]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-2.2621841430664062]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (C) is the",best,1,us_foreign_policy,[-2.2887420654296875]
"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? (A) He believed that German domination of Europe would be in US interests (B) He always favoured isolationism (C) He believed that internal reform rather than international negotiation was the key to economic regeneration of the US (D) All of the above. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.2326011657714844]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,[-2.1957473754882812]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-2.100595474243164]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-2.1943111419677734]
"What was the 'New Populism'? (A) A strand of neo-isolationist sentiment (B) A strand of internationalist sentiment (C) An expression of American cultural superiority (D) Increased incorporation of public opinion in foreign policy making. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.0920677185058594]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States became a creditor country and financial centre, with European war spending boosting the US economy (C) The United States seized German resources after the war (D) European countries paid the United States for assistance. Of the answer choices above, answer (A) is the",best,0,us_foreign_policy,[-2.5585594177246094]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States became a creditor country and financial centre, with European war spending boosting the US economy (C) The United States seized German resources after the war (D) European countries paid the United States for assistance. Of the answer choices above, answer (B) is the",best,1,us_foreign_policy,[-2.1300601959228516]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States became a creditor country and financial centre, with European war spending boosting the US economy (C) The United States seized German resources after the war (D) European countries paid the United States for assistance. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-2.4503936767578125]
"How did World War I shift economic power from Europe to the United States? (A) The war reduced European population levels below that of the United States (B) The United States became a creditor country and financial centre, with European war spending boosting the US economy (C) The United States seized German resources after the war (D) European countries paid the United States for assistance. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.525259017944336]
"In American government, the power to declare war rests with (A) Congress. (B) the president of the United States. (C) the secretary of defense. (D) the chairman of the Joint Chiefs of Staff.. Of the answer choices above, answer (A) is the",best,1,us_foreign_policy,[-2.5169906616210938]
"In American government, the power to declare war rests with (A) Congress. (B) the president of the United States. (C) the secretary of defense. (D) the chairman of the Joint Chiefs of Staff.. Of the answer choices above, answer (B) is the",best,0,us_foreign_policy,[-2.592174530029297]
"In American government, the power to declare war rests with (A) Congress. (B) the president of the United States. (C) the secretary of defense. (D) the chairman of the Joint Chiefs of Staff.. Of the answer choices above, answer (C) is the",best,0,us_foreign_policy,[-2.38037109375]
"In American government, the power to declare war rests with (A) Congress. (B) the president of the United States. (C) the secretary of defense. (D) the chairman of the Joint Chiefs of Staff.. Of the answer choices above, answer (D) is the",best,0,us_foreign_policy,[-2.415304183959961]
