preamble,stimulus,is_correct,subject,stimulus_prob
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 7 N (C) 10 N (D) 12 N. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-7.336429595947266]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 7 N (C) 10 N (D) 12 N. Of the answer choices above, the best answer choice is (",B,1,conceptual_physics,[-8.570804595947266]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 7 N (C) 10 N (D) 12 N. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.242679595947266]
"A 10-N force at an angle 45° above the horizontal has a horizontal component of about (A) 5 N (B) 7 N (C) 10 N (D) 12 N. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.070804595947266]
"A completely submerged object always displaces its own (A) volume of fluid. (B) weight of fluid. (C) density of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",A,1,conceptual_physics,[-6.953855514526367]
"A completely submerged object always displaces its own (A) volume of fluid. (B) weight of fluid. (C) density of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.156980514526367]
"A completely submerged object always displaces its own (A) volume of fluid. (B) weight of fluid. (C) density of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-6.899168014526367]
"A completely submerged object always displaces its own (A) volume of fluid. (B) weight of fluid. (C) density of fluid. (D) All of these.. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-6.844480514526367]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, the best answer choice is (",A,1,conceptual_physics,[-6.729183197021484]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-6.385433197021484]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-6.221370697021484]
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light (A) passes into the air above (B) totally internally reflects (C) is absorbed (D) None of these. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-6.401058197021484]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",A,1,conceptual_physics,[-7.441474914550781]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.472724914550781]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-7.730537414550781]
"According to four-dimensional geometry, the angles of a triangle add to 180° (A) sometimes. (B) always. (C) never. (D) on planet Earth only.. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-7.964912414550781]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) changes (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-8.280176162719727]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) changes (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.287988662719727]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) changes (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",C,1,conceptual_physics,[-8.077051162719727]
"A voltage will be induced in a wire loop when the magnetic field within that loop (A) aligns with the electric field (B) is at right angles to the electric field (C) changes (D) converts to magnetic energy. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.045801162719727]
"Among these colors, the one that has the most energy per photon is (A) violet (B) red (C) yellow-green (D) blue. Of the answer choices above, the best answer choice is (",A,1,conceptual_physics,[-8.376913070678711]
"Among these colors, the one that has the most energy per photon is (A) violet (B) red (C) yellow-green (D) blue. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.580038070678711]
"Among these colors, the one that has the most energy per photon is (A) violet (B) red (C) yellow-green (D) blue. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.486288070678711]
"Among these colors, the one that has the most energy per photon is (A) violet (B) red (C) yellow-green (D) blue. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.548788070678711]
"According to general relativity, (A) All of these. (B) mass distorts spacetime. (C) gravity affects clocks. (D) light can’t escape from a black hole.. Of the answer choices above, the best answer choice is (",A,1,conceptual_physics,[-7.560577392578125]
"According to general relativity, (A) All of these. (B) mass distorts spacetime. (C) gravity affects clocks. (D) light can’t escape from a black hole.. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-7.396514892578125]
"According to general relativity, (A) All of these. (B) mass distorts spacetime. (C) gravity affects clocks. (D) light can’t escape from a black hole.. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-7.794952392578125]
"According to general relativity, (A) All of these. (B) mass distorts spacetime. (C) gravity affects clocks. (D) light can’t escape from a black hole.. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-7.748077392578125]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these (D) Neither of these. Of the answer choices above, the best answer choice is (",A,1,conceptual_physics,[-8.041149139404297]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these (D) Neither of these. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.095836639404297]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these (D) Neither of these. Of the answer choices above, the best answer choice is (",C,0,conceptual_physics,[-8.127086639404297]
"A step-up transformer in an electric circuit can step up (A) voltage (B) energy (C) Both of these (D) Neither of these. Of the answer choices above, the best answer choice is (",D,0,conceptual_physics,[-8.400524139404297]
"Spectral lines of the elements are (A) chaotic (B) positioned by amplitude (C) ordered (D) in phase. Of the answer choices above, the best answer choice is (",A,0,conceptual_physics,[-8.502660751342773]
"Spectral lines of the elements are (A) chaotic (B) positioned by amplitude (C) ordered (D) in phase. Of the answer choices above, the best answer choice is (",B,0,conceptual_physics,[-8.854223251342773]
