preamble,stimulus,is_correct,subject,stimulus_prob
"The Barkhausen criterion for an oscillator (A) Loop gain should be unity (B) Loop gain should be less than unity (C) Both A and C (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-0.660186767578125]
"The Barkhausen criterion for an oscillator (A) Loop gain should be unity (B) Loop gain should be less than unity (C) Both A and C (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-3.035186767578125]
"The Barkhausen criterion for an oscillator (A) Loop gain should be unity (B) Loop gain should be less than unity (C) Both A and C (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",C,1,electrical_engineering,[-2.160186767578125]
"The Barkhausen criterion for an oscillator (A) Loop gain should be unity (B) Loop gain should be less than unity (C) Both A and C (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-2.410186767578125]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It does not load the circuit at all. (B) It loads the circuit moderately. (C) It loads the circuit to maximum extent. (D) It uses centre zero galvanometer instead of voltmeter.. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-0.3567962646484375]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It does not load the circuit at all. (B) It loads the circuit moderately. (C) It loads the circuit to maximum extent. (D) It uses centre zero galvanometer instead of voltmeter.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-2.3567962646484375]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It does not load the circuit at all. (B) It loads the circuit moderately. (C) It loads the circuit to maximum extent. (D) It uses centre zero galvanometer instead of voltmeter.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-2.9817962646484375]
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It does not load the circuit at all. (B) It loads the circuit moderately. (C) It loads the circuit to maximum extent. (D) It uses centre zero galvanometer instead of voltmeter.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-2.6067962646484375]
"Which of these sets of logic gates are designated as universal gates? (A) NOR, NAND. (B) XOR, NOR, NAND. (C) OR, NOT, AND. (D) NOR, NAND, XNOR.. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-1.0973587036132812]
"Which of these sets of logic gates are designated as universal gates? (A) NOR, NAND. (B) XOR, NOR, NAND. (C) OR, NOT, AND. (D) NOR, NAND, XNOR.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-1.5348587036132812]
"Which of these sets of logic gates are designated as universal gates? (A) NOR, NAND. (B) XOR, NOR, NAND. (C) OR, NOT, AND. (D) NOR, NAND, XNOR.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-2.7848587036132812]
"Which of these sets of logic gates are designated as universal gates? (A) NOR, NAND. (B) XOR, NOR, NAND. (C) OR, NOT, AND. (D) NOR, NAND, XNOR.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-1.4723587036132812]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 150°. (B) 30° to 180°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-0.204864501953125]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 150°. (B) 30° to 180°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-3.704864501953125]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 150°. (B) 30° to 180°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-4.329864501953125]
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 150°. (B) 30° to 180°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-4.829864501953125]
"A box which tells the effect of inputs on control sub system is known as (A) Decision box. (B) Data Box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",A,1,electrical_engineering,[-0.779083251953125]
"A box which tells the effect of inputs on control sub system is known as (A) Decision box. (B) Data Box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-1.904083251953125]
"A box which tells the effect of inputs on control sub system is known as (A) Decision box. (B) Data Box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",C,0,electrical_engineering,[-1.654083251953125]
"A box which tells the effect of inputs on control sub system is known as (A) Decision box. (B) Data Box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (",D,0,electrical_engineering,[-1.904083251953125]
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) same as that produced by one plate. (B) double the field produced by one plate. (C) zero. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (",A,0,electrical_engineering,[-0.2943267822265625]
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) same as that produced by one plate. (B) double the field produced by one plate. (C) zero. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (",B,0,electrical_engineering,[-2.7943267822265625]
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) same as that produced by one plate. (B) double the field produced by one plate. (C) zero. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (",C,1,electrical_engineering,[-3.0443267822265625]
