preamble,stimulus,is_correct,subject
"The Barkhausen criterion for an oscillator (A) Loop gain should be unity (B) Loop gain should be less than unity (C) Both A and C (D) The phase of a feedback signal with respect to input should be 0° or 360°. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"Potentiometer method of DC voltage measurement is more accurate than direct measurement using a voltmeter because (A) It loads the circuit moderately. (B) It does not load the circuit at all. (C) It loads the circuit to maximum extent. (D) It uses centre zero galvanometer instead of voltmeter.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"Which of these sets of logic gates are designated as universal gates? (A) XOR, NOR, NAND. (B) OR, NOT, AND. (C) NOR, NAND. (D) NOR, NAND, XNOR.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"A single phase one pulse controlled circuit has a resistance R and counter emf E load 400 sin(314 t) as the source voltage. For a load counter emf of 200 V, the range of firing angle control is (A) 30° to 150°. (B) 30° to 180°. (C) 60° to 120°. (D) 60° to 180°.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"A box which tells the effect of inputs on control sub system is known as (A) Decision box. (B) Data Box. (C) Logical box. (D) State box.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Two infinite parallel metal plates are charged with equal surface charge density of the same polarity. The electric field in the gap between the plates is (A) zero. (B) same as that produced by one plate. (C) double the field produced by one plate. (D) dependent on coordinates of field points.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"The resistance in the circuit of the moving coil of a dynamometer wattmeter should be (A) Low. (B) High. (C) Very low. (D) Almost zero.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"The following are the necessary requirements of an oscillator (A) Amplitude stability (B) Frequency stability (C) Both A and B (D) Power stability. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"The normal voltage used in directional heating is (A) 1.5 KV. (B) 15 KV. (C) 33 KV. (D) 66 KV.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"LC oscillators are used for produce a waveform with frequency ranging from (A) 100 KHz to 500 MHz (B) 1 KHz to 1 MHz (C) 1MHz to 500 MHz (D) 1MHz to 100 GHz. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"A working diode must have (A) High resistance when forward or reverse biased (B) Low resistance when forward biased, while high resistance when reverse bias (C) High resistance when forward biased, while low resistance when reverse bias (D) Low resistance when forward or reverse biased. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"What is the name of the fluorescent material that gives red colour fluorescence? (A) Zinc silicate. (B) Magnesium silicate. (C) Calcium silicate. (D) Zinc sulphide.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"How many bits are required to store one BCD digit ? (A) 1 (B) 2 (C) 4 (D) 3. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"Commutator in DC generator is used for (A) collecting of current (B) convert AC armature current in to DC (C) reduce losses (D) increase efficiency. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"1 F is theoretically equal to (A) 1 ohm of resistance (B) ratio of 1 V to 1 C (C) ratio of 1 C to 1 V (D) none of these. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"How many entries will be in the truth table of a 3 input NAND gate ? (A) 3 (B) 8 (C) 6 (D) 9. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"In decimal number system what is MSD (A) First digit from left to right (B) First digit from right to left (C) Middle digit (D) Mean of all digits. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"In Digital Logic Designs, GAL is abbreviated as (A) General Advance Logic (B) Generic Array Logic (C) General Array Logic (D) Generic Advance Logic. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"Inintel 8085A microprocessor ALE signal is made high to (A) To latch data D0-D7 from data bus (B) Enable the data bus to be used as low order address bus (C) To disable data bus (D) To achieve all the functions listed above. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"For an SCR gate cathode characteristic is a straight line of 130. For triggered source volume of 15 V and allowable gate power dissipation of 0.5 W compute the gate source resistance? (A) 11.19 ohm (B) 111.9 ohm (C) 108 ohm (D) 115 ohm. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"The concept of V/f control of inverters driving induction motors resuls in (A) speed reversal (B) constant torque operation (C) reduced magnetic loss (D) hormonic elimination. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"The energy stored in the magnetic field in a solenoid 30 cm long and 3 cm diameter wound with 1000 turns of wire carrying a current at 10 amp, is (A) 0.015 joule. (B) 0.15 joule. (C) 0.015 joule. (D) 1.15 joule.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"While operating on variable frequency supplies, the AC motor requires variable voltage in order to (A) avoid effect of saturation. (B) protect the insulation. (C) improve the capabilities of the inverter. (D) protect thyristor from dV / dt.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Which of the following windings are necessary in case of all dc machines? (A) lap winding (B) wave winding (C) closed winding (D) open type winding. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"Relaxation Voltage controlled oscillators are used to generate (A) Sinusoidal wave (B) Triangular wave (C) Both B and C (D) Sawtooth wave. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"The supply frequency usually employed for high frequency eddy current heating is (A) 10 KHz to 400 KHz. (B) 1 KHz. (C) 5 KHz. (D) 10 MHz.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"In the toggle mode a JK flip-flop has (A) J = 0, K = 0. (B) J = 1, K = 1. (C) J = 0, K = 1. (D) J = 1, K = 0.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"Electric drive is becoming more and more popular because (A) all of below. (B) it provide smooth and easy control. (C) it is cheaper in cost. (D) it is simple and reliable.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"A step up chopper has input voltage 110 V and output voltage 150 V. The value of duty cycle is (A) 0.67. (B) 0.32. (C) 0.45. (D) 0.27.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"A Binary number system has how many digits. (A) 2 (B) 0 (C) 1 (D) 10. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Lowest critical frequency is due to pole and it may be present at the origin or nearer to the origin, then the type of network is (A) LC. (B) RL. (C) RC. (D) Any of the above.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"Advantages of open loop control system is/are (A) accurate. (B) reliable. (C) simple and economical. (D) all of the above.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"The voltage induced in an inductor is represented as, (A) product of its inductance and current through it. (B) ratio of its inductance to current through it. (C) product of its inductance and rate of change of current through it. (D) ratio of current through it to its inductance.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"If a Hexadecimal number needs to convert to binary. For each hexadecimal digit, there will be how many bits (A) 1 (B) 2 (C) 4 (D) 8. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"Induction heating takes place in (A) conducting but non-magnetic materials. (B) insulating materials. (C) conducting materials which may be either magnetic or non-magentic materials. (D) conducting and magnetic materials.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"In a lap winding dc machine number of conductors are 100 and number of parallel paths are 10. Find the average pitch (A) 100 (B) 10 (C) 50 (D) 1. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"Magnetic flux has the unit of (A) Newton (B) Ampere turn (C) Weber (D) Tesla. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"In balanced bridge, if the positions of detector and source are interchanged, the bridge will still remain balanced. This can be explained from which theorem (A) Reciprocity theorem (B) Thevinin's theorem (C) Norton's theorem (D) Compensation theorem. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"A D-flip-flop is said to be transparent when (A) the output is LOW (B) the output follow input (C) the output is HIGH (D) the output follows clock. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"A Lissajous pattern on an oscilloscope has 5 horinzontal tangencies and 2 vertical tangencies. The frequency of horizontal input is 100 Hz. The frequency of the vertical will be (A) 500 Hz. (B) 250 Hz. (C) 400 Hz. (D) 625 Hz.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"Speed control by variation of field flux results in (A) constant power drive. (B) constant torque drive. (C) variable power drive. (D) none of the above.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Which of the following memories uses one transistor and one capacitor as basic memory unit (A) SRAM (B) Both SRAM and DRAM (C) DRAM (D) nan. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"What will be the number of lamps, each having 300 lumens, required to obtain an average illuminance of 50 lux on a 4m * 3m rectangular room? (A) 4 (B) 2 (C) 5 (D) 6. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"The output of the system has an effect upon the input quantity, then the system is a (A) closed loop control system. (B) open loop control system. (C) either A or B. (D) none of the above.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"A sinusoidal signal is analog signal, because (A) it is negative for one half cycle (B) it is positive for one half cycle (C) it can have a number of values between the negative and positive peaks (D) it has positive as well as negative values. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"FM stands for (A) frequency modulation. (B) frequent modulation. (C) frequency moderator. (D) frequent moderator.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Stack is also known as (A) FIFO memory (B) Flash memory (C) LIFO memory (D) LILO memory. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"In Ward-Leonard system, the lower limit of the speed imposed by (A) Field resistance. (B) Residual magnetism of the generator. (C) Armature resistance. (D) None of above.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",B,electrical_engineering
"Colpitts oscillator is also called as (A) Tank circuit oscillator (B) LC oscillator (C) All of the above (D) Resonant circuit oscillator. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",C,electrical_engineering
"An SCR has half cycle surge current rating of 3000 A for 50 Hz supply. One cycle surge current will be (A) 2121.32 A. (B) 1500 A. (C) 6000 A. (D) 4242.64 A.. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
"Both the ALU and control section of CPU employ which special purpose storage location? (A) Accumulators (B) Buffers (C) Decoders (D) Registers. Of the answer choices above, the best answer choice is (","['A', 'B', 'C', 'D']",A,electrical_engineering
