preamble,stimulus,is_correct,subject,stimulus_prob
"Let x = 1. What is x << 3 in Python 3? (A) 8 (B) 1 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",A,1,high_school_computer_science,[-7.36933708190918]
"Let x = 1. What is x << 3 in Python 3? (A) 8 (B) 1 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",B,0,high_school_computer_science,[-8.54902458190918]
"Let x = 1. What is x << 3 in Python 3? (A) 8 (B) 1 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",C,0,high_school_computer_science,[-8.90839958190918]
"Let x = 1. What is x << 3 in Python 3? (A) 8 (B) 1 (C) 3 (D) 16. Of the answer choices above, the best answer choice is (",D,0,high_school_computer_science,[-7.47871208190918]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",A,0,high_school_computer_science,[-8.125123977661133]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",B,0,high_school_computer_science,[-9.582155227661133]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",C,1,high_school_computer_science,[-6.132936477661133]
"In Python 3, which of the following function convert a string to an int in python? (A) long(x [,base] ) (B) float(x) (C) int(x [,base]) (D) str(x). Of the answer choices above, the best answer choice is (",D,0,high_school_computer_science,[-8.031373977661133]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The file is broken into packets for transmission. The packets must be reassembled upon receipt. (C) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (D) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.. Of the answer choices above, the best answer choice is (",A,0,high_school_computer_science,[-6.583766937255859]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The file is broken into packets for transmission. The packets must be reassembled upon receipt. (C) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (D) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.. Of the answer choices above, the best answer choice is (",B,1,high_school_computer_science,[-6.349391937255859]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The file is broken into packets for transmission. The packets must be reassembled upon receipt. (C) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (D) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.. Of the answer choices above, the best answer choice is (",C,0,high_school_computer_science,[-7.724391937255859]
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user? (A) The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received. (B) The file is broken into packets for transmission. The packets must be reassembled upon receipt. (C) The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user. (D) The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.. Of the answer choices above, the best answer choice is (",D,0,high_school_computer_science,[-7.700954437255859]
"Digital images are often represented by the red, green, and blue values (an RGB triplet) of each individual pixel in the image. A photographer is manipulating a digital image and overwriting the original image. Which of the following describes a lossless transformation of the digital image? (A) Creating the negative of an image by creating a new RGB triplet for each pixel in which each value is calculated by subtracting the original value from 255. The negative of an image is reversed from the original; light areas appear dark, and colors are reversed. (B) Compressing the image in a way that may lose information but will suffer only a small loss of image quality. (C) Creating the gray scale of an image by averaging the amounts of red, green, and blue in each pixel and assigning this new value to the corresponding pixel in the new image. The new value of each pixel represents a shade of gray, ranging from white to black. (D) Modifying part of the image by taking the pixels in one part of the picture and copying them to the pixels in another part of the picture.. Of the answer choices above, the best answer choice is (",A,1,high_school_computer_science,[-8.17624282836914]
