preamble,stimulus,is_correct,subject,stimulus_prob
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the iris and lens (C) too much curvature of the cornea and lens (D) too little curvature of the iris and lens. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-1.258829116821289]
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the iris and lens (C) too much curvature of the cornea and lens (D) too little curvature of the iris and lens. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-1.149454116821289]
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the iris and lens (C) too much curvature of the cornea and lens (D) too little curvature of the iris and lens. Of the answer choices above, the best answer choice is (",C,1,high_school_psychology,[-1.602579116821289]
"Nearsightedness results from (A) too little curvature of the cornea and lens (B) too much curvature of the iris and lens (C) too much curvature of the cornea and lens (D) too little curvature of the iris and lens. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.680704116821289]
"Delusions of grandeur are most characteristic of (A) schizophrenia. (B) OCD. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, the best answer choice is (",A,1,high_school_psychology,[-1.2354927062988281]
"Delusions of grandeur are most characteristic of (A) schizophrenia. (B) OCD. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-1.4698677062988281]
"Delusions of grandeur are most characteristic of (A) schizophrenia. (B) OCD. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-1.4854927062988281]
"Delusions of grandeur are most characteristic of (A) schizophrenia. (B) OCD. (C) conversion disorder. (D) antisocial personality disorder.. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.5011177062988281]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Hierarchy of needs (C) Goal-setting (D) Expectancy-value. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-4.238466262817383]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Hierarchy of needs (C) Goal-setting (D) Expectancy-value. Of the answer choices above, the best answer choice is (",B,1,high_school_psychology,[-0.05096626281738281]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Hierarchy of needs (C) Goal-setting (D) Expectancy-value. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-4.332216262817383]
"Abraham Maslow proposed the idea that some motives are more imperative to survival than others. Which of the following approaches expresses this? (A) Homeostatic regulation (B) Hierarchy of needs (C) Goal-setting (D) Expectancy-value. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-5.238466262817383]
"In test construction and evaluation, validity refers to the degree to which a test (A) yields consistent results on successive administrations (B) measures what it purports to measure (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-1.6839447021484375]
"In test construction and evaluation, validity refers to the degree to which a test (A) yields consistent results on successive administrations (B) measures what it purports to measure (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, the best answer choice is (",B,1,high_school_psychology,[-1.2776947021484375]
"In test construction and evaluation, validity refers to the degree to which a test (A) yields consistent results on successive administrations (B) measures what it purports to measure (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-1.1839447021484375]
"In test construction and evaluation, validity refers to the degree to which a test (A) yields consistent results on successive administrations (B) measures what it purports to measure (C) has been piloted and statistically analyzed (D) includes norms based on a representative sample of the general population. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.5589447021484375]
"The precedent established in Larry P. v. Riles resulted in (A) the provision of a free, appropriate public education for students with disabilities (B) schools being held responsible for providing tests that do not discriminate on the basis of race (C) the provision of bilingual education for English-language learners (D) the assignment of similar funding to athletic activities for boys and girls. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-0.7062911987304688]
"The precedent established in Larry P. v. Riles resulted in (A) the provision of a free, appropriate public education for students with disabilities (B) schools being held responsible for providing tests that do not discriminate on the basis of race (C) the provision of bilingual education for English-language learners (D) the assignment of similar funding to athletic activities for boys and girls. Of the answer choices above, the best answer choice is (",B,1,high_school_psychology,[-1.3469161987304688]
"The precedent established in Larry P. v. Riles resulted in (A) the provision of a free, appropriate public education for students with disabilities (B) schools being held responsible for providing tests that do not discriminate on the basis of race (C) the provision of bilingual education for English-language learners (D) the assignment of similar funding to athletic activities for boys and girls. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-1.9719161987304688]
"The precedent established in Larry P. v. Riles resulted in (A) the provision of a free, appropriate public education for students with disabilities (B) schools being held responsible for providing tests that do not discriminate on the basis of race (C) the provision of bilingual education for English-language learners (D) the assignment of similar funding to athletic activities for boys and girls. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-2.3156661987304688]
"The heritability for traits of a cloned population is (A) 25% (B) 50% (C) 0% (D) 75%. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-1.5343971252441406]
"The heritability for traits of a cloned population is (A) 25% (B) 50% (C) 0% (D) 75%. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-1.1437721252441406]
"The heritability for traits of a cloned population is (A) 25% (B) 50% (C) 0% (D) 75%. Of the answer choices above, the best answer choice is (",C,1,high_school_psychology,[-1.3156471252441406]
"The heritability for traits of a cloned population is (A) 25% (B) 50% (C) 0% (D) 75%. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.6593971252441406]
"Which of the following statistics provides the most information about how spread out a distribution of scores is? (A) mean (B) variance (C) range (D) median. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-4.2118988037109375]
"Which of the following statistics provides the most information about how spread out a distribution of scores is? (A) mean (B) variance (C) range (D) median. Of the answer choices above, the best answer choice is (",B,1,high_school_psychology,[-0.1337738037109375]
"Which of the following statistics provides the most information about how spread out a distribution of scores is? (A) mean (B) variance (C) range (D) median. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-3.0556488037109375]
"Which of the following statistics provides the most information about how spread out a distribution of scores is? (A) mean (B) variance (C) range (D) median. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-2.9931488037109375]
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district? (A) They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns. (B) They should provide professional but not administrative supervision. (C) They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential. (D) They are eligible to serve as supervisors after one year of experience as a school psychologist.. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-2.4498043060302734]
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district? (A) They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns. (B) They should provide professional but not administrative supervision. (C) They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential. (D) They are eligible to serve as supervisors after one year of experience as a school psychologist.. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-2.4185543060302734]
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district? (A) They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns. (B) They should provide professional but not administrative supervision. (C) They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential. (D) They are eligible to serve as supervisors after one year of experience as a school psychologist.. Of the answer choices above, the best answer choice is (",C,1,high_school_psychology,[-0.49667930603027344]
"According to the position statement Supervision in School Psychology published by the National Association of School Psychologists (NASP), which of the following is most accurate concerning school psychologists who will be supervising in a school district? (A) They need provide supervision only to school psychologists who are not fully certified or licensed and to any school psychology interns. (B) They should provide professional but not administrative supervision. (C) They should hold the Nationally Certified School Psychologist credential or the state school psychologist credential. (D) They are eligible to serve as supervisors after one year of experience as a school psychologist.. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.6060543060302734]
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are (A) in the middle of the list (B) at the beginning of the list (C) at the end of the list (D) distributed throughout the list. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-1.523965835571289]
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are (A) in the middle of the list (B) at the beginning of the list (C) at the end of the list (D) distributed throughout the list. Of the answer choices above, the best answer choice is (",B,1,high_school_psychology,[-1.414590835571289]
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are (A) in the middle of the list (B) at the beginning of the list (C) at the end of the list (D) distributed throughout the list. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-1.289590835571289]
"Dan read a list of 30 vocabulary words only once. If he is typical and shows the serial position effect, we would expect that the words he remembers two days later are (A) in the middle of the list (B) at the beginning of the list (C) at the end of the list (D) distributed throughout the list. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.367715835571289]
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics? (A) Piaget's cognitive development theory (B) Kohlberg's moral development theory (C) Erikson's psychosocial stage theory (D) Ainsworth's social attachment theory. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-2.438030242919922]
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics? (A) Piaget's cognitive development theory (B) Kohlberg's moral development theory (C) Erikson's psychosocial stage theory (D) Ainsworth's social attachment theory. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-2.969280242919922]
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics? (A) Piaget's cognitive development theory (B) Kohlberg's moral development theory (C) Erikson's psychosocial stage theory (D) Ainsworth's social attachment theory. Of the answer choices above, the best answer choice is (",C,1,high_school_psychology,[-0.4224052429199219]
"Which developmental stage theory explained how experiences in infancy, childhood, adolscence, adulthood, and old age influence later personality characteristics? (A) Piaget's cognitive development theory (B) Kohlberg's moral development theory (C) Erikson's psychosocial stage theory (D) Ainsworth's social attachment theory. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.7974052429199219]
"The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests? (A) aptitude (B) achievement (C) projective (D) intelligence. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-1.5030155181884766]
"The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests? (A) aptitude (B) achievement (C) projective (D) intelligence. Of the answer choices above, the best answer choice is (",B,1,high_school_psychology,[-0.7686405181884766]
"The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests? (A) aptitude (B) achievement (C) projective (D) intelligence. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-1.8936405181884766]
"The AP Psychology examination given by the College Board in May exemplifies which of the following types of tests? (A) aptitude (B) achievement (C) projective (D) intelligence. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.8780155181884766]
"Our ability to perceive depth depends primarily on what other perceptual abilities? (A) binocular and monocular cues (B) proximity and similarity (C) top-down processing and bottom-up processing (D) size and shape constancy. Of the answer choices above, the best answer choice is (",A,1,high_school_psychology,[-0.4115772247314453]
"Our ability to perceive depth depends primarily on what other perceptual abilities? (A) binocular and monocular cues (B) proximity and similarity (C) top-down processing and bottom-up processing (D) size and shape constancy. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-1.8803272247314453]
"Our ability to perceive depth depends primarily on what other perceptual abilities? (A) binocular and monocular cues (B) proximity and similarity (C) top-down processing and bottom-up processing (D) size and shape constancy. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-2.0678272247314453]
"Our ability to perceive depth depends primarily on what other perceptual abilities? (A) binocular and monocular cues (B) proximity and similarity (C) top-down processing and bottom-up processing (D) size and shape constancy. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-2.9428272247314453]
"A person who sustains major injuries that involve the destruction of the medulla oblongata will (A) die (B) be paralyzed (C) fall into a coma (D) suffer severe speech impairment. Of the answer choices above, the best answer choice is (",A,1,high_school_psychology,[-2.140787124633789]
"A person who sustains major injuries that involve the destruction of the medulla oblongata will (A) die (B) be paralyzed (C) fall into a coma (D) suffer severe speech impairment. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-2.187662124633789]
"A person who sustains major injuries that involve the destruction of the medulla oblongata will (A) die (B) be paralyzed (C) fall into a coma (D) suffer severe speech impairment. Of the answer choices above, the best answer choice is (",C,0,high_school_psychology,[-0.6876621246337891]
"A person who sustains major injuries that involve the destruction of the medulla oblongata will (A) die (B) be paralyzed (C) fall into a coma (D) suffer severe speech impairment. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-1.359537124633789]
"Which of the following terms applies to IQ tests? (A) achievement (B) projective (C) standardized (D) triarchic. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-3.670156478881836]
"Which of the following terms applies to IQ tests? (A) achievement (B) projective (C) standardized (D) triarchic. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-3.685781478881836]
"Which of the following terms applies to IQ tests? (A) achievement (B) projective (C) standardized (D) triarchic. Of the answer choices above, the best answer choice is (",C,1,high_school_psychology,[-0.10765647888183594]
"Which of the following terms applies to IQ tests? (A) achievement (B) projective (C) standardized (D) triarchic. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-3.185781478881836]
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass. (A) discrimination (B) spontaneous recovery (C) generalization (D) trace conditioning. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-4.300867080688477]
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass. (A) discrimination (B) spontaneous recovery (C) generalization (D) trace conditioning. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-3.2071170806884766]
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass. (A) discrimination (B) spontaneous recovery (C) generalization (D) trace conditioning. Of the answer choices above, the best answer choice is (",C,1,high_school_psychology,[-0.16024208068847656]
"Which classical conditioning term best describes the following scenario: Later in his classical conditioning experiments, Ivan Pavlov's dogs began to salivate whenever they heard any sound similar to a bell, such as a doorbell or someone accidentally clinking a water glass. (A) discrimination (B) spontaneous recovery (C) generalization (D) trace conditioning. Of the answer choices above, the best answer choice is (",D,0,high_school_psychology,[-2.5039920806884766]
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by (A) the mere-exposure effect. (B) self-serving bias. (C) the fundamental attribution error. (D) equipotentiality.. Of the answer choices above, the best answer choice is (",A,0,high_school_psychology,[-1.3466815948486328]
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by (A) the mere-exposure effect. (B) self-serving bias. (C) the fundamental attribution error. (D) equipotentiality.. Of the answer choices above, the best answer choice is (",B,0,high_school_psychology,[-1.3623065948486328]
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by (A) the mere-exposure effect. (B) self-serving bias. (C) the fundamental attribution error. (D) equipotentiality.. Of the answer choices above, the best answer choice is (",C,1,high_school_psychology,[-1.4560565948486328]
