preamble,stimulus,is_correct,subject,stimulus_prob
"The study of older adults and aging is referred to as (A) Gerontology (B) Geropsychiatry (C) Geriatrics (D) Gero-education. Of the answer choices above, the best answer choice is (",A,1,human_aging,[-0.7061557769775391]
"The study of older adults and aging is referred to as (A) Gerontology (B) Geropsychiatry (C) Geriatrics (D) Gero-education. Of the answer choices above, the best answer choice is (",B,0,human_aging,[-3.737405776977539]
"The study of older adults and aging is referred to as (A) Gerontology (B) Geropsychiatry (C) Geriatrics (D) Gero-education. Of the answer choices above, the best answer choice is (",C,0,human_aging,[-0.8624057769775391]
"The study of older adults and aging is referred to as (A) Gerontology (B) Geropsychiatry (C) Geriatrics (D) Gero-education. Of the answer choices above, the best answer choice is (",D,0,human_aging,[-3.206155776977539]
"Which of the following factors is associated with a decreased risk of Alzheimer's? (A) Being African or Hispanic American (B) Eating fish (C) A lower level of education (D) Being married. Of the answer choices above, the best answer choice is (",A,0,human_aging,[-3.715230941772461]
"Which of the following factors is associated with a decreased risk of Alzheimer's? (A) Being African or Hispanic American (B) Eating fish (C) A lower level of education (D) Being married. Of the answer choices above, the best answer choice is (",B,1,human_aging,[-0.7777309417724609]
"Which of the following factors is associated with a decreased risk of Alzheimer's? (A) Being African or Hispanic American (B) Eating fish (C) A lower level of education (D) Being married. Of the answer choices above, the best answer choice is (",C,0,human_aging,[-3.355855941772461]
"Which of the following factors is associated with a decreased risk of Alzheimer's? (A) Being African or Hispanic American (B) Eating fish (C) A lower level of education (D) Being married. Of the answer choices above, the best answer choice is (",D,0,human_aging,[-0.8089809417724609]
"The docility hypothesis is that (A) Those with low capabilities are more vulnerable to environmental demands (B) Those who experience high environmental demands become more docile (C) Those who experience high environmental demands become less docile (D) Those with less capability are less vulnerable to environmental demands. Of the answer choices above, the best answer choice is (",A,1,human_aging,[-2.0049076080322266]
"The docility hypothesis is that (A) Those with low capabilities are more vulnerable to environmental demands (B) Those who experience high environmental demands become more docile (C) Those who experience high environmental demands become less docile (D) Those with less capability are less vulnerable to environmental demands. Of the answer choices above, the best answer choice is (",B,0,human_aging,[-1.3955326080322266]
